note_index,measure,measure_offset,quarter_length,time_position,duration_seconds,pitch_name,pitch_midi,staff,voice,layer_1_score,layer_1_mask,layer_2_score,layer_2_mask,layer_3_score,layer_3_mask
0,1,0.0,2.0,0.0,48.0,E4,64,,0,0.10522912442684174,False,0.27688631415367126,False,0.39197787642478943,False
1,1,0.0,2.0,0.0,48.0,C4,60,,0,0.589506983757019,True,0.6134104132652283,True,0.5464447736740112,True
2,1,0.0,4.0,0.0,96.0,G3,55,,0,0.645768940448761,True,0.8049381971359253,True,0.6220530867576599,True
3,1,0.0,4.0,0.0,96.0,C3,48,,0,0.30907464027404785,False,0.4599429965019226,False,0.45088499784469604,False
4,1,2.0,0.25,48.0,6.0,D4,62,,0,0.8719708323478699,True,0.6822302937507629,True,0.5549932718276978,True
5,1,2.0,0.25,48.0,6.0,B3,59,,0,0.11229551583528519,False,0.29303205013275146,False,0.3890203535556793,False
6,1,2.25,0.25,54.0,6.0,E4,64,,0,0.07767321914434433,False,0.16328591108322144,False,0.35981982946395874,False
7,1,2.25,0.25,54.0,6.0,C4,60,,0,0.8219250440597534,True,0.5887971520423889,True,0.5053708553314209,True
8,1,2.5,0.25,60.0,6.0,D4,62,,0,0.8491643667221069,True,0.47587671875953674,False,0.45507851243019104,False
9,1,2.5,0.25,60.0,6.0,B3,59,,0,0.096822090446949,False,0.18692052364349365,False,0.36214500665664673,False
10,1,2.75,0.25,66.0,6.0,E4,64,,0,0.23718351125717163,False,0.2014201134443283,False,0.36528268456459045,False
11,1,2.75,0.25,66.0,6.0,C4,60,,0,0.6822202801704407,True,0.3696827292442322,False,0.39175012707710266,False
12,1,3.0,0.5,72.0,12.0,F4,65,,0,0.03690362721681595,False,0.19363853335380554,False,0.3659592270851135,False
13,1,3.0,0.5,72.0,12.0,D4,62,,0,0.8929579854011536,True,0.49378371238708496,False,0.44036993384361267,False
14,1,3.5,0.5,84.0,12.0,E4,64,,0,0.15228936076164246,False,0.18647615611553192,False,0.3704668879508972,False
15,1,3.5,0.5,84.0,12.0,C4,60,,0,0.7356324791908264,True,0.4603939652442932,False,0.4281900227069855,False
16,2,0.0,1.0,96.0,24.0,D4,62,,0,0.8921875357627869,True,0.6500675082206726,True,0.5509125590324402,True
17,2,0.0,1.0,96.0,24.0,B3,59,,0,0.12545055150985718,False,0.3405870795249939,False,0.4056776762008667,False
18,2,0.0,1.0,96.0,24.0,G3,55,,0,0.3722347617149353,False,0.46977144479751587,False,0.47556450963020325,False
19,2,0.0,1.0,96.0,24.0,G2,43,,0,0.958414614200592,True,0.29127734899520874,False,0.4543016850948334,False
20,2,1.0,1.0,120.0,24.0,G4,67,,0,0.9903414249420166,True,0.5402792096138,True,0.5441164970397949,True
21,2,1.0,1.0,120.0,24.0,B3,59,,0,0.0743449330329895,False,0.2137501984834671,False,0.3623593747615814,False
22,2,1.0,1.0,120.0,24.0,G3,55,,0,0.5688165426254272,True,0.5676339268684387,True,0.4610917866230011,False
23,2,1.0,1.0,120.0,24.0,G2,43,,0,0.7080954909324646,True,0.1345558911561966,False,0.3829904794692993,False
24,3,0.0,2.0,192.0,48.0,F4,65,,0,0.025470266118645668,False,0.2767602503299713,False,0.3924686014652252,False
25,3,0.0,2.0,192.0,48.0,D4,62,,0,0.8730958700180054,True,0.6976405382156372,True,0.6754903793334961,True
26,3,0.0,4.0,192.0,96.0,B3,59,,0,0.181474506855011,False,0.3657824695110321,False,0.4187696576118469,False
27,3,0.0,4.0,192.0,96.0,G2,43,,0,0.9321052432060242,True,0.42430198192596436,False,0.49456045031547546,False
28,3,2.0,0.25,240.0,6.0,E4,64,,0,0.18847259879112244,False,0.2846749424934387,False,0.39247143268585205,False
29,3,2.0,0.25,240.0,6.0,C#4,61,,0,0.20422875881195068,False,0.29923346638679504,False,0.39121145009994507,False
30,3,2.25,0.25,246.0,6.0,F4,65,,0,0.02082085981965065,False,0.16885945200920105,False,0.3603086471557617,False
31,3,2.25,0.25,246.0,6.0,D4,62,,0,0.7361237406730652,True,0.4021158516407013,False,0.41361916065216064,False
32,3,2.5,0.25,252.0,6.0,E4,64,,0,0.293706476688385,False,0.22417134046554565,False,0.376589834690094,False
33,3,2.5,0.25,252.0,6.0,C#4,61,,0,0.35991746187210083,False,0.2606610059738159,False,0.37658798694610596,False
34,3,2.75,0.25,258.0,6.0,F4,65,,0,0.04067429527640343,False,0.17424055933952332,False,0.36119094491004944,False
35,3,2.75,0.25,258.0,6.0,D4,62,,0,0.5138806104660034,True,0.30214768648147583,False,0.3824319839477539,False
36,3,3.0,0.5,264.0,12.0,G4,67,,0,0.9088781476020813,True,0.34038689732551575,False,0.416317343711853,False
37,3,3.0,0.5,264.0,12.0,E4,64,,0,0.3364018499851227,False,0.28114718198776245,False,0.3831084370613098,False
38,3,3.5,0.5,276.0,12.0,F4,65,,0,0.01007622666656971,False,0.16021426022052765,False,0.3658377230167389,False
39,3,3.5,0.5,276.0,12.0,D4,62,,0,0.22473418712615967,False,0.23882010579109192,False,0.37178778648376465,False
40,4,0.0,1.0,288.0,24.0,E4,64,,0,0.34654921293258667,False,0.41773611307144165,False,0.4378513693809509,False
41,4,0.0,1.0,288.0,24.0,C4,60,,0,0.7051260471343994,True,0.8030750751495361,True,0.5999928712844849,True
42,4,0.0,1.0,288.0,24.0,G3,55,,0,0.8872431516647339,True,0.8197097778320312,True,0.7156968116760254,True
43,4,0.0,1.0,288.0,24.0,C3,48,,0,0.26119673252105713,False,0.46216320991516113,False,0.4481216073036194,False
44,4,1.0,1.0,312.0,24.0,C5,72,,0,0.05447470769286156,False,0.19378702342510223,False,0.35912787914276123,False
45,4,1.0,1.0,312.0,24.0,E4,64,,0,0.24841438233852386,False,0.23807859420776367,False,0.37323108315467834,False
46,4,1.0,1.0,312.0,24.0,G3,55,,0,0.5611162185668945,True,0.27338215708732605,False,0.39535361528396606,False
47,4,1.0,1.0,312.0,24.0,C3,48,,0,0.20266704261302948,False,0.2908501923084259,False,0.3782905340194702,False
48,5,0.0,2.0,384.0,48.0,C5,72,,0,0.20008911192417145,False,0.34719428420066833,False,0.404909610748291,False
49,5,0.0,2.0,384.0,48.0,E4,64,,0,0.8219434022903442,True,0.676567018032074,True,0.47840648889541626,False
50,5,0.0,5.0,384.0,120.0,G3,55,,0,0.9412289261817932,True,0.8026517629623413,True,0.7070092558860779,True
51,5,1.0,1.0,408.0,24.0,C3,48,,0,0.34369465708732605,False,0.4093099534511566,False,0.4139128625392914,False
52,5,2.0,0.25,432.0,6.0,B4,71,,0,0.5340945720672607,True,0.6372467875480652,True,0.5447919368743896,True
53,5,2.0,2.0,432.0,48.0,F4,65,,0,0.0465913824737072,False,0.25480660796165466,False,0.3868700861930847,False
54,5,2.0,1.0,432.0,24.0,D3,50,,0,0.6283624768257141,True,0.35445448756217957,False,0.41689613461494446,False
55,5,2.25,0.25,438.0,6.0,C5,72,,0,0.34636253118515015,False,0.24206916987895966,False,0.36300113797187805,False
56,5,2.5,0.25,444.0,6.0,B4,71,,0,0.3821062743663788,False,0.2977869510650635,False,0.39153969287872314,False
57,5,2.75,0.25,450.0,6.0,C5,72,,0,0.4231119751930237,False,0.30584943294525146,False,0.3796420991420746,False
58,5,3.0,0.5,456.0,12.0,D5,74,,0,0.5484551191329956,True,0.4470791220664978,False,0.37870630621910095,False
59,5,3.0,1.0,456.0,24.0,G2,43,,0,0.8640735149383545,True,0.13654561340808868,False,0.3806980550289154,False
60,5,3.5,0.5,468.0,12.0,B4,71,,0,0.10793320834636688,False,0.19627952575683594,False,0.36405330896377563,False
61,6,0.0,1.0,480.0,24.0,G4,67,,0,0.9468757510185242,True,0.6109574437141418,True,0.5547745227813721,True
62,6,1.0,1.0,504.0,24.0,C5,72,,0,0.0903838723897934,False,0.20555928349494934,False,0.36124709248542786,False
63,6,1.0,1.0,504.0,24.0,E4,64,,0,0.34232378005981445,False,0.28484147787094116,False,0.38527628779411316,False
64,6,1.0,5.0,504.0,120.0,G3,55,,0,0.9245007038116455,True,0.5681875944137573,True,0.4822850227355957,False
65,6,1.0,1.0,504.0,24.0,C3,48,,0,0.16610881686210632,False,0.28073543310165405,False,0.3774106204509735,False
66,6,2.0,0.25,528.0,6.0,B4,71,,0,0.6251038312911987,True,0.6828121542930603,True,0.5825837850570679,True
67,6,2.0,2.0,528.0,48.0,F4,65,,0,0.026996202766895294,False,0.24564330279827118,False,0.3843457102775574,False
68,6,2.0,1.0,528.0,24.0,D3,50,,0,0.7181406617164612,True,0.4054635465145111,False,0.4311301112174988,False
69,6,2.25,0.25,534.0,6.0,C5,72,,0,0.3702140152454376,False,0.26144853234291077,False,0.3684622347354889,False
70,6,2.5,0.25,540.0,6.0,B4,71,,0,0.6136132478713989,True,0.42526522278785706,False,0.4226609766483307,False
71,6,2.75,0.25,546.0,6.0,C5,72,,0,0.41958996653556824,False,0.31459668278694153,False,0.38300207257270813,False
72,6,3.0,0.5,552.0,12.0,D5,74,,0,0.5186610221862793,True,0.4760485589504242,False,0.38246089220046997,False
73,6,3.0,1.0,552.0,24.0,G2,43,,0,0.6599019765853882,True,0.13898757100105286,False,0.37736010551452637,False
74,6,3.5,0.5,564.0,12.0,B4,71,,0,0.14345817267894745,False,0.20739181339740753,False,0.3660629391670227,False
75,7,0.0,1.0,576.0,24.0,G4,67,,0,0.937587559223175,True,0.6216300129890442,True,0.4786894619464874,False
76,7,0.0,1.0,576.0,24.0,E3,52,,0,0.8588500022888184,True,0.6188280582427979,True,0.556526243686676,True
77,7,1.0,1.0,600.0,24.0,C5,72,,0,0.16735796630382538,False,0.2303059846162796,False,0.3653973340988159,False
