note_index,measure,measure_offset,quarter_length,time_position,duration_seconds,pitch_name,pitch_midi,staff,voice,layer_1_score,layer_1_mask,layer_2_score,layer_2_mask,layer_3_score,layer_3_mask
0,1,0.125,0.125,0.20833333333333334,0.20833333333333334,Eb4,63,2,5,0.8533074855804443,True,0.8796636462211609,True,0.5647205114364624,True
1,1,0.0,0.125,0.0,0.20833333333333334,Eb3,51,2,5,0.6134001612663269,True,0.7971975803375244,True,0.5608154535293579,True
2,2,0.875,0.875,1.6666666666666674,1.4583333333333333,F#3,54,2,5,0.8098412156105042,True,0.5851557850837708,True,0.4619251489639282,False
3,2,0.0,0.875,0.20833333333333393,1.4583333333333333,F#2,42,2,5,0.4367300271987915,False,0.6350799202919006,True,0.4317343533039093,False
4,2,1.0,0.125,1.875,0.20833333333333334,Eb5,75,1,1,0.8598173260688782,True,0.38476526737213135,False,0.4125223457813263,False
5,2,1.0,0.125,1.875,0.20833333333333334,C5,72,1,1,0.8119697570800781,True,0.8257423043251038,True,0.4096233546733856,False
6,2,1.0,0.125,1.875,0.20833333333333334,A4,69,1,1,0.8454912304878235,True,0.5819166898727417,True,0.2026521861553192,False
7,2,0.875,0.125,1.6666666666666667,0.20833333333333334,Eb4,63,1,1,0.7536786198616028,True,0.26667994260787964,False,0.3984546363353729,False
8,2,1.0,0.125,1.8750000000000007,0.20833333333333334,F#2,42,2,5,0.29514867067337036,False,0.5535064339637756,True,0.414211243391037,False
9,2,0.875,0.125,1.6666666666666674,0.20833333333333334,F#1,30,2,5,0.13603529334068298,False,0.4582687318325043,False,0.41302886605262756,False
10,2,2.0,1.875,3.541666666666667,3.125,Eb5,75,1,1,0.9377386569976807,True,0.287577748298645,False,0.42931559681892395,False
11,2,2.0,1.875,3.541666666666667,3.125,C5,72,1,1,0.9452610015869141,True,0.8179404735565186,True,0.4023102819919586,False
12,2,2.0,1.875,3.541666666666667,3.125,A4,69,1,1,0.9363564848899841,True,0.6931166052818298,True,0.1876036375761032,False
13,2,1.0,1.875,1.875,3.125,Eb4,63,1,1,0.8522916436195374,True,0.2659733295440674,False,0.4078044593334198,False
14,2,2.0,1.875,3.5416666666666674,3.125,F#3,54,2,5,0.8107044100761414,True,0.41363006830215454,False,0.42692673206329346,False
15,2,1.0,1.875,1.8750000000000007,3.125,F#2,42,2,5,0.3742229640483856,False,0.6363654732704163,True,0.43332013487815857,False
16,2,3.0,0.125,5.208333333333333,0.20833333333333334,C5,72,1,1,0.8827999830245972,True,0.5784568786621094,True,0.42487362027168274,False
17,2,2.875,0.125,5.0,0.20833333333333334,A4,69,1,1,0.8719499707221985,True,0.7743337154388428,True,0.21394547820091248,False
18,2,3.0,0.125,5.208333333333334,0.20833333333333334,Eb4,63,2,5,0.6561790704727173,True,0.26210150122642517,False,0.38783687353134155,False
19,2,2.875,0.125,5.000000000000001,0.20833333333333334,F#3,54,2,5,0.6234248876571655,True,0.3943772315979004,False,0.40163421630859375,False
20,2,3.0,0.75,5.208333333333333,1.25,C5,72,1,1,0.9593513011932373,True,0.7807522416114807,True,0.4730052351951599,False
21,2,3.0,1.0,5.208333333333332,1.6666666666666667,A4,69,1,2,0.9428651332855225,True,0.8992400765419006,True,0.2552317976951599,False
22,2,4.0,1.0,6.875000000000001,1.6666666666666667,Eb4,63,2,5,0.8189195394515991,True,0.3696368634700775,False,0.4047909080982208,False
23,2,3.0,1.0,5.208333333333334,1.6666666666666667,F#3,54,2,5,0.6556642651557922,True,0.4487813711166382,False,0.4065288007259369,False
24,2,3.75,0.125,6.458333333333333,0.20833333333333334,B4,71,1,1,0.4579176902770996,False,0.6568828225135803,True,0.4223365783691406,False
25,2,3.875,0.125,6.666666666666666,0.20833333333333334,C5,72,1,1,0.8865922689437866,True,0.42773666977882385,False,0.4352685213088989,False
26,3,0.5,0.5,7.708333333333334,0.8333333333333334,B4,71,1,1,0.7541987299919128,True,0.2951565086841583,False,0.3989177346229553,False
27,3,0.0,0.5,6.875000000000001,0.8333333333333334,G4,67,1,1,0.8435589075088501,True,0.35403960943222046,False,0.40574514865875244,False
28,3,0.5,0.5,7.708333333333338,0.8333333333333334,D4,62,2,5,0.7620048522949219,True,0.3885839581489563,False,0.4163255989551544,False
29,3,0.0,0.5,6.875000000000005,0.8333333333333334,G3,55,2,5,0.7071621417999268,True,0.8216575384140015,True,0.5093319416046143,True
30,3,1.5,0.5,9.375000000000002,0.8333333333333334,C5,72,1,1,0.9357243776321411,True,0.7223871350288391,True,0.2976856529712677,False
31,3,1.5,0.5,9.375000000000002,0.8333333333333334,G4,67,1,1,0.9271885752677917,True,0.6883108615875244,True,0.066032275557518,False
32,3,1.0,0.5,8.541666666666668,0.8333333333333334,Eb4,63,1,1,0.8876954913139343,True,0.6793221235275269,True,0.11841198056936264,False
33,3,1.5,0.5,9.375000000000005,0.8333333333333334,C4,60,2,5,0.8413015604019165,True,0.48003506660461426,False,0.4398529827594757,False
34,3,1.5,0.5,9.375000000000005,0.8333333333333334,G3,55,2,5,0.7064387202262878,True,0.9162888526916504,True,0.723365843296051,True
35,3,1.0,0.5,8.541666666666671,0.8333333333333334,C3,48,2,5,0.5114995241165161,True,0.7461183667182922,True,0.605710506439209,True
36,3,2.0,0.05,10.20833333333334,0.08333333333333333,B1,35,2,5,0.2759954631328583,False,0.549877405166626,True,0.4105023443698883,False
37,3,2.05,0.05,10.291666666666673,0.08333333333333333,D2,38,2,5,0.6502017378807068,True,0.8659759163856506,True,0.832027018070221,True
38,3,2.1,0.05,10.375000000000007,0.08333333333333333,G2,43,2,5,0.5842234492301941,True,0.7873736023902893,True,0.5555074214935303,True
39,3,2.15,0.05,10.458333333333341,0.08333333333333333,B2,47,2,5,0.3566611409187317,False,0.5943019986152649,True,0.4092934727668762,False
40,3,2.2,0.05,10.541666666666675,0.08333333333333333,D3,50,2,5,0.8027704358100891,True,0.9435141682624817,True,0.7625150084495544,True
41,3,2.25,0.05,10.625000000000009,0.08333333333333333,G3,55,2,5,0.7749407887458801,True,0.8062977194786072,True,0.668133556842804,True
42,3,2.3,0.05,10.708333333333343,0.08333333333333333,B3,59,2,5,0.5125395655632019,True,0.38657328486442566,False,0.37436407804489136,False
43,3,2.35,0.05,10.79166666666667,0.08333333333333333,D4,62,1,1,0.7952008247375488,True,0.6641623973846436,True,0.4699711501598358,False
44,3,2.4,0.05,10.875000000000004,0.08333333333333333,G4,67,1,1,0.7676221132278442,True,0.40306928753852844,False,0.3881561756134033,False
45,3,2.45,0.05,10.958333333333337,0.08333333333333333,B4,71,1,1,0.5747572183609009,True,0.16641953587532043,False,0.4059221148490906,False
46,3,3.0,0.5,11.875000000000005,0.8333333333333334,D5,74,1,1,0.9674875736236572,True,0.649728000164032,True,0.11472538113594055,False
47,3,3.0,0.5,11.875000000000005,0.8333333333333334,G4,67,1,1,0.8157331347465515,True,0.47642287611961365,False,0.3823743462562561,False
48,3,2.5,0.5,11.041666666666671,0.8333333333333334,D4,62,1,1,0.9038041234016418,True,0.7184454798698425,True,0.4771745800971985,False
49,3,3.0,0.5,11.87500000000001,0.8333333333333334,B2,47,2,5,0.4028926193714142,False,0.6414596438407898,True,0.42476028203964233,False
50,3,3.0,0.5,11.87500000000001,0.8333333333333334,G2,43,2,5,0.5438845753669739,True,0.7362644076347351,True,0.5654773116111755,True
51,3,2.5,0.5,11.041666666666677,0.8333333333333334,B1,35,2,5,0.3157322108745575,False,0.5863966941833496,True,0.4179246127605438,False
52,3,4.5,0.125,14.375000000000012,0.20833333333333334,Ab4,68,2,5,0.8524996042251587,True,0.48988085985183716,False,0.4181101620197296,False
53,3,4.375,0.125,14.166666666666679,0.20833333333333334,Ab3,56,2,5,0.7977020740509033,True,0.8519472479820251,True,0.44040200114250183,False
54,4,0.875,0.875,15.83333333333333,1.4583333333333333,B3,59,2,5,0.6695142388343811,True,0.5818507075309753,True,0.3406654894351959,False
55,4,0.0,0.875,14.374999999999996,1.4583333333333333,B2,47,2,5,0.24661827087402344,False,0.5573650002479553,True,0.4088476896286011,False
56,4,1.0,0.125,16.04166666666668,0.20833333333333334,Ab5,80,1,1,0.9539362192153931,True,0.49110063910484314,False,0.4575805366039276,False
57,4,1.0,0.125,16.04166666666668,0.20833333333333334,F5,77,1,1,0.8979493975639343,True,0.08790560066699982,False,0.4212092459201813,False
58,4,1.0,0.125,16.04166666666668,0.20833333333333334,D5,74,1,1,0.8788101077079773,True,0.26989394426345825,False,0.41545119881629944,False
59,4,0.875,0.125,15.833333333333346,0.20833333333333334,Ab4,68,1,1,0.8081665635108948,True,0.3607674241065979,False,0.40657979249954224,False
60,4,1.0,0.125,16.041666666666664,0.20833333333333334,B2,47,2,5,0.2663819491863251,False,0.5604545474052429,True,0.40362346172332764,False
