note_index,note_id,measure,measure_offset,quarter_length,time_position,duration_seconds,pitch_name,pitch_midi,staff,voice,layer_1_score,layer_1_mask,layer_2_score,layer_2_mask,layer_3_score,layer_3_mask
0,p0n3,1,0.5,0.5,48.0,48.0,C#5,73,1,0,0.6220409870147705,True,0.2738267183303833,False,0.31342509388923645,False
1,p0n4,1,1.0,0.5,96.0,48.0,F#5,78,1,0,0.3301323354244232,False,0.3130888044834137,False,0.3072187304496765,False
2,p0n5,1,1.5,0.5,144.0,48.0,E#5,77,1,0,0.6425958275794983,True,0.4065621495246887,False,0.34855884313583374,False
3,p0n6,1,2.0,0.5,192.0,48.0,F#5,78,1,0,0.3735763728618622,False,0.4455690383911133,False,0.35931140184402466,False
4,p0n7,1,2.5,0.25,240.0,24.0,E#5,77,1,0,0.39179113507270813,False,0.25173529982566833,False,0.30145615339279175,False
5,p0n8,1,2.75,0.25,264.0,24.0,D#5,75,1,0,0.6556507349014282,True,0.5430790185928345,True,0.3274288475513458,False
6,p0n9,1,3.0,0.09375,288.0,9.0,D#5,75,1,0,0.5753951668739319,True,0.5522643327713013,True,0.35265329480171204,False
7,p0n10,1,3.0,0.75,288.0,72.0,C#5,73,1,0,0.5036604404449463,True,0.3293858468532562,False,0.30065062642097473,False
8,p0n11,1,3.09375,0.09375,297.0,9.0,C#5,73,1,0,0.4739357531070709,False,0.1489914208650589,False,0.27434584498405457,False
9,p0n12,1,3.1875,0.09375,306.0,9.0,D#5,75,1,0,0.5519580841064453,True,0.3452257812023163,False,0.3090956211090088,False
10,p0n13,1,3.28125,0.09375,315.0,9.0,C#5,73,1,0,0.4256410002708435,False,0.1593150645494461,False,0.275991290807724,False
11,p0n14,1,3.375,0.09375,324.0,9.0,D#5,75,1,0,0.6386345624923706,True,0.35916849970817566,False,0.3204955756664276,False
12,p0n15,1,3.46875,0.09375,333.0,9.0,C#5,73,1,0,0.5729056596755981,True,0.21685536205768585,False,0.2840878367424011,False
13,p0n16,1,3.5625,0.09375,342.0,9.0,D#5,75,1,0,0.5185306668281555,True,0.23656326532363892,False,0.2891901135444641,False
14,p0n17,1,3.65625,0.09375,351.0,9.0,C#5,73,1,0,0.5528863668441772,True,0.09083705395460129,False,0.26917049288749695,False
15,p0n18,1,3.75,0.125,360.0,12.0,B4,71,1,0,0.6546969413757324,True,0.6237347722053528,True,0.38134488463401794,False
16,p0n19,1,3.875,0.125,372.0,12.0,C#5,73,1,0,0.6708344221115112,True,0.1121651828289032,False,0.2674943208694458,False
17,p0n22,2,0.0,1.0,384.0,96.0,D#5,75,1,0,0.7900200486183167,True,0.7882307767868042,True,0.5532044172286987,True
18,p0n24,2,1.5,0.5,528.0,48.0,C#5,73,1,0,0.7121549248695374,True,0.1703328639268875,False,0.2850644290447235,False
19,p0n25,2,2.0,0.5,576.0,48.0,B4,71,1,0,0.9178985953330994,True,0.9354196786880493,True,0.7523040175437927,True
20,p0n26,2,2.5,0.5,624.0,48.0,A#4,70,1,0,0.2090301215648651,False,0.12242777645587921,False,0.27071869373321533,False
21,p0n27,2,3.0,0.5,672.0,48.0,G#4,68,1,0,0.31236732006073,False,0.22698813676834106,False,0.28362685441970825,False
22,p0n28,2,3.5,0.5,720.0,48.0,C#5,73,1,0,0.5475460290908813,True,0.16661624610424042,False,0.2794835865497589,False
23,p0n29,3,0.0,0.5,768.0,48.0,A#4,70,1,0,0.49220243096351624,False,0.20502986013889313,False,0.29109957814216614,False
24,p0n32,3,0.5,0.25,816.0,24.0,F#4,66,1,0,0.44879552721977234,False,0.20880620181560516,False,0.29133740067481995,False
25,p0n33,3,0.5,0.5,816.0,48.0,F#4,66,1,0,0.4726329445838928,False,0.22852276265621185,False,0.2950841784477234,False
26,p0n34,3,0.75,0.25,840.0,24.0,F#5,78,1,0,0.6985712051391602,True,0.4995998442173004,False,0.35909804701805115,False
27,p0n35,3,1.0,0.25,864.0,24.0,E#5,77,1,0,0.7328423857688904,True,0.6476191878318787,True,0.4629114270210266,False
28,p0n36,3,1.0,0.5,864.0,48.0,C#5,73,1,0,0.5588465332984924,True,0.19601993262767792,False,0.2584212124347687,False
29,p0n37,3,1.25,0.25,888.0,24.0,F#5,78,1,0,0.693552553653717,True,0.3640355169773102,False,0.31586864590644836,False
30,p0n38,3,1.5,0.25,912.0,24.0,G#5,80,1,0,0.5691438913345337,True,0.5283510684967041,True,0.44913366436958313,False
31,p0n39,3,1.5,0.5,912.0,48.0,B#4,72,1,0,0.5536593794822693,True,0.19727648794651031,False,0.2761177718639374,False
32,p0n40,3,1.75,0.25,936.0,24.0,D#5,75,1,0,0.4440373480319977,False,0.2626802921295166,False,0.30824917554855347,False
33,p0n41,3,2.0,0.25,960.0,24.0,E#5,77,1,0,0.9607782959938049,True,0.7600942850112915,True,0.6424056887626648,True
34,p0n42,3,2.0,0.5,960.0,48.0,C#5,73,1,0,0.3632769286632538,False,0.21991237998008728,False,0.2900327742099762,False
35,p0n43,3,2.25,0.25,984.0,24.0,F#5,78,1,0,0.2727523148059845,False,0.2006678283214569,False,0.2761298418045044,False
36,p0n44,3,2.5,0.75,1008.0,72.0,G#5,80,1,0,0.7859415411949158,True,0.584453284740448,True,0.5387295484542847,True
37,p0n45,3,2.5,0.25,1008.0,24.0,B#4,72,1,0,0.7367319464683533,True,0.16255119442939758,False,0.2743094563484192,False
38,p0n46,3,2.75,0.25,1032.0,24.0,A#4,70,1,0,0.6361051201820374,True,0.1490682065486908,False,0.2521572411060333,False
