note_index,measure,measure_offset,quarter_length,time_position,duration_seconds,pitch_name,pitch_midi,staff,voice,layer_1_score,layer_1_mask,layer_2_score,layer_2_mask,layer_3_score,layer_3_mask
0,1,1.5,0.5,12.0,4.0,C#4,61,,0,0.7271715998649597,True,0.4394379258155823,False,0.39393743872642517,False
1,1,2.0,0.5,16.0,4.0,A3,57,,0,0.41647541522979736,False,0.3493563234806061,False,0.32747602462768555,False
2,1,2.5,0.5,20.0,4.0,F#3,54,,0,0.9349051713943481,True,0.9199585318565369,True,0.5121318697929382,True
3,1,3.0,1.5,24.0,12.0,D4,62,,0,0.30276113748550415,False,0.1698700189590454,False,0.2869122624397278,False
4,2,0.5,0.25,36.0,2.0,C#4,61,,0,0.7289887070655823,True,0.6172997951507568,True,0.4814510643482208,False
5,2,0.75,0.25,38.0,2.0,B3,59,,0,0.8939481973648071,True,0.7705058455467224,True,0.3644450008869171,False
6,2,1.0,1.5,40.0,12.0,C#4,61,,0,0.7634572386741638,True,0.7031566500663757,True,0.6725658178329468,True
7,2,2.5,0.5,52.0,4.0,F#4,66,,0,0.9680194854736328,True,0.8640074729919434,True,0.488313227891922,False
8,2,3.0,1.5,56.0,12.0,B3,59,,0,0.8512404561042786,True,0.7710001468658447,True,0.3188409209251404,False
9,3,0.5,0.25,68.0,2.0,A3,57,,0,0.827695369720459,True,0.6879839301109314,True,0.5594621300697327,True
10,3,0.75,0.25,70.0,2.0,G#3,56,,0,0.46897801756858826,False,0.2965075671672821,False,0.30257824063301086,False
11,3,1.0,0.5,72.0,4.0,A3,57,,0,0.8603523969650269,True,0.8106753826141357,True,0.6972894072532654,True
12,3,1.5,0.5,76.0,4.0,F#3,54,,0,0.9638625979423523,True,0.7137573957443237,True,0.7017731666564941,True
13,3,2.0,2.0,80.0,16.0,G#3,56,,0,0.7923779487609863,True,0.765346884727478,True,0.4602282643318176,False
14,4,0.0,0.5,96.0,4.0,F#3,54,,0,0.9957386255264282,True,0.9686664938926697,True,0.8355258703231812,True
15,4,0.5,0.5,100.0,4.0,G#3,56,,0,0.3959972560405731,False,0.26157084107398987,False,0.30535200238227844,False
16,4,1.0,0.5,104.0,4.0,A3,57,,0,0.8944411873817444,True,0.6932094097137451,True,0.4082035720348358,False
17,4,1.5,0.5,108.0,4.0,F#4,66,,0,0.9748672842979431,True,0.9005789160728455,True,0.5442871451377869,True
18,4,1.5,0.5,108.0,4.0,B3,59,,0,0.739460825920105,True,0.6650893092155457,True,0.24509713053703308,False
19,4,2.0,0.5,112.0,4.0,E4,64,,0,0.6678208112716675,True,0.936445415019989,True,0.7325899004936218,True
20,4,2.0,1.0,112.0,8.0,C#4,61,,0,0.8661298751831055,True,0.7426264882087708,True,0.5407941341400146,True
21,4,2.5,0.5,116.0,4.0,C#4,61,,0,0.8224374651908875,True,0.48789459466934204,False,0.31217682361602783,False
22,4,3.0,1.5,120.0,12.0,A4,69,,0,0.6210801601409912,True,0.6799376606941223,True,0.4807380735874176,False
23,4,3.5,0.5,124.0,4.0,D#4,63,,0,0.2880759537220001,False,0.2531318962574005,False,0.3113540709018707,False
24,5,0.0,1.0,128.0,8.0,E4,64,,0,0.9316595792770386,True,0.9735032916069031,True,0.8699331879615784,True
25,5,0.5,0.25,132.0,2.0,G#4,68,,0,0.6359568238258362,True,0.1438618153333664,False,0.285213828086853,False
26,5,0.75,0.25,134.0,2.0,F#4,66,,0,0.9970843195915222,True,0.8854123950004578,True,0.5746905207633972,True
27,5,1.0,1.5,136.0,12.0,G#4,68,,0,0.14342953264713287,False,0.13598987460136414,False,0.26800379157066345,False
28,5,1.5,0.5,140.0,4.0,E4,64,,0,0.9721922874450684,True,0.876184344291687,True,0.8141750693321228,True
29,5,2.0,1.0,144.0,8.0,A#3,58,,0,0.9332650303840637,True,0.8525065183639526,True,0.6851369142532349,True
30,5,2.5,0.5,148.0,4.0,C#5,73,,0,0.6534740924835205,True,0.7078766822814941,True,0.7280541658401489,True
31,5,3.0,1.5,152.0,12.0,F#4,66,,0,0.9680622816085815,True,0.982489824295044,True,0.8009912371635437,True
32,5,3.5,0.5,156.0,4.0,B#3,60,,0,0.9059159755706787,True,0.8464284539222717,True,0.6829890608787537,True
33,6,0.0,1.0,160.0,8.0,C#4,61,,0,0.39579370617866516,False,0.4287971258163452,False,0.37709513306617737,False
34,6,0.5,0.25,164.0,2.0,E4,64,,0,0.7692851424217224,True,0.7618165016174316,True,0.6938439607620239,True
35,6,0.75,0.25,166.0,2.0,D#4,63,,0,0.5271525979042053,True,0.8632670044898987,True,0.6501632332801819,True
36,6,1.0,0.5,168.0,4.0,E4,64,,0,0.9579088687896729,True,0.8861722946166992,True,0.6634123921394348,True
37,6,1.5,0.5,172.0,4.0,C#4,61,,0,0.2575854957103729,False,0.16895899176597595,False,0.28621941804885864,False
38,6,1.5,1.0,172.0,8.0,C#4,61,,0,0.2372918277978897,False,0.17854204773902893,False,0.28825822472572327,False
39,6,2.0,2.0,176.0,16.0,D#4,63,,0,0.9022220373153687,True,0.9822744131088257,True,0.8696311116218567,True
40,6,2.5,0.25,180.0,2.0,B#3,60,,0,0.8247119784355164,True,0.38585609197616577,False,0.33243298530578613,False
41,6,2.75,0.25,182.0,2.0,A#3,58,,0,0.6845694780349731,True,0.45573630928993225,False,0.2903120219707489,False
42,6,3.0,0.5,184.0,4.0,B#3,60,,0,0.9618465304374695,True,0.9078606367111206,True,0.6755666136741638,True
43,6,3.5,0.5,188.0,4.0,G#3,56,,0,0.6683176159858704,True,0.6317503452301025,True,0.7446646094322205,True
44,7,0.0,1.5,192.0,12.0,E4,64,,0,0.9014880657196045,True,0.8121314644813538,True,0.6684372425079346,True
45,7,0.0,0.5,192.0,4.0,C#4,61,,0,0.39886704087257385,False,0.45410582423210144,False,0.3952663838863373,False
46,7,0.5,0.5,196.0,4.0,C#5,73,,0,0.6174268126487732,True,0.458090603351593,False,0.3225015699863434,False
47,7,1.0,1.5,200.0,12.0,F#4,66,,0,0.8581462502479553,True,0.9684496521949768,True,0.4177936613559723,False
48,7,1.5,0.5,204.0,4.0,A3,57,,0,0.833112895488739,True,0.5801541209220886,True,0.630508303642273,True
49,7,2.0,1.5,208.0,12.0,D4,62,,0,0.8064096570014954,True,0.4425957202911377,False,0.3240666389465332,False
50,7,2.5,0.5,212.0,4.0,B4,71,,0,0.772088348865509,True,0.41464564204216003,False,0.29879382252693176,False
51,7,3.0,1.5,216.0,12.0,E4,64,,0,0.27798083424568176,False,0.1948900669813156,False,0.2822047472000122,False
52,7,3.5,0.5,220.0,4.0,G#3,56,,0,0.6357153654098511,True,0.2628116011619568,False,0.29593294858932495,False
53,8,0.0,1.0,224.0,8.0,C#4,61,,0,0.5753499269485474,True,0.8539185523986816,True,0.6834288835525513,True
54,8,0.5,1.0,228.0,8.0,A4,69,,0,0.7135674953460693,True,0.7873687744140625,True,0.4546743333339691,False
55,8,1.0,1.0,232.0,8.0,B3,59,,0,0.7378162145614624,True,0.8025965690612793,True,0.6824758648872375,True
56,8,1.5,1.0,236.0,8.0,G#4,68,,0,0.5615310668945312,True,0.6043151021003723,True,0.3080744743347168,False
57,8,2.0,1.0,240.0,8.0,A3,57,,0,0.9423655271530151,True,0.9554980397224426,True,0.9627306461334229,True
58,8,2.5,1.0,244.0,8.0,F#4,66,,0,0.8364131450653076,True,0.9230365753173828,True,0.5567361116409302,True
59,8,3.0,1.0,248.0,8.0,G#3,56,,0,0.8806039094924927,True,0.9334575533866882,True,0.7419466972351074,True
60,8,3.5,0.5,252.0,4.0,E#4,65,,0,0.3882511556148529,False,0.28496748208999634,False,0.3161734640598297,False
61,8,3.5,0.5,252.0,4.0,C#3,49,,0,0.42168837785720825,False,0.31067603826522827,False,0.3225161135196686,False
62,9,0.0,1.0,256.0,8.0,F#4,66,,0,0.8916817307472229,True,0.9727199077606201,True,0.8443371653556824,True
63,9,0.0,1.0,256.0,8.0,F#3,54,,0,0.9887714982032776,True,0.9832467436790466,True,0.8618947863578796,True
64,9,0.0,0.5,256.0,4.0,A2,45,,0,0.9722138047218323,True,0.848873496055603,True,0.5292162895202637,True
65,9,0.5,0.5,260.0,4.0,F#2,42,,0,0.6725631356239319,True,0.40816205739974976,False,0.3309262990951538,False
66,9,1.0,1.5,264.0,12.0,D3,50,,0,0.524968683719635,True,0.4025532007217407,False,0.3166270852088928,False
