note_index,note_id,measure,measure_offset,quarter_length,time_position,duration_seconds,pitch_name,pitch_midi,staff,voice,layer_1_score,layer_1_mask,layer_2_score,layer_2_mask,layer_3_score,layer_3_mask
0,p0n0,1,0.0,1.5,0.0,72.0,C5,72,1,0,0.9442093372344971,True,0.8134467601776123,True,0.6314969062805176,True
1,p0n1,1,0.0,1.5,0.0,72.0,A-4,68,1,0,0.7045231461524963,True,0.9089628458023071,True,0.5321156978607178,True
2,p0n3,1,0.0,1.5,0.0,72.0,E-3,51,2,0,0.96180659532547,True,0.9948082566261292,True,0.9401875138282776,True
3,p0n2,1,0.0,1.5,0.0,72.0,A-2,44,2,0,0.6277134418487549,True,0.2307443916797638,False,0.3521474301815033,False
4,p0n4,1,1.5,0.5,72.0,24.0,A-4,68,1,0,0.7524202466011047,True,0.6969627737998962,True,0.5772942304611206,True
5,p0n5,1,1.5,0.5,72.0,24.0,E-4,63,1,0,0.7521665096282959,True,0.9558553099632263,True,0.8994371891021729,True
6,p0n7,1,1.5,0.5,72.0,24.0,E-3,51,2,0,0.9424821138381958,True,0.97516930103302,True,0.8827705383300781,True
7,p0n6,1,1.5,0.5,72.0,24.0,C3,48,2,0,0.8654003739356995,True,0.9856643676757812,True,0.8091498613357544,True
8,p0n8,1,2.0,0.75,96.0,36.0,A-4,68,1,0,0.6993000507354736,True,0.5388421416282654,True,0.479593425989151,False
9,p0n9,1,2.0,0.75,96.0,36.0,E-4,63,1,0,0.7188531756401062,True,0.9099383354187012,True,0.8656430244445801,True
10,p0n11,1,2.0,0.75,96.0,36.0,E-3,51,2,0,0.9271908402442932,True,0.9481320977210999,True,0.8207982182502747,True
11,p0n10,1,2.0,0.75,96.0,36.0,C3,48,2,0,0.74600750207901,True,0.983989953994751,True,0.7378297448158264,True
12,p0n12,1,2.75,0.25,132.0,12.0,A-4,68,1,0,0.43227341771125793,False,0.258827269077301,False,0.30987221002578735,False
13,p0n13,1,2.75,0.25,132.0,12.0,E-4,63,1,0,0.7301627993583679,True,0.8698222041130066,True,0.8809746503829956,True
14,p0n15,1,2.75,0.25,132.0,12.0,E-3,51,2,0,0.7327899932861328,True,0.8995150923728943,True,0.8744533061981201,True
15,p0n14,1,2.75,0.25,132.0,12.0,C3,48,2,0,0.8099125027656555,True,0.8967920541763306,True,0.7715787887573242,True
16,p0n17,2,0.0,1.0,144.0,48.0,D-5,73,1,0,0.765358030796051,True,0.9609353542327881,True,0.9233627915382385,True
17,p0n16,2,0.0,1.0,144.0,48.0,G4,67,1,0,0.9904730916023254,True,0.9908722043037415,True,0.9059203863143921,True
18,p0n19,2,0.0,1.0,144.0,48.0,E-3,51,2,0,0.7671145796775818,True,0.9826269745826721,True,0.9274153113365173,True
19,p0n18,2,0.0,1.0,144.0,48.0,B-2,46,2,0,0.5130024552345276,True,0.7741928100585938,True,0.7538722157478333,True
20,p0n21,2,1.0,2.0,192.0,96.0,B-4,70,1,0,0.5771914720535278,True,0.8401822447776794,True,0.782602846622467,True
