note_index,note_id,measure,measure_offset,quarter_length,time_position,duration_seconds,pitch_name,pitch_midi,staff,voice,layer_1_score,layer_1_mask,layer_2_score,layer_2_mask,layer_3_score,layer_3_mask
0,p0n0,1,0.0,1.0,0.0,2.0,B-3,58,1,0,0.23832596838474274,False,0.18144014477729797,False,0.2839820683002472,False
1,p0n3,2,0.0,2.0,2.0,4.0,G-4,66,1,0,0.8960812091827393,True,0.9650026559829712,True,0.7803550958633423,True
2,p0n4,2,0.0,0.5,2.0,1.0,E-2,39,2,0,0.9253339767456055,True,0.8987916111946106,True,0.6896554231643677,True
3,p0n5,2,0.0,3.0,2.0,6.0,E-2,39,2,0,0.9341589212417603,True,0.8973392248153687,True,0.7733367681503296,True
4,p0n6,2,0.5,0.5,3.0,1.0,B-2,46,2,0,0.7028154134750366,True,0.295259565114975,False,0.33687344193458557,False
5,p0n7,2,1.0,0.5,4.0,1.0,E-3,51,2,0,0.7629627585411072,True,0.7532641291618347,True,0.5378440618515015,True
6,p0n8,2,1.5,0.5,5.0,1.0,G-3,54,1,0,0.8842602968215942,True,0.8658753037452698,True,0.702039361000061,True
7,p0n9,2,2.0,0.5,6.0,1.0,A-4,68,1,0,0.35314303636550903,False,0.11981940269470215,False,0.25806286931037903,False
8,p0n10,2,2.0,0.5,6.0,1.0,B-3,58,1,0,0.19294391572475433,False,0.16385817527770996,False,0.2792627215385437,False
9,p0n11,2,2.5,0.5,7.0,1.0,G-4,66,1,0,0.8421356081962585,True,0.8582015633583069,True,0.6785298585891724,True
10,p0n12,2,2.5,0.5,7.0,1.0,E-4,63,1,0,0.9772762656211853,True,0.6426272392272949,True,0.6673809289932251,True
11,p0n16,3,0.0,3.0,8.0,6.0,G-4,66,1,0,0.8795912265777588,True,0.9494706392288208,True,0.8358261585235596,True
12,p0n13,3,0.0,0.5,8.0,1.0,F4,65,1,0,0.14762483537197113,False,0.11624080687761307,False,0.2546713352203369,False
13,p0n15,3,0.0,3.0,8.0,6.0,B-3,58,1,0,0.27636921405792236,False,0.2315502017736435,False,0.28953009843826294,False
14,p0n14,3,0.0,3.0,8.0,6.0,G-3,54,1,0,0.9098097681999207,True,0.8995665907859802,True,0.7976409196853638,True
15,p0n17,3,0.0,3.0,8.0,6.0,D-2,37,2,0,0.8420273065567017,True,0.8531699776649475,True,0.7300618886947632,True
16,p0n18,3,0.5,0.5,9.0,1.0,E-4,63,1,0,0.9425451755523682,True,0.6110857129096985,True,0.5216525793075562,True
17,p0n19,3,1.0,1.0,10.0,2.0,B-4,70,1,0,0.6233246922492981,True,0.5267037153244019,True,0.47209325432777405,False
18,p0n20,3,2.0,1.0,12.0,2.0,G-4,66,1,0,0.8913452625274658,True,0.7899696826934814,True,0.6350143551826477,True
19,p0n21,4,0.0,2.0,14.0,4.0,E-5,75,1,0,0.9597476124763489,True,0.8780033588409424,True,0.6272370219230652,True
20,p0n22,4,0.0,0.5,14.0,1.0,C-2,35,2,0,0.6002306938171387,True,0.6937472820281982,True,0.5501875877380371,True
21,p0n23,4,0.0,3.0,14.0,6.0,C-2,35,2,0,0.5640231370925903,True,0.6515845656394958,True,0.5808925032615662,True
22,p0n25,4,0.5,0.5,15.0,1.0,C-3,47,2,0,0.5117689967155457,True,0.686760425567627,True,0.6642060875892639,True
23,p0n26,4,1.0,1.5,16.0,3.0,G-3,54,1,0,0.9350749850273132,True,0.8317728638648987,True,0.7237319350242615,True
24,p0n27,4,1.0,0.5,16.0,1.0,G-3,54,1,0,0.8959401845932007,True,0.9244850277900696,True,0.8198612332344055,True
25,p0n28,4,1.5,0.5,17.0,1.0,E-4,63,1,0,0.8925608396530151,True,0.551090657711029,True,0.5563907027244568,True
26,p0n29,4,2.0,0.5,18.0,1.0,F5,77,1,0,0.21244460344314575,False,0.15087023377418518,False,0.2685534954071045,False
27,p0n30,4,2.0,0.5,18.0,1.0,G-4,66,1,0,0.884262204170227,True,0.9208394289016724,True,0.6030027270317078,True
28,p0n31,4,2.5,0.5,19.0,1.0,E-5,75,1,0,0.7010077238082886,True,0.31450945138931274,False,0.30785277485847473,False
29,p0n33,4,2.5,0.5,19.0,1.0,A-4,68,1,0,0.45539480447769165,False,0.07600651681423187,False,0.249308243393898,False
30,p0n32,4,2.5,0.5,19.0,1.0,A-3,56,1,0,0.11019761115312576,False,0.08318981528282166,False,0.24891391396522522,False
31,p0n35,5,0.0,0.5,20.0,1.0,D-5,73,1,0,0.7097967267036438,True,0.4978342056274414,False,0.36504116654396057,False
32,p0n38,5,0.0,3.0,20.0,6.0,B-4,70,1,0,0.9410272836685181,True,0.8714771270751953,True,0.78657466173172,True
33,p0n37,5,0.0,3.0,20.0,6.0,G-4,66,1,0,0.8238759636878967,True,0.9287341237068176,True,0.6952443718910217,True
34,p0n36,5,0.0,3.0,20.0,6.0,B-3,58,1,0,0.29658976197242737,False,0.21288911998271942,False,0.28360745310783386,False
