note_index,note_id,measure,measure_offset,quarter_length,time_position,duration_seconds,pitch_name,pitch_midi,staff,voice,layer_1_score,layer_1_mask,layer_2_score,layer_2_mask,layer_3_score,layer_3_mask
0,p0n8,1,2.5,0.5,10.0,2.0,B-4,70,1,0,0.6786888241767883,True,0.18462689220905304,False,0.28601953387260437,False
1,p0n9,1,2.5,0.5,10.0,2.0,E-2,39,2,0,0.6554523706436157,True,0.6564611792564392,True,0.5552465915679932,True
2,p0n11,2,0.0,1.0,12.0,4.0,E-5,75,1,0,0.2718401551246643,False,0.263986736536026,False,0.30544763803482056,False
3,p0n12,2,0.0,0.5,12.0,2.0,E-5,75,1,0,0.27145886421203613,False,0.2678530514240265,False,0.3064333498477936,False
4,p0n10,2,0.0,1.0,12.0,4.0,E-4,63,1,0,0.3285740613937378,False,0.275787889957428,False,0.30801254510879517,False
5,p0n14,2,0.0,1.0,12.0,4.0,G3,55,2,0,0.609088659286499,True,0.3556855022907257,False,0.2883225381374359,False
6,p0n13,2,0.0,1.0,12.0,4.0,E-3,51,2,0,0.978685736656189,True,0.8411977887153625,True,0.7947375774383545,True
7,p0n15,2,0.5,0.5,14.0,2.0,D5,74,1,0,0.17860069870948792,False,0.09902572631835938,False,0.2596636414527893,False
8,p0n17,2,1.0,0.5,16.0,2.0,E-5,75,1,0,0.10067354887723923,False,0.11687278747558594,False,0.26804640889167786,False
9,p0n18,2,1.0,0.5,16.0,2.0,C5,72,1,0,0.7954803109169006,True,0.4429134130477905,False,0.33484718203544617,False
10,p0n16,2,1.0,0.5,16.0,2.0,E-4,63,1,0,0.15139804780483246,False,0.12654469907283783,False,0.2694627344608307,False
11,p0n20,2,1.0,0.5,16.0,2.0,G3,55,2,0,0.3594338893890381,False,0.1971772164106369,False,0.2896387279033661,False
12,p0n19,2,1.0,0.5,16.0,2.0,E-3,51,2,0,0.9457987546920776,True,0.6212528944015503,True,0.7424978017807007,True
13,p0n22,2,1.5,1.0,18.0,4.0,E-5,75,1,0,0.10292167216539383,False,0.1697654277086258,False,0.2724277377128601,False
14,p0n23,2,1.5,1.0,18.0,4.0,B-4,70,1,0,0.6280772686004639,True,0.3473561108112335,False,0.3149329423904419,False
15,p0n21,2,1.5,1.0,18.0,4.0,E-4,63,1,0,0.24810850620269775,False,0.22384531795978546,False,0.28425195813179016,False
16,p0n25,2,1.5,1.0,18.0,4.0,G3,55,2,0,0.34818774461746216,False,0.30639004707336426,False,0.31274476647377014,False
17,p0n24,2,1.5,1.0,18.0,4.0,E-3,51,2,0,0.9346060752868652,True,0.7955003976821899,True,0.7265840768814087,True
18,p0n27,2,2.5,0.5,22.0,2.0,E-5,75,1,0,0.04965980350971222,False,0.10802580416202545,False,0.26627299189567566,False
19,p0n28,2,2.5,0.25,22.0,1.0,A-4,68,1,0,0.8411267995834351,True,0.4597395360469818,False,0.31047675013542175,False
20,p0n26,2,2.5,0.5,22.0,2.0,E-4,63,1,0,0.3417441248893738,False,0.16464665532112122,False,0.2777423858642578,False
21,p0n29,2,2.5,0.5,22.0,2.0,E-2,39,2,0,0.6419059634208679,True,0.5955004692077637,True,0.45755326747894287,False
22,p0n30,2,2.75,0.25,23.0,1.0,G4,67,1,0,0.8153521418571472,True,0.7774158716201782,True,0.4289070665836334,False
23,p0n31,3,0.0,1.0,24.0,4.0,E-5,75,1,0,0.09581717848777771,False,0.17349718511104584,False,0.2798959016799927,False
24,p0n32,3,0.0,0.5,24.0,2.0,F4,65,1,0,0.4965839684009552,False,0.41819480061531067,False,0.34988850355148315,False
25,p0n34,3,0.0,1.0,24.0,4.0,G3,55,2,0,0.4368981122970581,False,0.26548629999160767,False,0.3090311884880066,False
26,p0n33,3,0.0,1.0,24.0,4.0,E-3,51,2,0,0.8843372464179993,True,0.6202060580253601,True,0.6228917837142944,True
27,p0n35,3,0.5,0.5,26.0,2.0,E-4,63,1,0,0.2126721888780594,False,0.18675805628299713,False,0.27237915992736816,False
28,p0n36,3,1.0,0.5,28.0,2.0,E-5,75,1,0,0.1175246387720108,False,0.12047804892063141,False,0.2686145305633545,False
29,p0n37,3,1.0,0.5,28.0,2.0,G4,67,1,0,0.839461088180542,True,0.5812507271766663,True,0.45040154457092285,False
30,p0n39,3,1.0,0.5,28.0,2.0,G3,55,2,0,0.1511121690273285,False,0.12213893979787827,False,0.2726074755191803,False
31,p0n38,3,1.0,0.5,28.0,2.0,E-3,51,2,0,0.9240076541900635,True,0.5119668841362,True,0.6715279221534729,True
32,p0n41,3,1.5,1.0,30.0,4.0,E-5,75,1,0,0.15545393526554108,False,0.19471769034862518,False,0.2779731750488281,False
33,p0n42,3,1.5,1.0,30.0,4.0,B-4,70,1,0,0.6083269119262695,True,0.4115145802497864,False,0.30030569434165955,False
34,p0n40,3,1.5,1.0,30.0,4.0,E-4,63,1,0,0.5790472030639648,True,0.5897021293640137,True,0.3742208480834961,False
35,p0n44,3,1.5,1.0,30.0,4.0,G3,55,2,0,0.22356314957141876,False,0.22368702292442322,False,0.28873854875564575,False
36,p0n43,3,1.5,1.0,30.0,4.0,E-3,51,2,0,0.9239916801452637,True,0.7386665940284729,True,0.7248205542564392,True
37,p0n46,3,2.5,0.5,34.0,2.0,E-5,75,1,0,0.10326460748910904,False,0.11878690868616104,False,0.26825642585754395,False
38,p0n47,3,2.5,0.25,34.0,1.0,C5,72,1,0,0.9251627326011658,True,0.3980015218257904,False,0.3135717809200287,False
39,p0n45,3,2.5,0.5,34.0,2.0,E-4,63,1,0,0.606495201587677,True,0.3889015018939972,False,0.3123212158679962,False
40,p0n48,3,2.5,0.5,34.0,2.0,G1,31,2,0,0.5384712219238281,True,0.7423027753829956,True,0.6364722847938538,True
41,p0n49,3,2.75,0.25,35.0,1.0,D5,74,1,0,0.13511109352111816,False,0.09009017795324326,False,0.25942370295524597,False
42,p0n51,4,0.0,1.0,36.0,4.0,E-5,75,1,0,0.34054622054100037,False,0.33620685338974,False,0.3293117582798004,False
43,p0n52,4,0.0,0.5,36.0,2.0,E-5,75,1,0,0.36331236362457275,False,0.32153645157814026,False,0.32428300380706787,False
44,p0n50,4,0.0,1.0,36.0,4.0,E-4,63,1,0,0.6351988315582275,True,0.7717900276184082,True,0.5813307166099548,True
45,p0n55,4,0.0,1.0,36.0,4.0,G3,55,2,0,0.29291680455207825,False,0.22571073472499847,False,0.2969247102737427,False
46,p0n54,4,0.0,1.0,36.0,4.0,E-3,51,2,0,0.962654709815979,True,0.6944614052772522,True,0.6835821866989136,True
47,p0n53,4,0.0,1.0,36.0,4.0,G2,43,2,0,0.7085289359092712,True,0.6090089678764343,True,0.3976000249385834,False
48,p0n56,4,0.5,0.5,38.0,2.0,D5,74,1,0,0.3638988435268402,False,0.14818179607391357,False,0.2675780951976776,False
49,p0n58,4,1.0,0.5,40.0,2.0,E-5,75,1,0,0.11710646748542786,False,0.12588462233543396,False,0.26926106214523315,False
50,p0n59,4,1.0,0.5,40.0,2.0,C5,72,1,0,0.8227126598358154,True,0.27603277564048767,False,0.2990049421787262,False
51,p0n57,4,1.0,0.5,40.0,2.0,E-4,63,1,0,0.24790437519550323,False,0.14308719336986542,False,0.27271562814712524,False
52,p0n62,4,1.0,0.5,40.0,2.0,G3,55,2,0,0.16145502030849457,False,0.123049795627594,False,0.2727111279964447,False
53,p0n61,4,1.0,0.5,40.0,2.0,E-3,51,2,0,0.9624727964401245,True,0.6604186296463013,True,0.657924234867096,True
54,p0n60,4,1.0,0.5,40.0,2.0,G2,43,2,0,0.30549392104148865,False,0.19401657581329346,False,0.2890014052391052,False
55,p0n64,4,1.5,1.0,42.0,4.0,E-5,75,1,0,0.24164451658725739,False,0.25778234004974365,False,0.29322609305381775,False
56,p0n65,4,1.5,1.0,42.0,4.0,B-4,70,1,0,0.750321626663208,True,0.7912450432777405,True,0.5515062212944031,True
57,p0n63,4,1.5,1.0,42.0,4.0,E-4,63,1,0,0.38202518224716187,False,0.31912773847579956,False,0.31020864844322205,False
58,p0n68,4,1.5,1.0,42.0,4.0,G3,55,2,0,0.1582581102848053,False,0.18988430500030518,False,0.2802644371986389,False
59,p0n67,4,1.5,1.0,42.0,4.0,E-3,51,2,0,0.9635565876960754,True,0.8635907769203186,True,0.7613837122917175,True
60,p0n66,4,1.5,1.0,42.0,4.0,G2,43,2,0,0.5512744784355164,True,0.6591755747795105,True,0.32821333408355713,False
61,p0n70,4,2.5,0.5,46.0,2.0,E-5,75,1,0,0.034660812467336655,False,0.10445646941661835,False,0.26538902521133423,False
62,p0n71,4,2.5,0.25,46.0,1.0,A-4,68,1,0,0.6433670520782471,True,0.2820902168750763,False,0.2702101171016693,False
63,p0n69,4,2.5,0.5,46.0,2.0,E-4,63,1,0,0.5244850516319275,True,0.23945599794387817,False,0.2885553240776062,False
64,p0n72,4,2.5,0.5,46.0,2.0,B-1,34,2,0,0.8844335079193115,True,0.40722915530204773,False,0.3476752042770386,False
65,p0n73,4,2.75,0.25,47.0,1.0,G4,67,1,0,0.7553147077560425,True,0.352837473154068,False,0.301754355430603,False
66,p0n74,5,0.0,1.0,48.0,4.0,E-5,75,1,0,0.04967239871621132,False,0.15505972504615784,False,0.27557891607284546,False
67,p0n75,5,0.0,0.5,48.0,2.0,B-4,70,1,0,0.6218763589859009,True,0.1867465376853943,False,0.2730259299278259,False
68,p0n77,5,0.0,1.0,48.0,4.0,G3,55,2,0,0.21776171028614044,False,0.21045121550559998,False,0.2930487394332886,False
69,p0n76,5,0.0,1.0,48.0,4.0,B-2,46,2,0,0.18229767680168152,False,0.13072097301483154,False,0.27318060398101807,False
70,p0n78,5,0.5,0.5,50.0,2.0,E-4,63,1,0,0.1550690084695816,False,0.1481458842754364,False,0.2636638879776001,False
71,p0n79,5,1.0,0.5,52.0,2.0,D5,74,1,0,0.4660514295101166,False,0.09172402322292328,False,0.2677273154258728,False
72,p0n80,5,1.0,0.5,52.0,2.0,F4,65,1,0,0.9328885078430176,True,0.7604097723960876,True,0.4549218416213989,False
73,p0n82,5,1.0,0.5,52.0,2.0,A-3,56,2,0,0.7633678913116455,True,0.39255380630493164,False,0.29190897941589355,False
74,p0n81,5,1.0,0.5,52.0,2.0,B-2,46,2,0,0.19664344191551208,False,0.10236956179141998,False,0.2675001323223114,False
75,p0n83,5,1.5,1.0,54.0,4.0,E-5,75,1,0,0.1395861953496933,False,0.16791503131389618,False,0.27171456813812256,False
76,p0n84,5,1.5,0.75,54.0,3.0,E-4,63,1,0,0.1710432916879654,False,0.19921618700027466,False,0.2784591019153595,False
77,p0n86,5,1.5,1.0,54.0,4.0,G3,55,2,0,0.17493337392807007,False,0.17706111073493958,False,0.27742907404899597,False
78,p0n85,5,1.5,1.0,54.0,4.0,E-3,51,2,0,0.9562616944313049,True,0.6030724048614502,True,0.4451354742050171,False
79,p0n87,5,2.25,0.25,57.0,1.0,G4,67,1,0,0.872920036315918,True,0.5395088791847229,True,0.40137410163879395,False
80,p0n89,5,2.5,0.25,58.0,1.0,B-4,70,1,0,0.870552659034729,True,0.5162400603294373,True,0.3297658860683441,False
81,p0n90,5,2.5,0.5,58.0,2.0,E-2,39,2,0,0.7181703448295593,True,0.6676262617111206,True,0.42075952887535095,False
82,p0n91,5,2.75,0.25,59.0,1.0,G5,79,1,0,0.8163285851478577,True,0.35047951340675354,False,0.33192938566207886,False
83,p0n93,6,0.0,1.0,60.0,4.0,A-5,80,1,0,0.6757487058639526,True,0.604500412940979,True,0.47709229588508606,False
84,p0n94,6,0.0,0.5,60.0,2.0,F5,77,1,0,0.44753411412239075,False,0.2657245397567749,False,0.2921045124530792,False
85,p0n92,6,0.0,1.0,60.0,4.0,A-4,68,1,0,0.17997048795223236,False,0.1387699991464615,False,0.2692212164402008,False
86,p0n96,6,0.0,1.0,60.0,4.0,C4,60,2,0,0.9317126870155334,True,0.8078184127807617,True,0.6114607453346252,True
87,p0n95,6,0.0,1.0,60.0,4.0,E-3,51,2,0,0.9636950492858887,True,0.740989089012146,True,0.4615640938282013,False
88,p0n97,6,0.5,0.5,62.0,2.0,C5,72,1,0,0.9172505140304565,True,0.21894700825214386,False,0.27026212215423584,False
89,p0n99,6,1.0,0.5,64.0,2.0,F5,77,1,0,0.058557458221912384,False,0.08973892778158188,False,0.25445738434791565,False
90,p0n100,6,1.0,0.5,64.0,2.0,D5,74,1,0,0.9097537398338318,True,0.06973755359649658,False,0.26702460646629333,False
91,p0n98,6,1.0,0.5,64.0,2.0,F4,65,1,0,0.7018550634384155,True,0.5400879979133606,True,0.3274332284927368,False
92,p0n102,6,1.0,0.5,64.0,2.0,A-3,56,2,0,0.9297363758087158,True,0.5636948943138123,True,0.38468167185783386,False
93,p0n101,6,1.0,0.5,64.0,2.0,E-3,51,2,0,0.9481082558631897,True,0.3849758803844452,False,0.3373721241950989,False
94,p0n104,6,1.5,1.0,66.0,4.0,G5,79,1,0,0.46756696701049805,False,0.3299718201160431,False,0.32459157705307007,False
95,p0n105,6,1.5,0.75,66.0,3.0,B-4,70,1,0,0.8238404393196106,True,0.624534547328949,True,0.43088459968566895,False
