note_index,note_id,measure,measure_offset,quarter_length,time_position,duration_seconds,pitch_name,pitch_midi,staff,voice,layer_1_score,layer_1_mask,layer_2_score,layer_2_mask,layer_3_score,layer_3_mask
0,p0n2,1,0.0,3.0,0.0,36.0,A-1,32,2,0,0.29950931668281555,False,0.4030403196811676,False,0.35380300879478455,False
1,p0n3,1,0.16666666666666666,0.16666666666666666,2.0,2.0,C3,48,2,0,0.6521251797676086,True,0.2759942412376404,False,0.29355064034461975,False
2,p0n4,1,0.3333333333333333,0.16666666666666666,4.0,2.0,E-3,51,2,0,0.4188137948513031,False,0.20987138152122498,False,0.2844778895378113,False
3,p0n5,1,0.5,0.16666666666666666,6.0,2.0,A-3,56,2,0,0.6523280739784241,True,0.6553085446357727,True,0.7328159213066101,True
4,p0n6,1,0.6666666666666666,0.16666666666666666,8.0,2.0,E-3,51,2,0,0.5520849823951721,True,0.19403275847434998,False,0.29343047738075256,False
5,p0n7,1,0.8333333333333334,0.16666666666666666,10.0,2.0,A-3,56,2,0,0.663521409034729,True,0.30005109310150146,False,0.32328206300735474,False
6,p0n9,1,1.0,0.16666666666666666,12.0,2.0,C4,60,2,0,0.972505509853363,True,0.8793761134147644,True,0.6101070046424866,True
7,p0n10,1,1.1666666666666667,0.16666666666666666,14.0,2.0,A-3,56,2,0,0.8724377155303955,True,0.2829444706439972,False,0.32573410868644714,False
8,p0n11,1,1.3333333333333333,0.16666666666666666,16.0,2.0,E-3,51,2,0,0.39180412888526917,False,0.2048535794019699,False,0.28285908699035645,False
9,p0n14,1,1.5,4.5,18.0,54.0,A-2,44,2,0,0.11971093714237213,False,0.22953222692012787,False,0.29238441586494446,False
10,p0n15,1,1.6666666666666667,0.16666666666666666,20.0,2.0,E-3,51,2,0,0.29679012298583984,False,0.1473085880279541,False,0.2706245481967926,False
11,p0n16,1,1.8333333333333333,0.16666666666666666,22.0,2.0,A-3,56,2,0,0.726983904838562,True,0.26741823554039,False,0.2971818447113037,False
12,p0n17,1,2.0,0.16666666666666666,24.0,2.0,C4,60,2,0,0.930819034576416,True,0.9053428173065186,True,0.5979717373847961,True
13,p0n18,1,2.1666666666666665,0.16666666666666666,26.0,2.0,A-3,56,2,0,0.6991830468177795,True,0.21775628626346588,False,0.29894015192985535,False
14,p0n19,1,2.3333333333333335,0.16666666666666666,28.0,2.0,C4,60,2,0,0.940109133720398,True,0.6012765169143677,True,0.41217881441116333,False
15,p0n20,1,2.5,0.5,30.0,6.0,E-4,63,1,0,0.6580621600151062,True,0.7251062393188477,True,0.5435842871665955,True
16,p0n21,1,2.5,0.16666666666666666,30.0,2.0,E-4,63,1,0,0.7203649282455444,True,0.6036435961723328,True,0.4297899603843689,False
17,p0n22,1,2.6666666666666665,0.16666666666666666,32.0,2.0,C4,60,2,0,0.9560841917991638,True,0.6701235771179199,True,0.40734413266181946,False
18,p0n23,1,2.8333333333333335,0.16666666666666666,34.0,2.0,A-3,56,2,0,0.5261478424072266,True,0.17638376355171204,False,0.2861141562461853,False
19,p0n24,2,0.0,1.0,36.0,12.0,A-4,68,1,0,0.3206802010536194,False,0.31845971941947937,False,0.3298569917678833,False
20,p0n25,2,0.0,3.0,36.0,36.0,A-1,32,2,0,0.3939473628997803,False,0.48832038044929504,False,0.3925066292285919,False
21,p0n28,2,0.16666666666666666,0.16666666666666666,38.0,2.0,A-3,56,1,0,0.48852571845054626,False,0.23439230024814606,False,0.29696378111839294,False
22,p0n29,2,0.3333333333333333,0.16666666666666666,40.0,2.0,C4,60,1,0,0.9759836792945862,True,0.7100363373756409,True,0.4441486895084381,False
23,p0n30,2,0.5,0.16666666666666666,42.0,2.0,E-4,63,1,0,0.7143258452415466,True,0.7198506593704224,True,0.49092498421669006,False
24,p0n31,2,0.6666666666666666,0.16666666666666666,44.0,2.0,C4,60,1,0,0.9866793751716614,True,0.6963596940040588,True,0.42670807242393494,False
25,p0n32,2,0.8333333333333334,0.16666666666666666,46.0,2.0,E-4,63,1,0,0.3411928415298462,False,0.15162457525730133,False,0.2712375223636627,False
26,p0n33,2,1.0,0.5,48.0,6.0,G4,67,1,0,0.5647479295730591,True,0.40179720520973206,False,0.3295816481113434,False
27,p0n34,2,1.0,0.16666666666666666,48.0,2.0,G4,67,1,0,0.7421066164970398,True,0.39864879846572876,False,0.3331086039543152,False
28,p0n35,2,1.1666666666666667,0.16666666666666666,50.0,2.0,E-4,63,1,0,0.33401915431022644,False,0.15740321576595306,False,0.2714489698410034,False
29,p0n36,2,1.3333333333333333,0.16666666666666666,52.0,2.0,D-4,61,1,0,0.8135827779769897,True,0.3862933814525604,False,0.3336813747882843,False
30,p0n37,2,1.5,0.5,54.0,6.0,A-4,68,1,0,0.627040684223175,True,0.6348022222518921,True,0.46134090423583984,False
31,p0n39,2,1.6666666666666667,0.16666666666666666,56.0,2.0,C4,60,1,0,0.9506736397743225,True,0.7203990817070007,True,0.4236946403980255,False
32,p0n40,2,1.8333333333333333,0.16666666666666666,58.0,2.0,E-4,63,1,0,0.38100701570510864,False,0.21842029690742493,False,0.28357622027397156,False
33,p0n41,2,2.0,0.5,60.0,6.0,B-4,70,1,0,0.7105085849761963,True,0.6183333396911621,True,0.2704404294490814,False
34,p0n42,2,2.0,0.16666666666666666,60.0,2.0,B-4,70,1,0,0.7545676231384277,True,0.5669280886650085,True,0.2543415129184723,False
35,p0n43,2,2.1666666666666665,0.16666666666666666,62.0,2.0,D-4,61,1,0,0.7908239364624023,True,0.28345319628715515,False,0.2955724000930786,False
36,p0n44,2,2.3333333333333335,0.16666666666666666,64.0,2.0,F4,65,1,0,0.6546482443809509,True,0.6278609037399292,True,0.3570987284183502,False
37,p0n45,2,2.5,0.5,66.0,6.0,C5,72,1,0,0.36565864086151123,False,0.21023860573768616,False,0.28948715329170227,False
38,p0n46,2,2.5,0.16666666666666666,66.0,2.0,C5,72,1,0,0.32838672399520874,False,0.16208387911319733,False,0.2786896228790283,False
39,p0n47,2,2.6666666666666665,0.16666666666666666,68.0,2.0,E-4,63,1,0,0.361808180809021,False,0.19195985794067383,False,0.27827736735343933,False
40,p0n48,2,2.8333333333333335,0.16666666666666666,70.0,2.0,G-4,66,1,0,0.7298582196235657,True,0.23459798097610474,False,0.28908488154411316,False
41,p0n49,3,0.0,0.5,72.0,6.0,D-5,73,1,0,0.38384923338890076,False,0.48401308059692383,False,0.3950459659099579,False
42,p0n51,3,0.0,2.5,72.0,30.0,A-2,44,2,0,0.10650265961885452,False,0.21342690289020538,False,0.2949404716491699,False
43,p0n50,3,0.0,2.5,72.0,30.0,A-1,32,2,0,0.35057970881462097,False,0.4245791733264923,False,0.36345958709716797,False
