note_index,note_id,measure,measure_offset,quarter_length,time_position,duration_seconds,pitch_name,pitch_midi,staff,voice,layer_1_score,layer_1_mask,layer_2_score,layer_2_mask,layer_3_score,layer_3_mask
0,p0n0,1,0.0,2.0,0.0,48.0,F4,65,1,0,0.6912388801574707,True,0.7307265400886536,True,0.557465136051178,True
1,p0n1,1,0.0,0.5,0.0,12.0,F3,53,2,0,0.42603999376296997,False,0.34682250022888184,False,0.32860252261161804,False
2,p0n2,1,0.5,0.5,12.0,12.0,A3,57,2,0,0.8008583784103394,True,0.5113831758499146,True,0.43057674169540405,False
3,p0n3,1,1.0,0.5,24.0,12.0,C4,60,2,0,0.6694169044494629,True,0.6918736696243286,True,0.4743453562259674,False
4,p0n4,1,1.5,0.5,36.0,12.0,A3,57,2,0,0.6904465556144714,True,0.38256242871284485,False,0.3423573970794678,False
5,p0n5,1,2.0,1.0,48.0,24.0,A4,69,1,0,0.7459118366241455,True,0.47322890162467957,False,0.36831608414649963,False
6,p0n6,1,2.0,0.5,48.0,12.0,C4,60,2,0,0.6309095621109009,True,0.4685908257961273,False,0.33800527453422546,False
7,p0n7,1,2.5,0.5,60.0,12.0,A3,57,2,0,0.7514424920082092,True,0.2385517656803131,False,0.321706622838974,False
8,p0n8,2,0.0,2.0,72.0,48.0,C5,72,1,0,0.7516464591026306,True,0.7456227540969849,True,0.6318114995956421,True
9,p0n9,2,0.0,0.5,72.0,12.0,F3,53,2,0,0.7101014852523804,True,0.6675747036933899,True,0.3460404574871063,False
10,p0n10,2,0.5,0.5,84.0,12.0,C4,60,2,0,0.36093223094940186,False,0.22270987927913666,False,0.28394338488578796,False
11,p0n11,2,1.0,0.5,96.0,12.0,E-4,63,2,0,0.47031480073928833,False,0.34795722365379333,False,0.3200850486755371,False
12,p0n12,2,1.5,0.5,108.0,12.0,C4,60,2,0,0.4674246311187744,False,0.2746284604072571,False,0.2983618974685669,False
13,p0n13,2,2.0,1.0,120.0,24.0,A4,69,1,0,0.8638060688972473,True,0.6266294121742249,True,0.5121442079544067,True
14,p0n14,2,2.0,0.5,120.0,12.0,E-4,63,2,0,0.4109640121459961,False,0.1932370662689209,False,0.27321657538414,False
15,p0n15,2,2.5,0.5,132.0,12.0,C4,60,2,0,0.5449011325836182,True,0.19246399402618408,False,0.26104146242141724,False
16,p0n16,3,0.0,2.0,144.0,48.0,B-4,70,1,0,0.9439270496368408,True,0.5597850680351257,True,0.426778644323349,False
17,p0n17,3,0.0,0.5,144.0,12.0,F3,53,2,0,0.4853780269622803,False,0.3524423837661743,False,0.3260226845741272,False
18,p0n18,3,0.5,0.5,156.0,12.0,B-3,58,2,0,0.8606541156768799,True,0.34196433424949646,False,0.3117647171020508,False
19,p0n19,3,1.0,0.5,168.0,12.0,D4,62,2,0,0.4410063624382019,False,0.32754406332969666,False,0.3138715922832489,False
20,p0n20,3,1.5,0.5,180.0,12.0,B-3,58,2,0,0.8155901432037354,True,0.22069776058197021,False,0.2809074819087982,False
21,p0n21,3,2.0,1.0,192.0,24.0,G5,79,1,0,0.7365972995758057,True,0.3115164339542389,False,0.28277483582496643,False
22,p0n22,3,2.0,0.5,192.0,12.0,D4,62,2,0,0.2393355667591095,False,0.14074526727199554,False,0.2606561779975891,False
23,p0n23,3,2.5,0.5,204.0,12.0,B-3,58,2,0,0.6615325808525085,True,0.16859234869480133,False,0.2634062170982361,False
24,p0n24,4,0.0,0.5,216.0,12.0,F5,77,1,0,0.8746529817581177,True,0.9051141738891602,True,0.6996569037437439,True
25,p0n25,4,0.0,0.5,216.0,12.0,F3,53,2,0,0.6439815759658813,True,0.6828568577766418,True,0.4170458912849426,False
