note_index,note_id,measure,measure_offset,quarter_length,time_position,duration_seconds,pitch_name,pitch_midi,staff,voice,layer_1_score,layer_1_mask,layer_2_score,layer_2_mask,layer_3_score,layer_3_mask
0,p0n0,1,0.0,1.0,0.0,24.0,C5,72,1,0,0.8599173426628113,True,0.3270145654678345,False,0.33973631262779236,False
1,p1n1,1,0.0,0.5,0.0,12.0,G4,67,1,1,0.7430181503295898,True,0.5505713224411011,True,0.3946559429168701,False
2,p1n0,1,0.0,0.5,0.0,12.0,E-4,63,1,1,0.3604809641838074,False,0.39119547605514526,False,0.34325841069221497,False
3,p1n2,1,0.0,3.0,0.0,72.0,E-3,51,2,1,0.9505107402801514,True,0.9852871894836426,True,0.9455690383911133,True
4,p1n3,1,0.5,0.5,12.0,12.0,B-3,58,1,1,0.9450735449790955,True,0.8824018836021423,True,0.7045086026191711,True
5,p0n1,1,1.0,1.5,24.0,36.0,F5,77,1,0,0.5852406024932861,True,0.4368792772293091,False,0.32764962315559387,False
6,p1n5,1,1.0,0.5,24.0,12.0,G4,67,1,1,0.5192230939865112,True,0.32654353976249695,False,0.29150933027267456,False
7,p1n4,1,1.0,0.5,24.0,12.0,E-4,63,1,1,0.1946631669998169,False,0.2379416525363922,False,0.28720229864120483,False
8,p1n6,1,1.5,0.5,36.0,12.0,B-3,58,1,1,0.9266724586486816,True,0.8561320900917053,True,0.6824769377708435,True
9,p1n8,1,2.0,0.5,48.0,12.0,G4,67,1,1,0.4779362380504608,False,0.24665319919586182,False,0.2921754717826843,False
10,p1n7,1,2.0,0.5,48.0,12.0,E-4,63,1,1,0.215138778090477,False,0.20247973501682281,False,0.27478206157684326,False
11,p0n2,1,2.5,0.5,60.0,12.0,A5,81,1,0,0.3685168921947479,False,0.14950887858867645,False,0.27135175466537476,False
12,p1n9,1,2.5,0.5,60.0,12.0,B-3,58,1,1,0.9348689317703247,True,0.8793840408325195,True,0.7717708945274353,True
13,p0n3,2,0.0,0.5,72.0,12.0,A5,81,1,0,0.36446839570999146,False,0.17982621490955353,False,0.2795228660106659,False
14,p1n11,2,0.0,0.5,72.0,12.0,A-4,68,1,1,0.08760111033916473,False,0.1410408467054367,False,0.2697935998439789,False
15,p1n10,2,0.0,0.5,72.0,12.0,D4,62,1,1,0.5416216254234314,True,0.7801553606987,True,0.454316645860672,False
16,p1n12,2,0.0,1.0,72.0,24.0,B-2,46,2,1,0.774947464466095,True,0.9489185810089111,True,0.7553728222846985,True
17,p0n4,2,0.5,0.5,84.0,12.0,G5,79,1,0,0.5028907060623169,True,0.19058743119239807,False,0.2719278037548065,False
18,p1n13,2,0.5,0.5,84.0,12.0,B-3,58,1,1,0.9475032091140747,True,0.8902506232261658,True,0.8441668152809143,True
19,p0n5,2,1.0,1.0,96.0,24.0,F5,77,1,0,0.7329895496368408,True,0.360844224691391,False,0.30800381302833557,False
20,p1n15,2,1.0,0.5,96.0,12.0,G4,67,1,1,0.7682331204414368,True,0.6978794932365417,True,0.5437393188476562,True
21,p1n14,2,1.0,0.5,96.0,12.0,E-4,63,1,1,0.22996817529201508,False,0.26203653216362,False,0.2929812967777252,False
22,p1n16,2,1.0,1.0,96.0,24.0,E-3,51,2,1,0.8520548939704895,True,0.953678548336029,True,0.86998051404953,True
23,p1n17,2,1.5,0.5,108.0,12.0,B-3,58,1,1,0.9432926177978516,True,0.8999028205871582,True,0.7415944337844849,True
24,p1n19,2,2.0,0.5,120.0,12.0,G4,67,1,1,0.6723456382751465,True,0.5081819891929626,True,0.43429285287857056,False
25,p1n18,2,2.0,0.5,120.0,12.0,E-4,63,1,1,0.09333711117506027,False,0.1456635296344757,False,0.2640078365802765,False
26,p1n21,2,2.5,0.5,132.0,12.0,B-3,58,1,1,0.9514011740684509,True,0.8970072269439697,True,0.8135477304458618,True
27,p0n7,3,0.0,1.5,144.0,36.0,C5,72,1,0,0.6496495008468628,True,0.526689887046814,True,0.32453134655952454,False
28,p1n23,3,0.0,0.5,144.0,12.0,G4,67,1,1,0.8387758135795593,True,0.6823713779449463,True,0.5580403804779053,True
29,p1n22,3,0.0,0.5,144.0,12.0,E-4,63,1,1,0.22741998732089996,False,0.27712157368659973,False,0.3043286204338074,False
30,p1n24,3,0.0,3.0,144.0,72.0,E-3,51,2,1,0.9321316480636597,True,0.9749259352684021,True,0.9210813045501709,True
