note_index,note_id,measure,measure_offset,quarter_length,time_position,duration_seconds,pitch_name,pitch_midi,staff,voice,layer_1_score,layer_1_mask,layer_2_score,layer_2_mask,layer_3_score,layer_3_mask
0,p0n3,1,2.5,0.25,480.0,48.0,C#5,73,1,0,0.9125228524208069,True,0.746125340461731,True,0.5704012513160706,True
1,p0n4,1,2.75,0.25,528.0,48.0,D5,74,1,0,0.4039464592933655,False,0.36483854055404663,False,0.3430677056312561,False
2,p0n5,2,0.0,0.5,576.0,96.0,E5,76,1,0,0.23883311450481415,False,0.41295456886291504,False,0.3743451237678528,False
3,p0n7,2,0.0,0.5,576.0,96.0,C#5,73,1,0,0.995029866695404,True,0.7949649095535278,True,0.3790835440158844,False
4,p0n6,2,0.0,0.5,576.0,96.0,A4,69,1,0,0.44659289717674255,False,0.396362841129303,False,0.3797307014465332,False
5,p0n8,2,0.0,0.5,576.0,96.0,A4,69,1,0,0.36259958148002625,False,0.35547396540641785,False,0.36439576745033264,False
6,p0n9,2,0.0,0.5,576.0,96.0,A3,57,2,0,0.9509250521659851,True,0.8898636102676392,True,0.9112256169319153,True
7,p0n10,2,0.5,0.5,672.0,96.0,E5,76,1,0,0.01614227518439293,False,0.16176380217075348,False,0.29568058252334595,False
8,p0n15,2,1.0,0.5,768.0,96.0,E5,76,1,0,0.09872353076934814,False,0.19096791744232178,False,0.3101194500923157,False
9,p0n17,2,1.0,0.5,768.0,96.0,C#5,73,1,0,0.9869775176048279,True,0.754817008972168,True,0.4215857982635498,False
10,p0n16,2,1.0,0.5,768.0,96.0,A4,69,1,0,0.5046001076698303,True,0.22647930681705475,False,0.3052167296409607,False
11,p0n18,2,1.0,0.5,768.0,96.0,A4,69,1,0,0.4433406591415405,False,0.3009285032749176,False,0.3434363305568695,False
12,p0n19,2,1.0,0.5,768.0,96.0,A3,57,2,0,0.9143500924110413,True,0.8255642652511597,True,0.9082748889923096,True
13,p0n20,2,1.5,0.25,864.0,48.0,F#5,78,1,0,0.7744281888008118,True,0.6803476810455322,True,0.3482760488986969,False
14,p0n22,2,1.5,0.5,864.0,96.0,C#5,73,1,0,0.9826506972312927,True,0.9503637552261353,True,0.4487103521823883,False
15,p0n21,2,1.5,0.5,864.0,96.0,A4,69,1,0,0.37743833661079407,False,0.38703781366348267,False,0.35829299688339233,False
16,p0n23,2,1.5,0.5,864.0,96.0,A4,69,1,0,0.34763017296791077,False,0.3651909828186035,False,0.35174208879470825,False
17,p0n24,2,1.5,0.5,864.0,96.0,A3,57,2,0,0.8928760290145874,True,0.9334574937820435,True,0.9064587950706482,True
18,p0n25,2,1.75,0.25,912.0,48.0,E5,76,1,0,0.05912613496184349,False,0.16914930939674377,False,0.297628253698349,False
19,p0n26,2,2.0,0.25,960.0,48.0,D#5,75,1,0,0.796194314956665,True,0.6248115301132202,True,0.2838667035102844,False
20,p0n28,2,2.0,0.5,960.0,96.0,C#5,73,1,0,0.5375187397003174,True,0.6076276302337646,True,0.3605996072292328,False
21,p0n27,2,2.0,0.5,960.0,96.0,A4,69,1,0,0.15768776834011078,False,0.16100986301898956,False,0.30330875515937805,False
22,p0n29,2,2.0,0.5,960.0,96.0,A4,69,1,0,0.1554614007472992,False,0.1640702486038208,False,0.3038787543773651,False
23,p0n30,2,2.0,0.5,960.0,96.0,A3,57,2,0,0.9044862389564514,True,0.7947401404380798,True,0.8353512287139893,True
24,p0n31,2,2.25,0.25,1008.0,48.0,E5,76,1,0,0.7212057113647461,True,0.9356058239936829,True,0.6598990559577942,True
