note_index,note_id,measure,measure_offset,quarter_length,time_position,duration_seconds,pitch_name,pitch_midi,staff,voice,layer_1_score,layer_1_mask,layer_2_score,layer_2_mask,layer_3_score,layer_3_mask
0,p0n2,1,1.0,0.25,8.0,2.0,A5,81,1,0,0.4634910225868225,False,0.23915979266166687,False,0.285694420337677,False
1,p0n3,1,1.25,0.25,10.0,2.0,F#5,78,1,0,0.4772431552410126,False,0.174552321434021,False,0.2877534031867981,False
2,p0n4,1,1.5,0.25,12.0,2.0,G5,79,1,0,0.057571426033973694,False,0.10656321048736572,False,0.25910302996635437,False
3,p0n5,1,1.75,0.25,14.0,2.0,E5,76,1,0,0.4567153751850128,False,0.22585901618003845,False,0.28743600845336914,False
4,p0n6,2,0.0,0.5,16.0,4.0,D5,74,1,0,0.976316511631012,True,0.8233649730682373,True,0.5893364548683167,True
5,p0n8,2,0.0,0.5,16.0,4.0,A4,69,1,0,0.037713777273893356,False,0.12016335874795914,False,0.26640811562538147,False
6,p0n7,2,0.0,0.5,16.0,4.0,F#4,66,1,0,0.41059795022010803,False,0.16071604192256927,False,0.28757962584495544,False
7,p0n9,2,0.0,0.5,16.0,4.0,D4,62,2,0,0.9950996041297913,True,0.9316626787185669,True,0.7437396049499512,True
8,p0n13,2,1.0,0.75,24.0,6.0,E5,76,1,0,0.4399176239967346,False,0.2447028011083603,False,0.28508687019348145,False
9,p0n15,2,1.0,0.75,24.0,6.0,C#5,73,1,0,0.9736372232437134,True,0.9336059093475342,True,0.7053315043449402,True
10,p0n14,2,1.0,0.75,24.0,6.0,G4,67,1,0,0.07024195790290833,False,0.15428601205348969,False,0.26987892389297485,False
11,p0n16,2,1.0,0.5,24.0,4.0,A3,57,2,0,0.34760239720344543,False,0.2301967740058899,False,0.2799343764781952,False
12,p0n18,2,1.75,0.125,30.0,1.0,D5,74,1,0,0.8123211860656738,True,0.7019277215003967,True,0.49926668405532837,False
13,p0n19,2,1.75,0.125,30.0,1.0,B4,71,1,0,0.8773134350776672,True,0.9413402676582336,True,0.7057526111602783,True
14,p0n20,2,1.875,0.125,31.0,1.0,E5,76,1,0,0.563062310218811,True,0.16270296275615692,False,0.2557401657104492,False
15,p0n21,2,1.875,0.125,31.0,1.0,C#5,73,1,0,0.7048235535621643,True,0.5897168517112732,True,0.42228463292121887,False
16,p0n22,3,0.0,1.0,32.0,8.0,F#5,78,1,0,0.8806568384170532,True,0.2130454182624817,False,0.29834768176078796,False
17,p0n24,3,0.0,0.5,32.0,4.0,D5,74,1,0,0.8377154469490051,True,0.9482588768005371,True,0.6513636708259583,True
18,p0n23,3,0.0,0.5,32.0,4.0,F#4,66,1,0,0.6187400817871094,True,0.4537379741668701,False,0.3751164674758911,False
19,p0n25,3,0.0,0.5,32.0,4.0,D3,50,2,0,0.9262303709983826,True,0.8214715719223022,True,0.5656265616416931,True
20,p0n28,3,1.0,0.5,40.0,4.0,F#5,78,1,0,0.9070810079574585,True,0.20443026721477509,False,0.28512072563171387,False
21,p0n30,3,1.0,0.5,40.0,4.0,D5,74,1,0,0.5876484513282776,True,0.718543291091919,True,0.5564863681793213,True
22,p0n29,3,1.0,0.5,40.0,4.0,D4,62,1,0,0.9865692853927612,True,0.9022490382194519,True,0.7755106091499329,True
23,p0n32,3,1.5,0.5,44.0,4.0,G5,79,1,0,0.1162349283695221,False,0.12564429640769958,False,0.26176515221595764,False
24,p0n34,3,1.5,0.5,44.0,4.0,D5,74,1,0,0.2897632420063019,False,0.18652087450027466,False,0.27282747626304626,False
25,p0n33,3,1.5,0.5,44.0,4.0,E4,64,1,0,0.695883572101593,True,0.6185659766197205,True,0.5732609629631042,True
26,p0n35,3,1.5,0.5,44.0,4.0,D4,62,2,0,0.9445701837539673,True,0.7982321977615356,True,0.7269505858421326,True
27,p0n36,4,0.0,0.5,48.0,4.0,A5,81,1,0,0.7193595170974731,True,0.35371658205986023,False,0.3023979663848877,False
28,p0n38,4,0.0,0.5,48.0,4.0,D5,74,1,0,0.5164178013801575,True,0.753892719745636,True,0.48610877990722656,False
29,p0n37,4,0.0,0.5,48.0,4.0,F#4,66,1,0,0.6692942976951599,True,0.4278511106967926,False,0.33532607555389404,False
