note_index,note_id,measure,measure_offset,quarter_length,time_position,duration_seconds,pitch_name,pitch_midi,staff,voice,layer_1_score,layer_1_mask,layer_2_score,layer_2_mask,layer_3_score,layer_3_mask
0,p0n1,1,0.0,0.5,0.0,240.0,E6,88,1,0,0.9636421203613281,True,0.9458649158477783,True,0.8014763593673706,True
1,p0n0,1,0.0,0.5,0.0,240.0,A5,81,1,0,0.9399690628051758,True,0.9856211543083191,True,0.8529262542724609,True
2,p0n2,1,0.0,0.08333333333333333,0.0,40.0,F#3,54,2,0,0.8455889821052551,True,0.7707000374794006,True,0.7374438643455505,True
3,p0n4,1,0.08333333333333333,0.08333333333333333,40.0,40.0,C#4,61,2,0,0.11522068828344345,False,0.15614886581897736,False,0.28688985109329224,False
4,p0n5,1,0.16666666666666666,0.08333333333333333,80.0,40.0,E4,64,2,0,0.6752801537513733,True,0.6516538262367249,True,0.23053047060966492,False
5,p0n6,1,0.25,0.08333333333333333,120.0,40.0,A4,69,2,0,0.9858255982398987,True,0.9878844618797302,True,0.7774235606193542,True
6,p0n7,1,0.3333333333333333,0.08333333333333333,160.0,40.0,C#5,73,2,0,0.5550347566604614,True,0.4872610867023468,False,0.39506566524505615,False
7,p0n8,1,0.4166666666666667,0.08333333333333333,200.0,40.0,E5,76,2,0,0.8291699886322021,True,0.04079780727624893,False,0.274593710899353,False
8,p0n10,1,0.5,0.8333333333333334,240.0,400.0,C#6,85,1,0,0.9578744173049927,True,0.9467743039131165,True,0.937326192855835,True
9,p0n11,1,0.5,0.08333333333333333,240.0,40.0,A5,81,2,0,0.9427371621131897,True,0.9476400017738342,True,0.8086881041526794,True
10,p0n9,1,0.5,0.8333333333333334,240.0,400.0,G#5,80,1,0,0.47392088174819946,False,0.34285926818847656,False,0.32741475105285645,False
11,p0n12,1,0.5833333333333334,0.08333333333333333,280.0,40.0,E5,76,2,0,0.85407954454422,True,0.027094677090644836,False,0.2757297158241272,False
12,p0n13,1,0.6666666666666666,0.08333333333333333,320.0,40.0,C#5,73,2,0,0.3998831510543823,False,0.34168148040771484,False,0.33714526891708374,False
13,p0n14,1,0.75,0.08333333333333333,360.0,40.0,A4,69,2,0,0.9778408408164978,True,0.9793809056282043,True,0.774163007736206,True
14,p0n15,1,0.8333333333333334,0.08333333333333333,400.0,40.0,E4,64,2,0,0.7933642268180847,True,0.4649534225463867,False,0.3007446527481079,False
15,p0n16,1,0.9166666666666666,0.08333333333333333,440.0,40.0,C#4,61,2,0,0.09157218784093857,False,0.14908412098884583,False,0.28555360436439514,False
16,p0n19,1,1.0,0.08333333333333333,480.0,40.0,F#3,54,2,0,0.615486741065979,True,0.5417411923408508,True,0.6076322793960571,True
17,p0n20,1,1.0833333333333333,0.08333333333333333,520.0,40.0,C#4,61,2,0,0.11886441707611084,False,0.1550230234861374,False,0.2866878807544708,False
18,p0n21,1,1.1666666666666667,0.08333333333333333,560.0,40.0,E4,64,2,0,0.766322135925293,True,0.70120769739151,True,0.2565002143383026,False
19,p0n22,1,1.25,0.08333333333333333,600.0,40.0,A4,69,2,0,0.9779241681098938,True,0.9757112264633179,True,0.7819806337356567,True
20,p0n23,1,1.3333333333333333,0.3333333333333333,640.0,160.0,C#5,73,1,0,0.31197014451026917,False,0.25805437564849854,False,0.31096145510673523,False
21,p0n24,1,1.3333333333333333,0.08333333333333333,640.0,40.0,E4,64,2,0,0.8110395669937134,True,0.4882134199142456,False,0.30515217781066895,False
22,p0n25,1,1.4166666666666667,0.08333333333333333,680.0,40.0,C#4,61,2,0,0.12961389124393463,False,0.15694276988506317,False,0.2867913246154785,False
23,p0n26,1,1.5,0.08333333333333333,720.0,40.0,F#3,54,2,0,0.3908931612968445,False,0.32042285799980164,False,0.3063320815563202,False
24,p0n27,1,1.5833333333333333,0.08333333333333333,760.0,40.0,C#4,61,2,0,0.15915165841579437,False,0.15840156376361847,False,0.2874886095523834,False
25,p0n29,1,1.6666666666666667,0.3333333333333333,800.0,160.0,F#5,78,1,0,0.8979303240776062,True,0.36946070194244385,False,0.34205326437950134,False
26,p0n28,1,1.6666666666666667,0.3333333333333333,800.0,160.0,E5,76,1,0,0.9476867914199829,True,0.1004975363612175,False,0.2775511145591736,False
27,p0n30,1,1.6666666666666667,0.08333333333333333,800.0,40.0,E4,64,2,0,0.5527684092521667,True,0.6442055106163025,True,0.2319074422121048,False
28,p0n31,1,1.75,0.08333333333333333,840.0,40.0,A4,69,2,0,0.9726391434669495,True,0.9748634099960327,True,0.7775389552116394,True
29,p0n32,1,1.8333333333333333,0.08333333333333333,880.0,40.0,E4,64,2,0,0.5190632939338684,True,0.3155052363872528,False,0.283444881439209,False
30,p0n33,1,1.9166666666666667,0.08333333333333333,920.0,40.0,C#4,61,2,0,0.08547002077102661,False,0.148728609085083,False,0.285407155752182,False
31,p0n35,2,0.0,0.5,960.0,240.0,E6,88,1,0,0.9344651103019714,True,0.9399586915969849,True,0.968946635723114,True
32,p0n34,2,0.0,0.5,960.0,240.0,A5,81,1,0,0.9465433359146118,True,0.9603751301765442,True,0.8442350029945374,True
33,p0n36,2,0.0,0.08333333333333333,960.0,40.0,F#3,54,2,0,0.7751504182815552,True,0.684918999671936,True,0.6610875725746155,True
34,p0n38,2,0.08333333333333333,0.08333333333333333,1000.0,40.0,C#4,61,2,0,0.09332646429538727,False,0.14966243505477905,False,0.28570058941841125,False
35,p0n39,2,0.16666666666666666,0.08333333333333333,1040.0,40.0,E4,64,2,0,0.5546786189079285,True,0.3326323926448822,False,0.28433945775032043,False
36,p0n40,2,0.25,0.08333333333333333,1080.0,40.0,A4,69,2,0,0.978832483291626,True,0.9647312164306641,True,0.7527453899383545,True
37,p0n41,2,0.3333333333333333,0.08333333333333333,1120.0,40.0,C#5,73,2,0,0.4212939441204071,False,0.3222476840019226,False,0.33127114176750183,False
38,p0n42,2,0.4166666666666667,0.08333333333333333,1160.0,40.0,E5,76,2,0,0.882532000541687,True,0.06869404762983322,False,0.2765437662601471,False
39,p0n44,2,0.5,0.08333333333333333,1200.0,40.0,A5,81,2,0,0.9402101039886475,True,0.9528363347053528,True,0.842117190361023,True
40,p0n43,2,0.5,0.8333333333333334,1200.0,400.0,G#5,80,1,0,0.2578103542327881,False,0.19032637774944305,False,0.28835445642471313,False
41,p0n45,2,0.5833333333333334,0.08333333333333333,1240.0,40.0,E5,76,2,0,0.8822982907295227,True,0.045602552592754364,False,0.27624955773353577,False
42,p0n46,2,0.6666666666666666,0.08333333333333333,1280.0,40.0,C#5,73,2,0,0.25426942110061646,False,0.24916833639144897,False,0.3076966106891632,False
43,p0n47,2,0.75,0.08333333333333333,1320.0,40.0,A4,69,2,0,0.9675419330596924,True,0.9729391932487488,True,0.7363831400871277,True
44,p0n48,2,0.8333333333333334,0.08333333333333333,1360.0,40.0,E4,64,2,0,0.7787936925888062,True,0.5132158398628235,True,0.24189887940883636,False
45,p0n49,2,0.9166666666666666,0.08333333333333333,1400.0,40.0,C#4,61,2,0,0.08285589516162872,False,0.14677420258522034,False,0.2851371467113495,False
46,p0n51,2,1.0,0.3333333333333333,1440.0,160.0,C#6,85,1,0,0.867457926273346,True,0.9525331258773804,True,0.9444897770881653,True
47,p0n52,2,1.0,0.08333333333333333,1440.0,40.0,F#3,54,2,0,0.6830265522003174,True,0.5704469680786133,True,0.6158480644226074,True
48,p0n53,2,1.0833333333333333,0.08333333333333333,1480.0,40.0,C#4,61,2,0,0.11952278017997742,False,0.15525197982788086,False,0.28667575120925903,False
49,p0n54,2,1.1666666666666667,0.08333333333333333,1520.0,40.0,E4,64,2,0,0.8283262848854065,True,0.7058044075965881,True,0.4765172600746155,False
50,p0n55,2,1.25,0.08333333333333333,1560.0,40.0,A4,69,2,0,0.9702182412147522,True,0.976000964641571,True,0.7334632277488708,True
51,p0n56,2,1.3333333333333333,0.3333333333333333,1600.0,160.0,C#5,73,1,0,0.34798556566238403,False,0.2866465151309967,False,0.31951165199279785,False
52,p0n57,2,1.3333333333333333,0.08333333333333333,1600.0,40.0,E4,64,2,0,0.8523567318916321,True,0.5077045559883118,True,0.2495499849319458,False
53,p0n58,2,1.4166666666666667,0.08333333333333333,1640.0,40.0,C#4,61,2,0,0.15174822509288788,False,0.162639319896698,False,0.2878135144710541,False
54,p0n59,2,1.5,0.08333333333333333,1680.0,40.0,F#3,54,2,0,0.3952431082725525,False,0.3245916962623596,False,0.3073248565196991,False
