note_index,measure,measure_offset,quarter_length,time_position,duration_seconds,pitch_name,pitch_midi,staff,voice,layer_1_score,layer_1_mask,layer_2_score,layer_2_mask,layer_3_score,layer_3_mask
0,1,0.0,0.75,0.0,9.0,C#5,73,,0,0.5963063836097717,True,0.42842063307762146,False,0.3242843449115753,False
1,1,0.75,0.25,9.0,3.0,D5,74,,0,0.6503065228462219,True,0.10921326279640198,False,0.2738957405090332,False
2,2,0.0,2.0,12.0,24.0,E5,76,,0,0.9587485790252686,True,0.5848643779754639,True,0.28079378604888916,False
3,2,0.0,2.0,12.0,24.0,A4,69,,0,0.8622112274169922,True,0.44232887029647827,False,0.357527494430542,False
4,2,0.0,2.0,12.0,24.0,C#4,61,,0,0.7417100667953491,True,0.4922851622104645,False,0.3432413935661316,False
5,2,0.0,0.5,12.0,6.0,A2,45,,0,0.9336114525794983,True,0.7745943069458008,True,0.9120752811431885,True
6,2,0.0,2.0,12.0,24.0,A2,45,,0,0.9630256295204163,True,0.7391225099563599,True,0.8738081455230713,True
7,2,0.5,0.5,18.0,6.0,C#3,49,,0,0.9496667981147766,True,0.8490071892738342,True,0.8809478282928467,True
8,2,1.0,0.5,24.0,6.0,E3,52,,0,0.8776026368141174,True,0.7075012922286987,True,0.5249083042144775,True
9,2,1.5,0.5,30.0,6.0,A3,57,,0,0.9437499046325684,True,0.236822247505188,False,0.32651445269584656,False
10,2,2.0,0.75,36.0,9.0,D5,74,,0,0.32823824882507324,False,0.34367817640304565,False,0.29236868023872375,False
11,2,2.0,2.0,36.0,24.0,G#4,68,,0,0.6006691455841064,True,0.21310649812221527,False,0.30061694979667664,False
12,2,2.0,2.0,36.0,24.0,E4,64,,0,0.9326735734939575,True,0.37728846073150635,False,0.34183987975120544,False
13,2,2.0,2.0,36.0,24.0,D4,62,,0,0.9383568167686462,True,0.88456791639328,True,0.737504780292511,True
14,2,2.0,0.5,36.0,6.0,B2,47,,0,0.9796128273010254,True,0.5718303918838501,True,0.5343330502510071,True
15,2,2.0,2.0,36.0,24.0,B2,47,,0,0.9928489923477173,True,0.6260102391242981,True,0.5786944627761841,True
16,2,2.5,0.5,42.0,6.0,D3,50,,0,0.9957513809204102,True,0.8802154064178467,True,0.8211601376533508,True
17,2,2.75,0.25,45.0,3.0,C#5,73,,0,0.9321397542953491,True,0.648836076259613,True,0.4816708564758301,False
18,2,3.0,0.5,48.0,6.0,B4,71,,0,0.8425741791725159,True,0.3322300314903259,False,0.3404526710510254,False
19,2,3.0,0.5,48.0,6.0,E3,52,,0,0.9105769991874695,True,0.8368192911148071,True,0.25212493538856506,False
20,2,3.5,0.5,54.0,6.0,C#5,73,,0,0.7125506401062012,True,0.8089739084243774,True,0.6044325232505798,True
21,2,3.5,0.5,54.0,6.0,G#3,56,,0,0.9772409796714783,True,0.9438716173171997,True,0.8343846797943115,True
22,3,0.0,2.5,60.0,30.0,E4,64,,0,0.8346964716911316,True,0.5686777234077454,True,0.5987653136253357,True
23,3,0.0,2.0,60.0,24.0,C#4,61,,0,0.7414435148239136,True,0.4808802604675293,False,0.345278263092041,False
24,3,0.0,0.5,60.0,6.0,C#3,49,,0,0.7682620286941528,True,0.8921586275100708,True,0.9239803552627563,True
25,3,0.5,0.5,66.0,6.0,A3,57,,0,0.9513020515441895,True,0.36395326256752014,False,0.3635009229183197,False
26,3,1.0,0.5,72.0,6.0,E3,52,,0,0.9816338419914246,True,0.7333481311798096,True,0.2823759615421295,False
27,3,1.5,0.5,78.0,6.0,C#3,49,,0,0.934490978717804,True,0.7234901785850525,True,0.927056610584259,True
28,3,2.0,0.5,84.0,6.0,A2,45,,0,0.9544868469238281,True,0.8566718697547913,True,0.9439085721969604,True
