note_index,note_id,measure,measure_offset,quarter_length,time_position,duration_seconds,pitch_name,pitch_midi,staff,voice,layer_1_score,layer_1_mask,layer_2_score,layer_2_mask,layer_3_score,layer_3_mask
0,p0n0,1,0.0,0.25,0.0,1.0,G4,67,1,0,0.48746275901794434,False,0.23319469392299652,False,0.2767200469970703,False
1,p0n4,1,0.25,0.75,1.0,3.0,A4,69,1,0,0.15669822692871094,False,0.10328377038240433,False,0.253724604845047,False
2,p0n5,1,0.25,0.25,1.0,1.0,G3,55,2,0,0.059211086481809616,False,0.0700715109705925,False,0.24013018608093262,False
3,p0n6,1,0.25,1.0,1.0,4.0,G3,55,2,0,0.05942064896225929,False,0.06952562183141708,False,0.23991486430168152,False
4,p0n7,1,0.25,1.0,1.0,4.0,D3,50,2,0,0.8614646196365356,True,0.851199209690094,True,0.6398065090179443,True
5,p0n8,1,0.5,0.25,2.0,1.0,B3,59,2,0,0.8798326849937439,True,0.9012597799301147,True,0.8014754056930542,True
6,p0n9,1,0.75,0.5,3.0,2.0,F4,65,1,0,0.9384444952011108,True,0.8186820149421692,True,0.6036728620529175,True
7,p0n10,1,1.0,0.25,4.0,1.0,G4,67,1,0,0.5865529179573059,True,0.7774322032928467,True,0.4593636691570282,False
8,p0n11,2,0.0,0.75,5.0,3.0,C5,72,1,0,0.5988601446151733,True,0.47953513264656067,False,0.2897254228591919,False
9,p0n12,2,0.0,0.25,5.0,1.0,G3,55,2,0,0.2544931173324585,False,0.09089342504739761,False,0.24271351099014282,False
10,p0n13,2,0.0,1.0,5.0,4.0,G3,55,2,0,0.28797590732574463,False,0.09668557345867157,False,0.2433156818151474,False
11,p0n14,2,0.0,1.0,5.0,4.0,C3,48,2,0,0.9395536184310913,True,0.5330779552459717,True,0.5675443410873413,True
12,p0n15,2,0.25,0.25,6.0,1.0,C4,60,2,0,0.6326859593391418,True,0.4684504568576813,False,0.3375280797481537,False
13,p0n16,2,0.5,0.5,7.0,2.0,E4,64,1,0,0.6455746293067932,True,0.7863332033157349,True,0.6866342425346375,True
14,p0n17,2,0.75,0.25,8.0,1.0,G4,67,1,0,0.708366870880127,True,0.5890619158744812,True,0.4517021179199219,False
15,p0n18,2,1.0,0.75,9.0,3.0,A4,69,1,0,0.0887405201792717,False,0.09045793116092682,False,0.2513792812824249,False
16,p0n19,2,1.0,0.25,9.0,1.0,G3,55,2,0,0.03681929409503937,False,0.0674767941236496,False,0.23980864882469177,False
17,p0n20,2,1.0,1.0,9.0,4.0,G3,55,2,0,0.04724068567156792,False,0.06743361800909042,False,0.2396603226661682,False
18,p0n21,2,1.0,1.0,9.0,4.0,D3,50,2,0,0.6712356805801392,True,0.724775493144989,True,0.5544962882995605,True
19,p0n22,2,1.25,0.25,10.0,1.0,B3,59,2,0,0.9305233955383301,True,0.9350832104682922,True,0.7816817760467529,True
20,p0n23,2,1.5,0.5,11.0,2.0,F4,65,1,0,0.807475209236145,True,0.883634090423584,True,0.5857732892036438,True
21,p0n24,2,1.75,0.25,12.0,1.0,G4,67,1,0,0.5935601592063904,True,0.5429224371910095,True,0.2948051393032074,False
22,p0n25,3,0.0,0.75,13.0,3.0,C5,72,1,0,0.674254298210144,True,0.5986531376838684,True,0.41843464970588684,False
