note_index,note_id,measure,measure_offset,quarter_length,time_position,duration_seconds,pitch_name,pitch_midi,staff,voice,layer_1_score,layer_1_mask,layer_2_score,layer_2_mask,layer_3_score,layer_3_mask
0,p0n1,1,0.0,1.0,0.0,8.0,G3,55,2,0,0.30913445353507996,False,0.21687766909599304,False,0.2975504696369171,False
1,p0n2,1,0.0,1.0,0.0,8.0,G2,43,2,0,0.9466977119445801,True,0.6181865334510803,True,0.570259153842926,True
2,p0n3,1,0.5,0.5,4.0,4.0,D5,74,1,0,0.7912289500236511,True,0.40203532576560974,False,0.3226928412914276,False
3,p0n4,1,1.0,0.5,8.0,4.0,D5,74,1,0,0.8086087107658386,True,0.7902500629425049,True,0.4496071934700012,False
4,p0n7,1,1.5,0.5,12.0,4.0,D5,74,1,0,0.8730723857879639,True,0.3230418562889099,False,0.2849597930908203,False
5,p0n9,1,1.5,0.5,12.0,4.0,B-4,70,1,0,0.49377575516700745,False,0.1432483047246933,False,0.2758590877056122,False
6,p0n8,1,1.5,0.5,12.0,4.0,G4,67,1,0,0.8954216241836548,True,0.26242855191230774,False,0.2802196443080902,False
7,p0n10,1,2.0,0.25,16.0,2.0,D5,74,1,0,0.6621426939964294,True,0.45760729908943176,False,0.2766680419445038,False
8,p0n12,1,2.0,0.5,16.0,4.0,A4,69,1,0,0.20279289782047272,False,0.14321134984493256,False,0.2606041431427002,False
9,p0n11,1,2.0,0.5,16.0,4.0,F4,65,1,0,0.45257866382598877,False,0.2526126801967621,False,0.2922469675540924,False
10,p0n13,1,2.25,0.25,18.0,2.0,C5,72,1,0,0.6430506110191345,True,0.34690508246421814,False,0.27857574820518494,False
11,p0n14,1,2.5,0.25,20.0,2.0,D5,74,1,0,0.5562801361083984,True,0.37845101952552795,False,0.2802800238132477,False
12,p0n16,1,2.5,0.5,20.0,4.0,G4,67,1,0,0.7903146147727966,True,0.2201678454875946,False,0.2843632698059082,False
13,p0n15,1,2.5,0.5,20.0,4.0,E-4,63,1,0,0.41779273748397827,False,0.3221774399280548,False,0.3275991380214691,False
14,p0n17,1,2.75,0.25,22.0,2.0,E-5,75,1,0,0.41395288705825806,False,0.25178271532058716,False,0.2881172001361847,False
15,p0n18,2,0.0,0.5,24.0,4.0,F5,77,1,0,0.7013224959373474,True,0.312855988740921,False,0.3341062068939209,False
16,p0n20,2,0.0,1.0,24.0,8.0,F4,65,1,0,0.8254440426826477,True,0.779238760471344,True,0.5366595387458801,True
17,p0n19,2,0.0,1.0,24.0,8.0,D4,62,1,0,0.7873423099517822,True,0.4919751286506653,False,0.37835368514060974,False
18,p0n22,2,0.5,0.5,28.0,4.0,B-4,70,1,0,0.6166800260543823,True,0.4153258204460144,False,0.31224068999290466,False
