note_index,note_id,measure,measure_offset,quarter_length,time_position,duration_seconds,pitch_name,pitch_midi,staff,voice,layer_1_score,layer_1_mask,layer_2_score,layer_2_mask,layer_3_score,layer_3_mask
0,p0n0,1,0.0,2.0,0.0,16.0,D5,74,1,0,0.5813445448875427,True,0.5201215744018555,True,0.4244667887687683,False
1,p0n1,1,0.0,2.0,0.0,16.0,D4,62,2,0,0.9054662585258484,True,0.8787221908569336,True,0.7062846422195435,True
2,p0n2,1,2.0,2.0,16.0,16.0,A4,69,1,0,0.886637806892395,True,0.6027754545211792,True,0.5710710883140564,True
3,p0n3,1,2.0,2.0,16.0,16.0,A3,57,2,0,0.37973764538764954,False,0.22472617030143738,False,0.27934685349464417,False
4,p0n4,1,4.0,0.5,32.0,4.0,F4,65,1,0,0.8805510997772217,True,0.7830168008804321,True,0.4730532467365265,False
5,p0n5,1,4.0,0.5,32.0,4.0,F3,53,2,0,0.8820123076438904,True,0.3004477918148041,False,0.28905919194221497,False
6,p0n6,1,4.5,0.5,36.0,4.0,E4,64,1,0,0.7429640293121338,True,0.19530123472213745,False,0.26940232515335083,False
7,p0n7,1,4.5,0.5,36.0,4.0,E3,52,2,0,0.7390656471252441,True,0.5028495788574219,True,0.3505871891975403,False
8,p0n8,1,5.0,1.0,40.0,8.0,D4,62,1,0,0.9845083951950073,True,0.8135861754417419,True,0.6410980224609375,True
9,p0n9,1,5.0,1.0,40.0,8.0,D3,50,2,0,0.8462371230125427,True,0.7241559624671936,True,0.6104567050933838,True
10,p0n12,1,7.0,0.5,56.0,4.0,D5,74,1,0,0.35223454236984253,False,0.18930158019065857,False,0.28384241461753845,False
11,p0n13,1,7.0,0.5,56.0,4.0,D4,62,2,0,0.9571422338485718,True,0.6399655342102051,True,0.624784529209137,True
12,p0n14,1,7.5,0.5,60.0,4.0,C#5,73,1,0,0.055227696895599365,False,0.09811297059059143,False,0.2638465166091919,False
13,p0n15,1,7.5,0.5,60.0,4.0,C#4,61,2,0,0.438044935464859,False,0.2031225562095642,False,0.28970053791999817,False
14,p0n16,2,0.0,1.0,64.0,8.0,D5,74,1,0,0.17428360879421234,False,0.18946018815040588,False,0.2841484546661377,False
15,p0n17,2,0.0,1.0,64.0,8.0,D4,62,2,0,0.96297687292099,True,0.9302543997764587,True,0.7786113619804382,True
16,p0n18,2,1.0,1.0,72.0,8.0,F4,65,1,0,0.5890310406684875,True,0.6770991683006287,True,0.457431823015213,False
17,p0n19,2,1.0,1.0,72.0,8.0,F3,53,2,0,0.7414429187774658,True,0.44754472374916077,False,0.34836772084236145,False
18,p0n20,2,2.0,1.0,80.0,8.0,G4,67,1,0,0.5380380153656006,True,0.4941207468509674,False,0.32621708512306213,False
19,p0n21,2,2.0,1.0,80.0,8.0,G3,55,2,0,0.4046035408973694,False,0.26138198375701904,False,0.29124435782432556,False
20,p0n22,2,3.0,1.0,88.0,8.0,A4,69,1,0,0.8136600255966187,True,0.7275316119194031,True,0.7366004586219788,True
