note_index,note_id,measure,measure_offset,quarter_length,time_position,duration_seconds,pitch_name,pitch_midi,staff,voice,layer_1_score,layer_1_mask,layer_2_score,layer_2_mask,layer_3_score,layer_3_mask
0,p0n0,1,0.0,0.25,0.0,6.0,F4,65,1,0,0.9338799118995667,True,0.8156890273094177,True,0.6872400641441345,True
1,p0n1,1,0.0,0.25,0.0,6.0,F4,65,1,0,0.9338799118995667,True,0.9382033944129944,True,0.7919703722000122,True
2,p0n3,1,0.25,0.25,6.0,6.0,G4,67,1,0,0.40574994683265686,False,0.20394915342330933,False,0.2901412546634674,False
3,p0n4,1,0.25,0.25,6.0,6.0,G4,67,1,0,0.40574994683265686,False,0.20394915342330933,False,0.2901412546634674,False
4,p0n5,1,0.5,0.25,12.0,6.0,A4,69,1,0,0.22103074193000793,False,0.16813772916793823,False,0.29842284321784973,False
5,p0n6,1,0.5,0.25,12.0,6.0,A4,69,1,0,0.23094803094863892,False,0.16824714839458466,False,0.29853734374046326,False
6,p0n7,1,0.75,0.25,18.0,6.0,B-4,70,1,0,0.913611888885498,True,0.7196228504180908,True,0.48419782519340515,False
7,p0n8,1,0.75,0.25,18.0,6.0,B-4,70,1,0,0.9132896065711975,True,0.7134559154510498,True,0.4816631078720093,False
8,p0n9,1,1.0,0.25,24.0,6.0,C5,72,1,0,0.6601594090461731,True,0.29202479124069214,False,0.2990824282169342,False
9,p0n10,1,1.0,0.25,24.0,6.0,C5,72,1,0,0.6524981260299683,True,0.2845146059989929,False,0.2967108488082886,False
10,p0n11,1,1.25,0.25,30.0,6.0,D5,74,1,0,0.4777160584926605,False,0.1506301313638687,False,0.27761444449424744,False
11,p0n12,1,1.25,0.25,30.0,6.0,D5,74,1,0,0.5052697062492371,True,0.377672404050827,False,0.3121773898601532,False
12,p0n13,1,1.5,0.25,36.0,6.0,E5,76,1,0,0.5030634999275208,True,0.23280416429042816,False,0.2706654369831085,False
13,p0n14,1,1.5,0.25,36.0,6.0,E5,76,1,0,0.5230668187141418,True,0.2299521416425705,False,0.27039000391960144,False
14,p0n15,1,1.75,0.25,42.0,6.0,F5,77,1,0,0.7878323197364807,True,0.5569194555282593,True,0.397083580493927,False
15,p0n16,1,1.75,0.25,42.0,6.0,F5,77,1,0,0.8023625612258911,True,0.5721204876899719,True,0.3973468840122223,False
16,p0n17,1,2.0,0.5,48.0,12.0,F4,65,1,0,0.8785045742988586,True,0.9492518901824951,True,0.744116485118866,True
17,p0n18,1,2.0,0.5,48.0,12.0,F4,65,1,0,0.8952299356460571,True,0.8852770924568176,True,0.6497525572776794,True
18,p0n19,1,2.0,0.25,48.0,6.0,F2,41,2,0,0.7543042302131653,True,0.9001574516296387,True,0.6731223464012146,True
19,p0n20,1,2.25,0.25,54.0,6.0,G2,43,2,0,0.7549545764923096,True,0.3585515022277832,False,0.3419871926307678,False
20,p0n21,1,2.5,0.5,60.0,12.0,F4,65,1,0,0.8780157566070557,True,0.5484158396720886,True,0.4647841155529022,False
21,p0n22,1,2.5,0.5,60.0,12.0,F4,65,1,0,0.9130899906158447,True,0.6844844818115234,True,0.529183030128479,True
22,p0n23,1,2.5,0.25,60.0,6.0,A2,45,2,0,0.2777406573295593,False,0.18471410870552063,False,0.302632600069046,False
23,p0n24,1,2.75,0.25,66.0,6.0,B-2,46,2,0,0.8193618655204773,True,0.6871892809867859,True,0.4783955216407776,False
24,p0n25,1,3.0,0.5,72.0,12.0,F4,65,1,0,0.8866055607795715,True,0.7509160041809082,True,0.4848534166812897,False
25,p0n26,1,3.0,0.5,72.0,12.0,F4,65,1,0,0.921642541885376,True,0.7366646528244019,True,0.4808306396007538,False
