note_index,measure,measure_offset,quarter_length,time_position,duration_seconds,pitch_name,pitch_midi,staff,voice,layer_1_score,layer_1_mask,layer_2_score,layer_2_mask,layer_3_score,layer_3_mask
0,1,0.0,2.0,0.0,1.0,F4,65,1,1,0.930107831954956,True,0.9433939456939697,True,0.573156476020813,True
1,1,0.0,0.5,0.0,0.25,F3,53,2,5,0.6226875185966492,True,0.9101234674453735,True,0.9976369142532349,True
2,1,0.5,0.5,0.25,0.25,A3,57,2,5,0.907048225402832,True,0.9030507206916809,True,0.8842124342918396,True
3,1,1.0,0.5,0.5,0.25,C4,60,2,5,0.9090127944946289,True,0.7250036001205444,True,0.7655783891677856,True
4,1,1.5,0.5,0.75,0.25,A3,57,2,5,0.7211261987686157,True,0.807420015335083,True,0.823646068572998,True
5,1,2.0,1.0,1.0,0.5,A4,69,1,1,0.8976320028305054,True,0.5677153468132019,True,0.020328961312770844,False
6,1,2.0,0.5,1.0,0.25,C4,60,2,5,0.8653031587600708,True,0.7474728226661682,True,0.8171719312667847,True
7,1,2.5,0.5,1.25,0.25,A3,57,2,5,0.8409953117370605,True,0.8836754560470581,True,0.767768144607544,True
8,2,0.0,2.0,1.5,1.0,C5,72,1,1,0.9567574262619019,True,0.43483594059944153,False,0.49404293298721313,False
9,2,0.0,0.5,1.5,0.25,F3,53,2,5,0.5617149472236633,True,0.853096604347229,True,0.9975937008857727,True
10,2,0.5,0.5,1.75,0.25,C4,60,2,5,0.857309877872467,True,0.9150227308273315,True,0.774364709854126,True
11,2,1.0,0.5,2.0,0.25,Eb4,63,2,5,0.920396625995636,True,0.3519837558269501,False,0.47151631116867065,False
12,2,1.5,0.5,2.25,0.25,C4,60,2,5,0.8236972093582153,True,0.8371821045875549,True,0.4778139591217041,False
13,2,2.0,1.0,2.5,0.5,A4,69,1,1,0.86483234167099,True,0.4155051112174988,False,0.4008626937866211,False
14,2,2.0,0.5,2.5,0.25,Eb4,63,2,5,0.7811639308929443,True,0.5373930931091309,True,0.11548002064228058,False
15,2,2.5,0.5,2.75,0.25,C4,60,2,5,0.919120728969574,True,0.9216529726982117,True,0.631504237651825,True
16,3,0.0,2.0,3.0,1.0,Bb4,70,1,1,0.43192005157470703,False,0.7553645968437195,True,0.49989309906959534,False
17,3,0.0,0.5,3.0,0.25,F3,53,2,5,0.5582675337791443,True,0.6272239089012146,True,0.9702878594398499,True
18,3,0.5,0.5,3.25,0.25,Bb3,58,2,5,0.8981415629386902,True,0.9711909890174866,True,0.5854747891426086,True
19,3,1.0,0.5,3.5,0.25,D4,62,2,5,0.8315276503562927,True,0.5442430973052979,True,0.13115905225276947,False
20,3,1.5,0.5,3.75,0.25,Bb3,58,2,5,0.763491153717041,True,0.9530208706855774,True,0.83075350522995,True
21,3,2.0,1.0,4.0,0.5,G5,79,1,1,0.9715092182159424,True,0.5450453162193298,True,0.5983462333679199,True
22,3,2.0,0.5,4.0,0.25,D4,62,2,5,0.8125089406967163,True,0.4799681603908539,False,0.42453140020370483,False
23,3,2.5,0.5,4.25,0.25,Bb3,58,2,5,0.7779850363731384,True,0.7983276844024658,True,0.8761134743690491,True
24,4,0.0,0.5,4.5,0.25,F5,77,1,1,0.7770323157310486,True,0.11685767769813538,False,0.4164155423641205,False
25,4,0.0,0.5,4.5,0.25,F3,53,2,5,0.4832036793231964,False,0.7120713591575623,True,0.42839378118515015,False
26,4,0.5,0.5,4.75,0.25,E5,76,1,1,0.9415215849876404,True,0.36240947246551514,False,0.42499852180480957,False
27,4,0.5,0.5,4.75,0.25,G3,55,2,5,0.8029100298881531,True,0.9654780030250549,True,0.7387862801551819,True
28,4,1.0,1.0,5.0,0.5,E5,76,1,1,0.8393368721008301,True,0.516578733921051,True,0.03918676823377609,False
29,4,1.0,0.5,5.0,0.25,Bb3,58,2,5,0.8560159802436829,True,0.8617841005325317,True,0.8316529393196106,True
30,4,1.5,0.5,5.25,0.25,G3,55,2,5,0.6078144907951355,True,0.9182819128036499,True,0.6215927600860596,True
31,4,2.0,0.5,5.5,0.25,Bb3,58,2,5,0.8195173144340515,True,0.7544785737991333,True,0.8917455673217773,True
32,4,2.5,0.5,5.75,0.25,G3,55,2,5,0.48252686858177185,False,0.7064633369445801,True,0.46579596400260925,False
33,5,0.0,1.0,6.0,0.5,F5,77,1,1,0.809999406337738,True,0.15878118574619293,False,0.41735509037971497,False
34,5,1.0,1.0,6.5,0.5,A3,57,2,5,0.9565478563308716,True,0.9563592672348022,True,0.4257293939590454,False
35,5,0.0,1.0,6.0,0.5,F3,53,2,5,0.26779261231422424,False,0.5762249231338501,True,0.4201784133911133,False
36,5,1.0,1.0,6.5,0.5,A4,69,1,1,0.9457691311836243,True,0.5107829570770264,True,0.14746952056884766,False
37,5,2.0,1.0,7.0,0.5,D5,74,1,1,0.9909564852714539,True,0.7143436670303345,True,0.7789434790611267,True
38,6,0.0,1.0,7.5,0.5,G4,67,1,1,0.9432269930839539,True,0.8314329385757446,True,0.026420651003718376,False
39,6,1.0,1.5,8.0,0.75,C5,72,1,1,0.920564591884613,True,0.3436349034309387,False,0.4534188508987427,False
40,6,2.5,0.5,8.75,0.25,A4,69,1,1,0.9666750431060791,True,0.7475888729095459,True,0.014518670737743378,False
41,7,0.0,4.0,9.0,2.0,F4,65,1,1,0.9072453379631042,True,0.9651861786842346,True,0.19275809824466705,False
42,7,0.0,1.0,9.0,0.5,F3,53,2,6,0.5090305209159851,True,0.7510800361633301,True,0.7420196533203125,True
43,7,1.0,1.0,9.5,0.5,A2,45,2,6,0.4739621579647064,False,0.6085726618766785,True,0.4496136009693146,False
44,7,2.0,1.0,10.0,0.5,D3,50,2,6,0.7749626636505127,True,0.897261381149292,True,0.2645640969276428,False
45,8,0.0,3.0,10.5,1.5,G4,67,1,5,0.908054530620575,True,0.8589098453521729,True,0.11592461913824081,False
46,8,0.0,1.0,10.5,0.5,G2,43,2,6,0.7568608522415161,True,0.8510105013847351,True,0.6056731343269348,True
47,8,1.0,0.5,11.0,0.25,E4,64,1,1,0.9352141618728638,True,0.6708967089653015,True,0.11983084678649902,False
48,8,1.0,1.5,11.0,0.75,C3,48,2,6,0.4854324162006378,False,0.692082405090332,True,0.45404261350631714,False
49,8,1.5,0.5,11.25,0.25,D4,62,1,1,0.8694890737533569,True,0.8216581344604492,True,0.760063886642456,True
50,8,2.0,1.0,11.5,0.5,E4,64,1,1,0.8135785460472107,True,0.3669584095478058,False,0.42130544781684875,False
51,8,2.5,0.5,11.75,0.25,A2,45,2,6,0.13967616856098175,False,0.4249904751777649,False,0.4092080593109131,False
52,9,0.0,1.0,12.0,0.5,A4,69,1,1,0.9949729442596436,True,0.9097850918769836,True,0.30302169919013977,False
53,9,0.0,4.0,12.0,2.0,F4,65,1,5,0.9005758166313171,True,0.9613677859306335,True,0.2712177634239197,False
54,9,0.0,1.0,12.0,0.5,F2,41,2,6,0.5031394958496094,True,0.6079396605491638,True,0.34968772530555725,False
55,9,1.0,1.0,12.5,0.5,Bb4,70,1,1,0.7795639038085938,True,0.761623203754425,True,0.25209423899650574,False
56,9,1.0,1.0,12.5,0.5,D3,50,2,6,0.4544096887111664,False,0.6916729807853699,True,0.4315366744995117,False
57,9,2.0,1.0,13.0,0.5,D5,74,1,1,0.9887930750846863,True,0.3337620198726654,False,0.4666827917098999,False
58,9,2.0,1.0,13.0,0.5,Bb2,46,2,6,0.3715702295303345,False,0.6627672910690308,True,0.43733420968055725,False
59,10,0.0,0.5,13.5,0.25,D5,74,1,1,0.9860692024230957,True,0.367336630821228,False,0.47396281361579895,False
60,10,0.0,1.0,13.5,0.5,A2,45,2,6,0.15344372391700745,False,0.43111681938171387,False,0.41145527362823486,False
61,10,0.5,0.5,13.75,0.25,C5,72,1,1,0.8613508343696594,True,0.5188231468200684,True,0.5194833278656006,True
62,10,1.0,0.5,14.0,0.25,Bb4,70,1,1,0.7276250123977661,True,0.5241760015487671,True,0.389459490776062,False
63,10,1.5,0.5,14.25,0.25,A4,69,1,1,0.9257609844207764,True,0.4542686343193054,False,0.4380841553211212,False
64,10,2.0,0.5,14.5,0.25,G4,67,1,1,0.8098162412643433,True,0.4498070478439331,False,0.4328172504901886,False
65,10,2.0,1.0,14.5,0.5,D3,50,2,6,0.41740715503692627,False,0.6414471864700317,True,0.43109869956970215,False
66,10,2.5,0.5,14.75,0.25,F4,65,1,1,0.8446576595306396,True,0.8414983153343201,True,0.4822058379650116,False
67,11,0.0,1.0,15.0,0.5,G4,67,1,1,0.9115591049194336,True,0.3834053874015808,False,0.4377303421497345,False
68,11,0.0,1.0,15.0,0.5,Bb2,46,2,6,0.5515493750572205,True,0.7131930589675903,True,0.46587464213371277,False
69,11,1.0,1.0,15.5,0.5,Bb4,70,1,1,0.7086701393127441,True,0.428140789270401,False,0.44362396001815796,False
70,11,3.0,1.0,16.5,0.5,E4,64,1,1,0.7814126014709473,True,0.5596606731414795,True,0.535327672958374,True
71,11,2.0,1.0,16.0,0.5,Bb3,58,1,1,0.6851310133934021,True,0.8489868640899658,True,0.5455098152160645,True
72,11,2.0,1.0,16.0,0.5,C3,48,2,6,0.349949449300766,False,0.5799456238746643,True,0.4448238015174866,False
73,12,1.0,1.0,17.0,0.5,F4,65,1,1,0.7533097863197327,True,0.7068487405776978,True,0.41203418374061584,False
74,12,0.0,1.0,16.5,0.5,A3,57,1,1,0.6897244453430176,True,0.49674445390701294,False,0.3961072862148285,False
75,12,0.0,1.0,16.5,0.5,F2,41,2,6,0.33034321665763855,False,0.6007320284843445,True,0.4365575909614563,False
76,12,2.0,0.75,17.5,0.375,C6,84,1,1,0.9055242538452148,True,0.20701226592063904,False,0.41299349069595337,False
77,12,2.75,0.75,17.875,0.375,C5,72,2,6,0.8070642948150635,True,0.4709625542163849,False,0.4279564917087555,False
78,12,2.0,0.75,17.5,0.375,A4,69,2,6,0.5285861492156982,True,0.0888630822300911,False,0.40742790699005127,False
79,12,2.75,0.25,17.875,0.125,Bb5,82,1,1,0.9196269512176514,True,0.4286957085132599,False,0.43199390172958374,False
80,12,3.0,0.25,18.0,0.125,Bb4,70,2,6,0.7651028037071228,True,0.43441978096961975,False,0.4353296458721161,False
81,12,2.75,0.25,17.875,0.125,G4,67,2,6,0.8067831993103027,True,0.13842611014842987,False,0.41946130990982056,False
82,13,0.0,1.0,18.0,0.5,A5,81,1,1,0.9588119983673096,True,0.58164381980896,True,0.42798155546188354,False
83,13,1.0,1.0,18.5,0.5,A4,69,2,6,0.8022316098213196,True,0.7095978260040283,True,0.4023994207382202,False
84,13,0.0,1.0,18.0,0.5,F4,65,2,6,0.6446094512939453,True,0.42460694909095764,False,0.42063677310943604,False
85,13,1.0,1.0,18.5,0.5,A5,81,1,1,0.950420081615448,True,0.3819515109062195,False,0.42815133929252625,False
86,13,2.0,1.0,19.0,0.5,A4,69,2,6,0.7816240191459656,True,0.21731451153755188,False,0.40447065234184265,False
87,13,1.0,1.0,18.5,0.5,F4,65,2,6,0.6777955889701843,True,0.5911593437194824,True,0.4349393844604492,False
88,13,2.0,0.75,19.0,0.375,A5,81,1,1,0.9139382839202881,True,0.39178287982940674,False,0.41495025157928467,False
89,13,2.75,0.75,19.375,0.375,A4,69,2,6,0.7616741061210632,True,0.23658522963523865,False,0.39243030548095703,False
90,13,2.0,0.75,19.0,0.375,F4,65,2,6,0.4406246244907379,False,0.5985882878303528,True,0.4092332124710083,False
91,13,2.75,0.25,19.375,0.125,G5,79,1,1,0.9888413548469543,True,0.18465475738048553,False,0.41831618547439575,False
92,13,3.0,0.25,19.5,0.125,G4,67,2,6,0.8453856706619263,True,0.27822133898735046,False,0.4360799193382263,False
93,13,2.75,0.25,19.375,0.125,C4,60,2,6,0.4762881100177765,False,0.5300295352935791,True,0.41206321120262146,False
94,14,0.0,1.0,19.5,0.5,F5,77,1,1,0.9536915421485901,True,0.5509583950042725,True,0.30139437317848206,False
95,14,1.0,1.0,20.0,0.5,F4,65,2,5,0.6531059741973877,True,0.5585227608680725,True,0.43520551919937134,False
96,14,0.0,1.0,19.5,0.5,A3,57,2,5,0.7539558410644531,True,0.31907621026039124,False,0.40538501739501953,False
97,14,1.0,1.0,20.0,0.5,F5,77,1,1,0.8981508612632751,True,0.4323241114616394,False,0.4195852279663086,False
98,14,2.0,1.0,20.5,0.5,F4,65,2,5,0.62111896276474,True,0.5892233848571777,True,0.4195166826248169,False
99,14,1.0,1.0,20.0,0.5,A3,57,2,5,0.7988637685775757,True,0.32930421829223633,False,0.40555620193481445,False
100,14,2.0,1.0,20.5,0.5,F5,77,1,1,0.8974519371986389,True,0.561378002166748,True,0.35856279730796814,False
101,14,3.0,1.0,21.0,0.5,F4,65,2,5,0.5648249387741089,True,0.5258810520172119,True,0.40772220492362976,False
102,14,2.0,1.0,20.5,0.5,A3,57,2,5,0.6875538229942322,True,0.30729711055755615,False,0.40292853116989136,False
103,15,1.0,1.0,21.5,0.5,G5,79,1,1,0.9788991808891296,True,0.566845178604126,True,0.42584940791130066,False
104,15,0.0,1.0,21.0,0.5,E5,76,1,1,0.9289132952690125,True,0.6758780479431152,True,0.6291264295578003,True
105,15,1.0,1.0,21.5,0.5,G4,67,2,5,0.8953076004981995,True,0.22639131546020508,False,0.45024657249450684,False
106,15,0.0,1.0,21.0,0.5,C4,60,2,5,0.5396054983139038,True,0.844469428062439,True,0.4827592372894287,False
107,15,2.0,1.0,22.0,0.5,G5,79,1,1,0.9789415597915649,True,0.36720019578933716,False,0.4583674669265747,False
108,15,1.0,1.0,21.5,0.5,E5,76,1,1,0.930566668510437,True,0.18316909670829773,False,0.4236586093902588,False
109,15,2.0,1.0,22.0,0.5,G4,67,2,5,0.8912928700447083,True,0.357883095741272,False,0.45613816380500793,False
110,15,1.0,1.0,21.5,0.5,C4,60,2,5,0.47066426277160645,False,0.641577422618866,True,0.44637331366539,False
111,15,3.0,1.0,22.5,0.5,G5,79,1,1,0.9635427594184875,True,0.4802287518978119,False,0.4657726287841797,False
112,15,2.0,1.0,22.0,0.5,E5,76,1,1,0.9153617024421692,True,0.43653401732444763,False,0.4025653600692749,False
113,15,3.0,1.0,22.5,0.5,G4,67,2,5,0.7479602694511414,True,0.31712785363197327,False,0.44133222103118896,False
114,15,2.0,1.0,22.0,0.5,C4,60,2,5,0.5299035906791687,True,0.846457839012146,True,0.40469321608543396,False
115,16,1.0,1.0,23.0,0.5,G5,79,1,1,0.9820850491523743,True,0.703916609287262,True,0.339132159948349,False
116,16,0.0,1.0,22.5,0.5,E5,76,1,1,0.8620131611824036,True,0.27408578991889954,False,0.41752973198890686,False
117,16,1.0,1.0,23.0,0.5,G4,67,2,5,0.8774920105934143,True,0.6110498905181885,True,0.5251687169075012,True
118,16,0.0,1.0,22.5,0.5,C4,60,2,5,0.706279456615448,True,0.9251385927200317,True,0.6670293807983398,True
119,16,2.0,1.0,23.5,0.5,A5,81,1,1,0.9179531931877136,True,0.4971177279949188,False,0.45243343710899353,False
120,16,1.0,1.0,23.0,0.5,F5,77,1,1,0.9184091687202454,True,0.16331255435943604,False,0.41803687810897827,False
121,16,2.0,1.0,23.5,0.5,A4,69,2,5,0.8677855730056763,True,0.8169861435890198,True,0.34540078043937683,False
122,16,1.0,1.0,23.0,0.5,F4,65,2,5,0.5431138277053833,True,0.37052586674690247,False,0.3896896243095398,False
123,16,2.0,0.25,23.5,0.125,C6,84,1,1,0.8665475249290466,True,0.082313172519207,False,0.4178422689437866,False
124,16,2.75,0.75,23.875,0.375,C5,72,2,5,0.8833744525909424,True,0.2831107974052429,False,0.4270460903644562,False
125,16,2.0,0.75,23.5,0.375,A4,69,2,5,0.8260806798934937,True,0.6855790615081787,True,0.4048919379711151,False
126,16,2.25,0.25,23.625,0.125,D6,86,1,1,0.9070869088172913,True,0.20750442147254944,False,0.43452969193458557,False
127,16,2.5,0.25,23.75,0.125,C6,84,1,1,0.8369573354721069,True,0.11996477842330933,False,0.41609522700309753,False
128,16,2.75,0.25,23.875,0.125,Bb5,82,1,1,0.8919935822486877,True,0.1617973893880844,False,0.41985994577407837,False
129,16,3.0,0.25,24.0,0.125,Bb4,70,2,5,0.6332197189331055,True,0.39981740713119507,False,0.4240494966506958,False
130,16,2.75,0.25,23.875,0.125,G4,67,2,5,0.8690080642700195,True,0.4824103116989136,False,0.42335373163223267,False
131,17,0.0,1.0,24.0,0.5,A5,81,1,1,0.8471596837043762,True,0.12266680598258972,False,0.42655494809150696,False
132,17,1.0,1.0,24.5,0.5,A4,69,2,5,0.9253379702568054,True,0.6242624521255493,True,0.4356310963630676,False
133,17,0.0,1.0,24.0,0.5,F4,65,2,5,0.4532136619091034,False,0.6213014125823975,True,0.4132073223590851,False
134,17,1.0,1.0,24.5,0.5,A5,81,1,1,0.8785542249679565,True,0.0745069608092308,False,0.42423495650291443,False
135,17,2.0,1.0,25.0,0.5,A4,69,2,5,0.9058489799499512,True,0.3467109203338623,False,0.4050251245498657,False
136,17,1.0,1.0,24.5,0.5,F4,65,2,5,0.49862679839134216,False,0.6782578825950623,True,0.4261495769023895,False
137,17,2.0,0.25,25.0,0.125,A5,81,1,1,0.8555623292922974,True,0.029540950432419777,False,0.4201340079307556,False
138,17,2.75,0.75,25.375,0.375,A4,69,2,5,0.8533693552017212,True,0.14621323347091675,False,0.40513014793395996,False
139,17,2.0,0.75,25.0,0.375,F4,65,2,5,0.5987298488616943,True,0.6762037873268127,True,0.49866414070129395,False
140,17,2.25,0.25,25.125,0.125,Bb5,82,1,1,0.5467008948326111,True,0.03498540073633194,False,0.41871538758277893,False
141,17,2.5,0.25,25.25,0.125,A5,81,1,1,0.8341326713562012,True,0.12784451246261597,False,0.42114517092704773,False
142,17,2.75,0.25,25.375,0.125,G5,79,1,1,0.968333899974823,True,0.07985421270132065,False,0.41052186489105225,False
143,17,3.0,0.25,25.5,0.125,G4,67,2,5,0.7797349691390991,True,0.31290289759635925,False,0.4193090498447418,False
144,17,2.75,0.25,25.375,0.125,C4,60,2,5,0.4955134093761444,False,0.5454089641571045,True,0.4119477868080139,False
145,18,0.0,1.0,25.5,0.5,F5,77,1,1,0.9547613859176636,True,0.5678844451904297,True,0.3969394862651825,False
