note_index,measure,measure_offset,quarter_length,time_position,duration_seconds,pitch_name,pitch_midi,staff,voice,layer_1_score,layer_1_mask,layer_2_score,layer_2_mask,layer_3_score,layer_3_mask
0,1,0.0,2.0,0.0,48.0,F4,65,,0,0.7230403423309326,True,0.7510091066360474,True,0.6978557705879211,True
1,1,0.0,0.5,0.0,12.0,F3,53,,0,0.3324848711490631,False,0.5017789602279663,True,0.499515175819397,False
2,1,0.5,0.5,12.0,12.0,A3,57,,0,0.3505854904651642,False,0.3132324814796448,False,0.402332603931427,False
3,1,1.0,0.5,24.0,12.0,C4,60,,0,0.9518285989761353,True,0.865486204624176,True,0.7266990542411804,True
4,1,1.5,0.5,36.0,12.0,A3,57,,0,0.14491350948810577,False,0.19532012939453125,False,0.36919498443603516,False
5,1,2.0,1.0,48.0,24.0,A4,69,,0,0.9680344462394714,True,0.3219161629676819,False,0.3817192018032074,False
6,1,2.0,0.5,48.0,12.0,C4,60,,0,0.8241870403289795,True,0.6325150728225708,True,0.5160701274871826,True
7,1,2.5,0.5,60.0,12.0,A3,57,,0,0.7547985315322876,True,0.2984846234321594,False,0.40168288350105286,False
8,2,0.0,2.0,72.0,48.0,C5,72,,0,0.3535987436771393,False,0.4789397120475769,False,0.4816514849662781,False
9,2,0.0,0.5,72.0,12.0,F3,53,,0,0.30958494544029236,False,0.4836869537830353,False,0.4846785068511963,False
10,2,0.5,0.5,84.0,12.0,C4,60,,0,0.8846002817153931,True,0.6732121109962463,True,0.6718866229057312,True
11,2,1.0,0.5,96.0,12.0,E-4,63,,0,0.9139179587364197,True,0.6621593236923218,True,0.5894973278045654,True
12,2,1.5,0.5,108.0,12.0,C4,60,,0,0.8240125775337219,True,0.722541332244873,True,0.5963574051856995,True
13,2,2.0,1.0,120.0,24.0,A4,69,,0,0.7433952689170837,True,0.3242696225643158,False,0.35953643918037415,False
14,2,2.0,0.5,120.0,12.0,E-4,63,,0,0.8214548230171204,True,0.4571496248245239,False,0.39401063323020935,False
15,2,2.5,0.5,132.0,12.0,C4,60,,0,0.8211108446121216,True,0.5210002064704895,True,0.5909287929534912,True
16,3,0.0,2.0,144.0,48.0,B-4,70,,0,0.6705090999603271,True,0.7486702799797058,True,0.5504204630851746,True
17,3,0.0,0.5,144.0,12.0,F3,53,,0,0.2326645851135254,False,0.41010504961013794,False,0.44620171189308167,False
18,3,0.5,0.5,156.0,12.0,B-3,58,,0,0.965564489364624,True,0.8697932362556458,True,0.5317903161048889,True
19,3,1.0,0.5,168.0,12.0,D4,62,,0,0.9774143695831299,True,0.4416228234767914,False,0.46453559398651123,False
20,3,1.5,0.5,180.0,12.0,B-3,58,,0,0.9154403209686279,True,0.7736257314682007,True,0.38190463185310364,False
21,3,2.0,1.0,192.0,24.0,G5,79,,0,0.8134346008300781,True,0.2993830144405365,False,0.35971754789352417,False
22,3,2.0,0.5,192.0,12.0,D4,62,,0,0.9451615214347839,True,0.3054337799549103,False,0.39960548281669617,False
23,3,2.5,0.5,204.0,12.0,B-3,58,,0,0.9392083287239075,True,0.7376037240028381,True,0.4678972661495209,False
24,4,0.0,0.5,216.0,12.0,F5,77,,0,0.7793077826499939,True,0.816059947013855,True,0.6222314238548279,True
25,4,0.0,0.5,216.0,12.0,F3,53,,0,0.22990192472934723,False,0.41290631890296936,False,0.44680696725845337,False
26,4,0.5,0.5,228.0,12.0,E5,76,,0,0.40998587012290955,False,0.2590818405151367,False,0.370456725358963,False
27,4,0.5,0.5,228.0,12.0,G3,55,,0,0.9249305725097656,True,0.806185245513916,True,0.6546028256416321,True
28,4,1.0,1.0,240.0,24.0,E5,76,,0,0.39562320709228516,False,0.33543139696121216,False,0.3914974629878998,False
29,4,1.0,0.5,240.0,12.0,B-3,58,,0,0.9362316131591797,True,0.8926852345466614,True,0.48428216576576233,False
30,4,1.5,0.5,252.0,12.0,G3,55,,0,0.7256554961204529,True,0.518947422504425,True,0.47722068428993225,False
31,4,2.0,0.5,264.0,12.0,B-3,58,,0,0.7864512205123901,True,0.7894102931022644,True,0.3047342002391815,False
32,4,2.5,0.5,276.0,12.0,G3,55,,0,0.8123055696487427,True,0.4635179936885834,False,0.37546610832214355,False
33,5,0.0,1.0,288.0,24.0,F5,77,,0,0.6412569880485535,True,0.7518841624259949,True,0.5777006149291992,True
34,5,0.0,1.0,288.0,24.0,A3,57,,0,0.5457443594932556,True,0.7849640846252441,True,0.5902853608131409,True
35,5,0.0,1.0,288.0,24.0,F3,53,,0,0.29680484533309937,False,0.47646182775497437,False,0.48134538531303406,False
36,5,1.0,1.0,312.0,24.0,A4,69,,0,0.8158684968948364,True,0.3124712109565735,False,0.37363916635513306,False
37,5,2.0,1.0,336.0,24.0,D5,74,,0,0.7707476615905762,True,0.264603853225708,False,0.36864736676216125,False
38,6,0.0,1.0,360.0,24.0,G4,67,,0,0.9862945675849915,True,0.6747751832008362,True,0.4911624789237976,False
39,6,1.0,1.5,384.0,36.0,C5,72,,0,0.031253136694431305,False,0.23390483856201172,False,0.3820232152938843,False
40,6,2.5,0.5,420.0,12.0,A4,69,,0,0.488666296005249,False,0.22937287390232086,False,0.37578466534614563,False
41,7,0.0,4.0,432.0,96.0,F4,65,,0,0.5232246518135071,True,0.8782086968421936,True,0.6533603668212891,True
42,7,0.0,1.0,432.0,24.0,F3,53,,0,0.6311123967170715,True,0.7789345383644104,True,0.630730390548706,True
43,7,1.0,1.0,456.0,24.0,A2,45,,0,0.7559701800346375,True,0.3673831522464752,False,0.44063374400138855,False
44,7,2.0,1.0,480.0,24.0,D3,50,,0,0.4400290846824646,False,0.3996240794658661,False,0.41183000802993774,False
45,8,0.0,3.0,504.0,72.0,G4,67,,0,0.8821600079536438,True,0.7102930545806885,True,0.2955794036388397,False
46,8,0.0,1.0,504.0,24.0,G2,43,,0,0.9433273077011108,True,0.5206089615821838,True,0.31243762373924255,False
47,8,1.0,0.5,528.0,12.0,E4,64,,0,0.40927788615226746,False,0.3884976804256439,False,0.4125836491584778,False
48,8,1.0,1.5,528.0,36.0,C3,48,,0,0.8299450278282166,True,0.7811869978904724,True,0.529695987701416,True
49,8,1.5,0.5,540.0,12.0,D4,62,,0,0.9630879759788513,True,0.13706612586975098,False,0.35490190982818604,False
50,8,2.0,1.0,552.0,24.0,E4,64,,0,0.19462542235851288,False,0.2257908582687378,False,0.36090341210365295,False
51,8,2.5,0.5,564.0,12.0,A2,45,,0,0.6569163799285889,True,0.4360296130180359,False,0.4040032923221588,False
