note_index,measure,measure_offset,quarter_length,time_position,duration_seconds,pitch_name,pitch_midi,staff,voice,layer_1_score,layer_1_mask,layer_2_score,layer_2_mask,layer_3_score,layer_3_mask
0,1,0.0,2.0,0.0,48.0,F4,65,,0,0.9901566505432129,True,0.5595406293869019,True,0.38380420207977295,False
1,1,0.0,0.5,0.0,12.0,F3,53,,0,0.9743143916130066,True,0.8270589709281921,True,0.719149649143219,True
2,1,0.5,0.5,12.0,12.0,A3,57,,0,0.9934056997299194,True,0.4044569730758667,False,0.39347022771835327,False
3,1,1.0,0.5,24.0,12.0,C4,60,,0,0.968315839767456,True,0.9561046361923218,True,0.6519704461097717,True
4,1,1.5,0.5,36.0,12.0,A3,57,,0,0.9720894694328308,True,0.3812188506126404,False,0.385946661233902,False
5,1,2.0,1.0,48.0,24.0,A4,69,,0,0.9649506211280823,True,0.19635018706321716,False,0.3093741238117218,False
6,1,2.0,0.5,48.0,12.0,C4,60,,0,0.913640558719635,True,0.9342153072357178,True,0.525891125202179,True
7,1,2.5,0.5,60.0,12.0,A3,57,,0,0.9684460759162903,True,0.2599833607673645,False,0.35048311948776245,False
8,2,0.0,2.0,72.0,48.0,C5,72,,0,0.9371829032897949,True,0.6272644996643066,True,0.5476968288421631,True
9,2,0.0,0.5,72.0,12.0,F3,53,,0,0.9810645580291748,True,0.8497927784919739,True,0.7061375975608826,True
10,2,0.5,0.5,84.0,12.0,C4,60,,0,0.814541220664978,True,0.9459388852119446,True,0.5856221914291382,True
11,2,1.0,0.5,96.0,12.0,E-4,63,,0,0.9565846920013428,True,0.6241116523742676,True,0.574755072593689,True
12,2,1.5,0.5,108.0,12.0,C4,60,,0,0.7168593406677246,True,0.925818681716919,True,0.6820340752601624,True
13,2,2.0,1.0,120.0,24.0,A4,69,,0,0.9665582180023193,True,0.07461653649806976,False,0.2823772430419922,False
14,2,2.0,0.5,120.0,12.0,E-4,63,,0,0.8661181330680847,True,0.5551592111587524,True,0.4202018082141876,False
15,2,2.5,0.5,132.0,12.0,C4,60,,0,0.9542674422264099,True,0.918211042881012,True,0.6643322110176086,True
16,3,0.0,2.0,144.0,48.0,B-4,70,,0,0.9020312428474426,True,0.757287859916687,True,0.5803368091583252,True
17,3,0.0,0.5,144.0,12.0,F3,53,,0,0.876105785369873,True,0.6429620981216431,True,0.7789666056632996,True
18,3,0.5,0.5,156.0,12.0,B-3,58,,0,0.9861846566200256,True,0.2903393507003784,False,0.31781065464019775,False
