note_index,measure,measure_offset,quarter_length,time_position,duration_seconds,pitch_name,pitch_midi,staff,voice,layer_1_score,layer_1_mask,layer_2_score,layer_2_mask,layer_3_score,layer_3_mask
0,1,0.0,0.3333333333333333,0.0,0.4,D2,38,2,6,0.7816082835197449,True,0.8787069320678711,True,0.5875352025032043,True
1,1,0.3333333333333333,0.3333333333333333,0.39999999999999997,0.4,A3,57,2,6,0.6467453241348267,True,0.5509300827980042,True,0.5015974640846252,True
2,1,0.6666666666666666,0.3333333333333333,0.7999999999999999,0.4,D4,62,2,6,0.7561936974525452,True,0.8377704620361328,True,0.3948890268802643,False
3,1,1.0,0.3333333333333333,1.2,0.4,A4,69,2,6,0.7919823527336121,True,0.6516063213348389,True,0.26887577772140503,False
4,1,1.3333333333333333,0.3333333333333333,1.5999999999999999,0.4,D4,62,2,6,0.7168424129486084,True,0.8229186534881592,True,0.43166613578796387,False
5,1,1.6666666666666667,0.3333333333333333,1.9999999999999998,0.4,A3,57,2,6,0.7925847768783569,True,0.7330146431922913,True,0.26841142773628235,False
6,1,2.0,0.3333333333333333,2.4,0.4,F#3,54,2,6,0.595784068107605,True,0.8323451280593872,True,0.7080666422843933,True
7,1,2.3333333333333335,0.3333333333333333,2.8,0.4,A2,45,2,6,0.6540752053260803,True,0.7882445454597473,True,0.3392775058746338,False
8,1,2.6666666666666665,0.3333333333333333,3.1999999999999997,0.4,D4,62,2,6,0.7701317667961121,True,0.7172718644142151,True,0.3585006594657898,False
9,2,0.0,0.3333333333333333,3.5999999999999996,0.4,D2,38,2,6,0.6094574928283691,True,0.7218704223632812,True,0.5348420143127441,True
10,2,0.3333333333333333,0.3333333333333333,3.9999999999999996,0.4,A3,57,2,6,0.6866163015365601,True,0.5189417600631714,True,0.21743859350681305,False
11,2,0.6666666666666666,0.3333333333333333,4.3999999999999995,0.4,D4,62,2,6,0.7168951630592346,True,0.5566480159759521,True,0.3418056070804596,False
12,2,1.0,0.3333333333333333,4.8,0.4,A4,69,2,6,0.7728797197341919,True,0.3766648471355438,False,0.43668901920318604,False
13,2,1.3333333333333333,0.3333333333333333,5.2,0.4,D4,62,2,6,0.7197843790054321,True,0.6802868247032166,True,0.38332313299179077,False
14,2,1.6666666666666667,0.3333333333333333,5.6000000000000005,0.4,A3,57,2,6,0.7957143187522888,True,0.5901647210121155,True,0.42536336183547974,False
