measure,m-length_beat,m-beat_duration,has_even_meter,n_notes,n_pitches,n_onsets,n_slices,n_pitchclasses,novelty,prop_silence,longest_silence,pitch_avg,pitch_std,pitch_min,pitch_max,pitch_med,duration_avg,duration_std,duration_min,duration_max,duration_med,regularity_avg,regularity_std,regularity_min,regularity_max,regularity_med,n_voices_per_onset_avg,n_voices_per_onset_std,n_voices_per_onset_min,n_voices_per_onset_max,n_voices_per_onset_med,n_gaps_per_onset_avg,n_gaps_per_onset_std,n_gaps_per_onset_min,n_gaps_per_onset_max,n_gaps_per_onset_med,n_voices_per_beat_avg,n_voices_per_beat_std,n_voices_per_beat_min,n_voices_per_beat_max,n_voices_per_beat_med,n_gaps_per_beat_avg,n_gaps_per_beat_std,n_gaps_per_beat_min,n_gaps_per_beat_max,n_gaps_per_beat_med,width_avg,width_std,width_min,width_max,width_med,harmonicity_avg,harmonicity_std,harmonicity_min,harmonicity_max,harmonicity_med,harmonic_intervals_3_6,harmonic_intervals_4_5,harmonic_intervals_8,melodic_intervals_2,melodic_intervals_3,melodic_intervals_4_5,melodic_intervals_8,repetitions,M,H,S,h,p,o,h+,p+,s,t,b,r,_,",",density,onset_sync_proxy,has_registral_gap,octave_presence,texture_type,confidence
1,1.0,1.5,0,5.0,3.0,5.0,6.0,3.0,0.6,0.1666666666666666,0.1666666666666666,74.4,1.8400000000000032,71.0,79.0,74.0,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,3.885780586188048e-17,0.1666666666666666,0.1666666666666667,0.1666666666666666,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.2777777777777777,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.2777777777777777,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1.0,1.0,0,0.0,monophonic,high
2,1.0,1.5,0,6.0,3.0,6.0,6.0,3.0,0.5,0.0,0.0,71.83333333333333,2.1666666666666665,67.0,74.0,72.5,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,2.7755575615628914e-17,0.1666666666666666,0.1666666666666667,0.1666666666666666,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1.0,1.0,0,0.0,monophonic,high
3,1.0,1.5,0,6.0,4.0,6.0,6.0,4.0,0.6666666666666666,0.0,0.0,70.66666666666667,2.6666666666666665,66.0,76.0,70.5,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,2.7755575615628914e-17,0.1666666666666666,0.1666666666666667,0.1666666666666666,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1.0,1.0,0,0.0,monophonic,high
4,1.0,1.5,0,6.0,4.0,6.0,6.0,4.0,0.6666666666666666,0.0,0.0,69.0,3.0,64.0,74.0,69.0,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,2.7755575615628914e-17,0.1666666666666666,0.1666666666666667,0.1666666666666666,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1.0,1.0,0,0.0,monophonic,high
5,1.0,1.5,0,6.0,4.0,6.0,6.0,4.0,0.6666666666666666,0.0,0.0,67.33333333333333,2.6666666666666665,62.0,72.0,67.5,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,2.7755575615628914e-17,0.1666666666666666,0.1666666666666667,0.1666666666666666,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1.0,1.0,0,0.0,monophonic,high
6,1.0,1.5,0,6.0,4.0,6.0,6.0,4.0,0.6666666666666666,0.0,0.0,69.83333333333333,1.5,67.0,72.0,70.0,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,2.7755575615628914e-17,0.1666666666666666,0.1666666666666667,0.1666666666666666,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1.0,1.0,0,0.0,monophonic,high
7,1.0,1.5,0,6.0,5.0,6.0,6.0,5.0,0.8333333333333334,0.0,0.0,72.83333333333333,1.8888888888888904,69.0,76.0,73.5,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,2.7755575615628914e-17,0.1666666666666666,0.1666666666666667,0.1666666666666666,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1.0,1.0,0,0.0,monophonic,high
8,1.0,1.5,0,11.0,7.0,6.0,6.0,5.0,0.6363636363636364,0.0,0.0,73.27272727272727,4.016528925619837,66.0,79.0,74.0,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,2.7755575615628914e-17,0.1666666666666666,0.1666666666666667,0.1666666666666666,1.8333333333333333,0.2777777777777778,1.0,2.0,2.0,0.6666666666666666,0.4444444444444445,0.0,1.0,1.0,1.8333333333333333,0.2777777777777778,1.0,2.0,2.0,0.6666666666666666,0.4444444444444445,0.0,1.0,1.0,7.333333333333333,2.8888888888888893,1.0,11.0,8.5,0.8333333333333334,0.2777777777777777,0.0,1.0,1.0,0.5,0.1666666666666666,0.0,0.7,0.1,0.5,0.0,0.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,2.0,1.0,1,0.0,homorhythmic,low
9,1.0,1.5,0,10.0,4.0,6.0,6.0,3.0,0.4,0.0,0.0,72.5,6.8,62.0,81.0,69.0,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,2.7755575615628914e-17,0.1666666666666666,0.1666666666666667,0.1666666666666666,1.6666666666666667,0.4444444444444444,1.0,2.0,2.0,0.6666666666666666,0.4444444444444445,0.0,1.0,1.0,1.6666666666666667,0.4444444444444443,1.0,2.0,2.0,0.6666666666666666,0.4444444444444445,0.0,1.0,1.0,10.0,6.0,1.0,16.0,13.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.375,0.25,0.375,0.25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,1.0,1,0.3333333333333333,homorhythmic,low
10,1.0,1.5,0,12.0,6.0,6.0,6.0,5.0,0.5,0.0,0.0,71.5,5.833333333333333,61.0,79.0,72.5,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,2.7755575615628914e-17,0.1666666666666666,0.1666666666666667,0.1666666666666666,2.0,0.0,2.0,2.0,2.0,0.8333333333333334,0.2777777777777777,0.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,0.8333333333333334,0.2777777777777777,0.0,1.0,1.0,12.666666666666666,4.4444444444444455,4.0,19.0,14.5,0.8333333333333334,0.2777777777777777,0.0,1.0,1.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.5,0.2,0.3,0.4,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2.0,1.0,1,0.1666666666666666,homorhythmic,low
