measure,m-length_beat,m-beat_duration,has_even_meter,n_notes,n_pitches,n_onsets,n_slices,n_pitchclasses,novelty,prop_silence,longest_silence,pitch_avg,pitch_std,pitch_min,pitch_max,pitch_med,duration_avg,duration_std,duration_min,duration_max,duration_med,regularity_avg,regularity_std,regularity_min,regularity_max,regularity_med,n_voices_per_onset_avg,n_voices_per_onset_std,n_voices_per_onset_min,n_voices_per_onset_max,n_voices_per_onset_med,n_gaps_per_onset_avg,n_gaps_per_onset_std,n_gaps_per_onset_min,n_gaps_per_onset_max,n_gaps_per_onset_med,n_voices_per_beat_avg,n_voices_per_beat_std,n_voices_per_beat_min,n_voices_per_beat_max,n_voices_per_beat_med,n_gaps_per_beat_avg,n_gaps_per_beat_std,n_gaps_per_beat_min,n_gaps_per_beat_max,n_gaps_per_beat_med,width_avg,width_std,width_min,width_max,width_med,harmonicity_avg,harmonicity_std,harmonicity_min,harmonicity_max,harmonicity_med,harmonic_intervals_3_6,harmonic_intervals_4_5,harmonic_intervals_8,melodic_intervals_2,melodic_intervals_3,melodic_intervals_4_5,melodic_intervals_8,repetitions,M,H,S,h,p,o,h+,p+,s,t,b,r,_,",",density,onset_sync_proxy,has_registral_gap,octave_presence,texture_type,confidence
1,4.0,1.0,1,7.25,1.0,2.0,2.0,0.75,0.1379310344827586,0.0,0.0,44.44827586206897,5.360285374554102,36.0,52.0,43.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,3.625,0.65625,1.0,4.0,4.0,0.875,0.21875,0.0,1.0,1.0,3.625,0.65625,1.0,4.0,4.0,0.875,0.21875,0.0,1.0,1.0,15.0,3.5,1.0,17.0,17.0,1.0,0.0,1.0,1.0,1.0,0.875,0.875,0.875,0.0,0.4285714285714285,0.6785714285714286,0.4642857142857143,0.8928571428571429,1,1,0,1,1,0,1,1,0,0,1,1,0,0,4.0,1.0,1,0.875,homorhythmic,high
2,4.0,1.0,1,8.0,1.75,2.0,2.0,1.5,0.21875,0.0,0.0,45.125,5.375,36.0,54.0,46.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,4.0,0.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,17.5,0.75,17.0,19.0,17.0,0.9166666666666666,0.125,0.6666666666666666,1.0,1.0,1.0,1.0,0.75,0.1071428571428571,0.4642857142857143,0.7142857142857143,0.3928571428571428,0.8928571428571429,1,1,0,1,1,1,1,1,0,0,0,1,0,0,4.0,1.0,1,0.75,homorhythmic,high
3,4.0,1.0,1,6.75,1.5,2.25,2.25,1.0,0.2222222222222222,0.0,0.0,43.833333333333336,6.444444444444446,35.0,59.0,43.0,0.4444444444444444,0.0864197530864197,0.25,0.5,0.5,0.4444444444444444,0.0864197530864197,0.25,0.5,0.5,3.0,0.6666666666666666,2.0,4.0,3.0,1.6666666666666667,0.4444444444444444,1.0,2.0,2.0,3.0,0.75,2.0,4.0,3.0,1.625,0.46875,1.0,2.0,2.0,16.875,5.90625,9.0,25.0,21.0,0.9583333333333334,0.0781249999999999,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0869565217391304,0.0434782608695652,0.3043478260869565,0.3043478260869565,0.8695652173913043,1,1,0,1,1,1,1,1,0,0,0,1,0,0,3.0,1.0,1,0.4444444444444444,homorhythmic,high
4,4.0,1.0,1,7.0,1.75,2.5,2.5,1.25,0.25,0.0,0.0,50.95454545454545,17.388429752066113,35.0,86.0,43.0,0.3928571428571428,0.1224489795918367,0.25,0.5,0.5,0.4,0.12,0.25,0.5,0.5,2.8,0.3200000000000001,2.0,3.0,3.0,1.8,0.3199999999999999,1.0,2.0,2.0,2.75,0.375,2.0,3.0,3.0,1.75,0.375,1.0,2.0,2.0,38.875,14.9375,9.0,52.0,46.0,0.9375,0.109375,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.16,0.0,0.0,0.0,0.84,1,1,0,1,1,0,1,1,0,0,1,1,0,0,3.0,1.0,1,0.0,homorhythmic,high
5,4.0,1.0,1,8.0,1.0,2.0,2.0,0.75,0.125,0.0,0.0,42.75,5.25,34.0,50.0,43.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,4.0,0.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,17.0,0.0,17.0,17.0,17.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.75,0.5,1.0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,4.0,1.0,1,1.0,homorhythmic,high
6,4.0,1.0,1,8.0,1.75,2.0,2.0,1.5,0.21875,0.0,0.0,43.125,5.375,34.0,52.0,44.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,4.0,0.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,17.5,0.75,17.0,19.0,17.0,0.9166666666666666,0.125,0.6666666666666666,1.0,1.0,1.0,1.0,0.75,0.1071428571428571,0.4642857142857143,0.7142857142857143,0.3928571428571428,0.8928571428571429,1,1,0,1,1,1,1,1,0,0,0,1,0,0,4.0,1.0,1,0.75,homorhythmic,high
7,4.0,1.0,1,6.75,1.5,2.25,2.25,1.0,0.2222222222222222,0.0,0.0,41.833333333333336,6.444444444444446,33.0,57.0,41.0,0.4444444444444444,0.0864197530864197,0.25,0.5,0.5,0.4444444444444444,0.0864197530864197,0.25,0.5,0.5,3.0,0.6666666666666666,2.0,4.0,3.0,1.6666666666666667,0.4444444444444444,1.0,2.0,2.0,3.0,0.75,2.0,4.0,3.0,1.625,0.46875,1.0,2.0,2.0,16.875,5.90625,9.0,25.0,21.0,0.9583333333333334,0.0781249999999999,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0869565217391304,0.0434782608695652,0.3043478260869565,0.3043478260869565,0.8695652173913043,1,1,0,1,1,1,1,1,0,0,0,1,0,0,3.0,1.0,1,0.4444444444444444,homorhythmic,high
8,4.0,1.0,1,7.0,1.75,2.5,2.5,1.25,0.25,0.0,0.0,48.56818181818182,17.553719008264462,32.0,84.0,41.0,0.3928571428571428,0.1224489795918367,0.25,0.5,0.5,0.4,0.12,0.25,0.5,0.5,2.8,0.3200000000000001,2.0,3.0,3.0,1.8,0.3199999999999999,1.0,2.0,2.0,2.75,0.375,2.0,3.0,3.0,1.75,0.375,1.0,2.0,2.0,39.8125,14.90625,10.0,53.0,47.0,0.9375,0.109375,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.16,0.0,0.0,0.0,0.84,1,1,0,1,1,0,1,1,0,0,1,1,0,0,3.0,1.0,1,0.0,homorhythmic,high
9,4.0,1.0,1,7.5,1.75,2.5,2.5,1.5,0.2333333333333333,0.0,0.0,53.541666666666664,23.222222222222225,31.0,89.0,41.0,0.4,0.1199999999999999,0.25,0.5,0.5,0.4,0.12,0.25,0.5,0.5,3.0,0.0,3.0,3.0,3.0,2.0,0.0,2.0,2.0,2.0,3.0,0.0,3.0,3.0,3.0,2.0,0.0,2.0,2.0,2.0,58.125,1.3125,53.0,59.0,59.0,0.4583333333333333,0.1875,0.3333333333333333,1.0,0.3333333333333333,0.4,0.0,0.0,0.1481481481481481,0.0,0.0,0.0,0.8518518518518519,1,0,0,0,1,0,1,1,0,0,1,1,0,0,3.0,1.0,1,0.0,homorhythmic,high
10,4.0,1.0,1,12.0,2.0,4.0,4.0,1.75,0.1666666666666666,0.0,0.0,52.75,22.0,31.0,89.0,41.0,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,3.0,0.0,3.0,3.0,3.0,2.0,0.0,2.0,2.0,2.0,3.0,0.0,3.0,3.0,3.0,2.0,0.0,2.0,2.0,2.0,55.25,1.5,53.0,58.0,55.5,0.6666666666666667,0.1666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.5,0.0,0.0,0.4,0.0,0.0,0.0,0.6,1,0,0,0,1,0,1,1,0,0,1,1,0,0,3.0,1.0,1,0.0,homorhythmic,high
