measure,m-length_beat,m-beat_duration,has_even_meter,n_notes,n_pitches,n_onsets,n_slices,n_pitchclasses,novelty,prop_silence,longest_silence,pitch_avg,pitch_std,pitch_min,pitch_max,pitch_med,duration_avg,duration_std,duration_min,duration_max,duration_med,regularity_avg,regularity_std,regularity_min,regularity_max,regularity_med,n_voices_per_onset_avg,n_voices_per_onset_std,n_voices_per_onset_min,n_voices_per_onset_max,n_voices_per_onset_med,n_gaps_per_onset_avg,n_gaps_per_onset_std,n_gaps_per_onset_min,n_gaps_per_onset_max,n_gaps_per_onset_med,n_voices_per_beat_avg,n_voices_per_beat_std,n_voices_per_beat_min,n_voices_per_beat_max,n_voices_per_beat_med,n_gaps_per_beat_avg,n_gaps_per_beat_std,n_gaps_per_beat_min,n_gaps_per_beat_max,n_gaps_per_beat_med,width_avg,width_std,width_min,width_max,width_med,harmonicity_avg,harmonicity_std,harmonicity_min,harmonicity_max,harmonicity_med,harmonic_intervals_3_6,harmonic_intervals_4_5,harmonic_intervals_8,melodic_intervals_2,melodic_intervals_3,melodic_intervals_4_5,melodic_intervals_8,repetitions,M,H,S,h,p,o,h+,p+,s,t,b,r,_,",",density,onset_sync_proxy,has_registral_gap,octave_presence,texture_type,confidence
1,4.0,1.0,1,7.0,1.75,1.75,1.75,1.5,0.25,0.0,0.0,56.75,5.25,48.0,65.0,57.0,0.5714285714285714,0.4081632653061224,0.25,2.0,0.25,0.5714285714285714,0.4081632653061224,0.25,2.0,0.25,4.0,0.0,4.0,4.0,4.0,1.1428571428571428,0.2448979591836734,1.0,2.0,1.0,4.0,0.0,4.0,4.0,4.0,1.125,0.21875,1.0,2.0,1.0,16.875,0.46875,15.0,18.0,17.0,0.9166666666666666,0.125,0.6666666666666666,1.0,1.0,1.0,1.0,0.5714285714285714,0.5,0.1666666666666666,0.9583333333333334,0.25,0.5,1,1,0,1,1,1,1,1,0,1,0,1,0,0,4.0,1.0,1,0.5714285714285714,homorhythmic,high
2,4.0,1.0,1,2.0,1.25,0.5,0.75,0.75,0.625,0.5,0.5,55.375,6.375,43.0,67.0,57.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,0.0,4.0,4.0,4.0,1.5,0.5,1.0,2.0,1.5,2.0,2.0,0.0,4.0,2.0,0.75,0.75,0.0,2.0,0.5,11.25,11.25,0.0,25.0,10.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.5,0.5,0.75,0.75,0,1,0,1,0,1,1,1,0,0,0,0,1,1,2.0,1.0,1,1.0,homorhythmic,high
3,4.0,1.0,1,7.0,1.75,1.75,1.75,1.5,0.25,0.0,0.0,57.3125,7.15625,43.0,67.0,60.0,0.5714285714285714,0.4081632653061224,0.25,2.0,0.25,0.5714285714285714,0.4081632653061224,0.25,2.0,0.25,4.0,0.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,23.125,0.46875,22.0,25.0,23.0,0.7083333333333334,0.0729166666666667,0.6666666666666666,1.0,0.6666666666666666,1.0,0.4285714285714285,0.0,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.0,0.5,1,1,0,1,1,0,1,1,0,1,0,1,0,0,4.0,1.0,1,0.0,homorhythmic,high
4,4.0,1.0,1,2.0,1.25,0.5,0.75,0.75,0.625,0.5,0.5,58.25,6.75,48.0,72.0,57.5,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,0.0,4.0,4.0,4.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,0.0,4.0,2.0,1.0,1.0,0.0,3.0,0.5,10.5,10.5,0.0,25.0,8.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.25,0.5,0.5,0.75,0,1,0,1,0,1,1,1,0,0,0,0,1,1,2.0,1.0,1,0.5,homorhythmic,high
5,4.0,1.0,1,7.75,2.25,2.0,2.0,1.5,0.2903225806451613,0.0,0.0,60.46666666666667,8.302222222222222,43.0,74.0,64.0,0.4838709677419355,0.2414151925078043,0.25,1.0,0.25,0.5,0.25,0.25,1.0,0.375,3.875,0.21875,3.0,4.0,4.0,2.375,0.46875,2.0,3.0,2.0,3.75,0.375,3.0,4.0,4.0,2.5,0.5,2.0,3.0,2.5,24.0,3.75,18.0,32.0,24.0,0.8125,0.1875,0.5,1.0,0.8333333333333333,0.375,0.625,0.25,0.25,0.0357142857142857,0.6071428571428571,0.1071428571428571,0.6428571428571429,1,1,0,1,1,1,1,1,0,0,0,1,0,0,4.0,1.0,1,0.25,homorhythmic,high
6,4.0,1.0,1,7.5,2.5,2.0,2.0,1.5,0.3333333333333333,0.0,0.0,59.857142857142854,8.285714285714285,43.0,74.0,59.5,0.4666666666666667,0.2311111111111111,0.25,1.0,0.25,0.5,0.25,0.25,1.0,0.375,3.75,0.4375,2.0,4.0,4.0,2.25,0.5625,1.0,3.0,2.0,3.5,0.75,2.0,4.0,4.0,2.25,0.75,1.0,3.0,2.5,22.75,5.0625,13.0,32.0,24.0,0.8125,0.1875,0.5,1.0,0.8333333333333333,0.25,0.625,0.375,0.25,0.0714285714285714,0.6428571428571429,0.1428571428571428,0.5714285714285714,1,1,0,1,1,1,1,1,0,0,0,1,0,0,4.0,1.0,1,0.375,homorhythmic,high
7,4.0,1.0,1,3.75,2.75,1.0,1.0,1.5,0.7333333333333333,0.0,0.0,58.6,5.573333333333333,48.0,72.0,57.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.75,0.75,3.0,5.0,3.5,1.25,0.75,0.0,2.0,1.5,3.75,0.75,3.0,5.0,3.5,1.25,0.75,0.0,2.0,1.5,17.75,4.75,10.0,25.0,18.0,0.9083333333333332,0.0916666666666666,0.8,1.0,0.9166666666666669,0.75,0.75,0.5,0.3333333333333333,0.4166666666666667,0.8333333333333334,0.3333333333333333,0.3333333333333333,1,1,0,1,0,1,1,1,0,0,0,1,0,0,3.5,1.0,1,0.5,homorhythmic,high
8,4.0,1.0,1,4.5,3.0,2.0,2.0,1.75,0.6666666666666666,0.0,0.0,57.3,5.44,43.0,67.0,59.0,0.5555555555555556,0.2962962962962963,0.3333333333333333,1.0,0.3333333333333333,0.5,0.25,0.33,1.0,0.3349999999999999,2.25,0.9375,1.0,3.0,3.0,0.5,0.625,0.0,2.0,0.0,2.5,0.75,1.0,3.0,3.0,0.6675,0.7776375,0.0,2.0,0.0,11.6625,7.5494375,1.0,25.0,9.0,0.9433333333333334,0.1036999999999999,0.3333333333333333,1.0,1.0,0.625,0.25,0.125,0.3333333333333333,0.4,0.4666666666666667,0.2,0.3333333333333333,1,0,0,0,1,0,1,1,0,0,0,0,0,1,3.0,0.9,1,0.125,homorhythmic,high
9,4.0,1.0,1,7.25,2.0,2.0,2.0,1.5,0.2758620689655172,0.0,0.0,57.23076923076923,6.710059171597634,47.0,67.0,55.0,0.4482758620689655,0.2187871581450654,0.25,1.0,0.25,0.5,0.25,0.25,1.0,0.375,3.625,0.65625,1.0,4.0,4.0,1.625,0.5625,0.0,2.0,2.0,3.25,1.125,1.0,4.0,4.0,1.375,0.78125,0.0,2.0,2.0,14.75,6.875,1.0,21.0,19.5,0.9166666666666669,0.1041666666666666,0.6666666666666666,1.0,1.0,0.625,0.875,0.75,0.25,0.1785714285714285,0.6785714285714286,0.3928571428571428,0.6071428571428571,1,1,0,1,1,0,1,1,0,1,0,1,0,0,4.0,1.0,1,0.75,homorhythmic,high
10,4.0,1.0,1,8.0,2.25,2.0,2.0,1.25,0.28125,0.0,0.0,57.5,6.625,43.0,67.0,57.5,0.5,0.25,0.25,1.0,0.375,0.5,0.25,0.25,1.0,0.375,4.0,0.0,4.0,4.0,4.0,1.75,0.375,1.0,2.0,2.0,4.0,0.0,4.0,4.0,4.0,1.625,0.46875,1.0,2.0,2.0,20.5,1.0,18.0,22.0,20.5,0.9791666666666669,0.0364583333333332,0.8333333333333334,1.0,1.0,0.625,1.0,1.0,0.2142857142857142,0.1428571428571428,0.8214285714285714,0.6071428571428571,0.6785714285714286,1,1,0,1,1,1,1,1,0,0,0,1,0,0,4.0,1.0,1,1.0,homorhythmic,high
