measure,m-length_beat,m-beat_duration,has_even_meter,n_notes,n_pitches,n_onsets,n_slices,n_pitchclasses,novelty,prop_silence,longest_silence,pitch_avg,pitch_std,pitch_min,pitch_max,pitch_med,duration_avg,duration_std,duration_min,duration_max,duration_med,regularity_avg,regularity_std,regularity_min,regularity_max,regularity_med,n_voices_per_onset_avg,n_voices_per_onset_std,n_voices_per_onset_min,n_voices_per_onset_max,n_voices_per_onset_med,n_gaps_per_onset_avg,n_gaps_per_onset_std,n_gaps_per_onset_min,n_gaps_per_onset_max,n_gaps_per_onset_med,n_voices_per_beat_avg,n_voices_per_beat_std,n_voices_per_beat_min,n_voices_per_beat_max,n_voices_per_beat_med,n_gaps_per_beat_avg,n_gaps_per_beat_std,n_gaps_per_beat_min,n_gaps_per_beat_max,n_gaps_per_beat_med,width_avg,width_std,width_min,width_max,width_med,harmonicity_avg,harmonicity_std,harmonicity_min,harmonicity_max,harmonicity_med,harmonic_intervals_3_6,harmonic_intervals_4_5,harmonic_intervals_8,melodic_intervals_2,melodic_intervals_3,melodic_intervals_4_5,melodic_intervals_8,repetitions,M,H,S,h,p,o,h+,p+,s,t,b,r,_,",",density,onset_sync_proxy,has_registral_gap,octave_presence,texture_type,confidence
1,3.0,1.0,0,5.333333333333333,2.0,1.3333333333333333,1.3333333333333333,1.0,0.375,0.0,0.0,58.125,9.625,44.0,72.0,57.0,0.75,0.375,0.25,1.5,0.625,0.75,0.375,0.25,1.5,0.625,4.0,0.0,4.0,4.0,4.0,1.25,0.375,1.0,2.0,1.0,4.0,0.0,4.0,4.0,4.0,1.5,0.5,1.0,2.0,1.5,25.0,4.0,21.0,29.0,25.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.75,0.0,0.5,0.5,0.4166666666666667,0.8333333333333334,1,1,0,1,1,1,1,1,0,1,0,1,0,0,4.0,1.0,1,0.75,homorhythmic,high
2,3.0,1.0,0,2.6666666666666665,2.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.75,0.0,0.0,59.25,9.75,46.0,73.0,59.0,1.5,0.5,1.0,2.0,1.5,1.5,0.5,1.0,2.0,1.5,4.0,0.0,4.0,4.0,4.0,1.5,0.5,1.0,2.0,1.5,4.0,0.0,4.0,4.0,4.0,1.3333333333333333,0.4444444444444444,1.0,2.0,1.0,24.0,2.6666666666666665,22.0,28.0,22.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,0.25,0.5,0.25,0.0,0.5,1,1,0,1,1,1,1,1,0,1,0,1,0,0,4.0,1.0,1,0.0,homorhythmic,high
3,3.0,1.0,0,8.0,4.0,2.0,2.0,2.0,0.5,0.0,0.0,62.541666666666664,8.958333333333334,48.0,77.0,64.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,4.0,0.0,4.0,4.0,4.0,2.5,0.6666666666666666,1.0,3.0,3.0,4.0,0.0,4.0,4.0,4.0,2.5,0.6666666666666666,1.0,3.0,3.0,26.5,2.3333333333333335,21.0,29.0,28.0,0.9722222222222224,0.0462962962962962,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,0.5,0.4,0.1,0.7,0.15,0.45,1,1,0,1,1,1,1,1,0,0,0,1,0,0,4.0,1.0,1,0.5,homorhythmic,high
4,3.0,1.0,0,18.0,2.6666666666666665,6.333333333333333,6.333333333333333,2.3333333333333335,0.1481481481481481,0.0,0.0,65.35828877005348,8.361463010094656,51.0,77.0,67.0,0.1442901234567901,0.1264003200731595,0.0416666666666666,0.75,0.0625,0.1578947368421052,0.1274238227146814,0.04,0.75,0.07,2.8421052631578947,1.6398891966759004,1.0,5.0,4.0,1.5789473684210529,1.4958448753462603,0.0,3.0,3.0,2.6,1.5733333333333333,1.0,5.0,3.0,1.5,1.5,0.0,3.0,1.5,12.783333333333331,11.730000000000004,1.0,25.0,13.0,0.9201111111111112,0.1177029629629629,0.0,1.0,1.0,0.5263157894736842,0.5263157894736842,0.0,0.36,0.0,0.4,0.0,0.74,1,1,0,1,1,0,1,1,0,0,1,1,0,1,3.0,1.0,1,0.0,homorhythmic,high
5,3.0,1.0,0,11.0,2.0,4.0,4.0,1.0,0.1818181818181818,0.0,0.0,65.66666666666667,6.303030303030304,56.0,80.0,63.0,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,2.75,0.375,2.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,2.75,0.375,2.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,16.333333333333332,2.388888888888889,13.0,21.0,16.0,1.0,0.0,1.0,1.0,1.0,0.75,0.0,0.5833333333333334,0.0,0.5806451612903226,0.1935483870967742,0.4516129032258064,0.6774193548387096,1,0,0,0,1,0,1,1,0,0,1,1,0,0,3.0,1.0,1,0.5833333333333334,homorhythmic,high
6,3.0,1.0,0,11.0,1.6666666666666667,4.0,4.0,1.6666666666666667,0.1515151515151515,0.0,0.0,67.93939393939394,8.286501377410469,58.0,80.0,63.0,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,2.75,0.375,2.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,2.75,0.375,2.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,20.083333333333332,1.1249999999999991,19.0,23.0,19.5,0.5,0.25,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.4193548387096774,0.1612903225806451,0.1612903225806451,0.0,0.7096774193548387,1,1,0,1,1,0,1,0,0,0,1,1,0,0,3.0,1.0,1,0.0,homorhythmic,high
7,3.0,1.0,0,14.0,2.3333333333333335,4.0,4.0,1.3333333333333333,0.1666666666666666,0.0,0.0,70.02380952380952,5.605442176870746,61.0,82.0,68.5,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,3.5,0.75,2.0,4.0,4.0,0.8333333333333334,0.2777777777777777,0.0,1.0,1.0,3.5,0.75,2.0,4.0,4.0,0.8333333333333334,0.2777777777777777,0.0,1.0,1.0,18.333333333333332,2.4444444444444446,13.0,22.0,19.5,0.9166666666666666,0.1527777777777779,0.0,1.0,1.0,0.75,0.75,0.75,0.125,0.5,0.35,0.425,0.675,1,1,0,1,1,0,1,1,0,0,1,1,0,0,4.0,1.0,1,0.75,homorhythmic,high
8,3.0,1.0,0,11.0,1.6666666666666667,4.0,4.0,1.0,0.1515151515151515,0.0,0.0,69.66666666666667,6.3030303030303045,60.0,80.0,68.0,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,2.75,0.375,2.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,2.75,0.375,2.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,17.083333333333332,2.2222222222222228,13.0,21.0,18.0,1.0,0.0,1.0,1.0,1.0,0.0,0.75,0.75,0.0,0.1612903225806451,0.5161290322580645,0.5483870967741935,0.7096774193548387,1,0,0,0,0,0,1,0,0,0,1,1,0,0,3.0,1.0,1,0.75,homorhythmic,high
9,3.0,1.0,0,14.0,2.3333333333333335,4.0,4.0,1.3333333333333333,0.1666666666666666,0.0,0.0,74.35714285714286,4.928571428571429,66.0,87.0,73.5,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,3.5,0.75,2.0,4.0,4.0,0.6666666666666666,0.4444444444444445,0.0,1.0,1.0,3.5,0.75,2.0,4.0,4.0,0.6666666666666666,0.4444444444444443,0.0,1.0,1.0,16.0,2.3333333333333335,13.0,20.0,16.0,0.75,0.375,0.0,1.0,1.0,0.75,0.75,0.75,0.125,0.5,0.425,0.425,0.675,1,1,0,1,1,0,1,0,0,0,1,1,0,0,4.0,1.0,1,0.75,homorhythmic,high
10,3.0,1.0,0,10.666666666666666,3.3333333333333335,4.0,4.0,2.0,0.3125,0.0,0.0,75.6875,8.484375,61.0,89.0,73.0,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,2.6666666666666665,0.4444444444444445,2.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,2.6666666666666665,0.4444444444444446,2.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,21.5,2.4166666666666665,18.0,29.0,20.0,0.6944444444444443,0.2546296296296296,0.0,1.0,0.6666666666666666,0.0833333333333333,0.5,0.1666666666666666,0.1,0.1,0.4,0.1,0.5333333333333333,1,0,0,0,1,0,1,0,0,0,1,1,0,0,3.0,1.0,1,0.1666666666666666,homorhythmic,high
