measure,m-length_beat,m-beat_duration,has_even_meter,n_notes,n_pitches,n_onsets,n_slices,n_pitchclasses,novelty,prop_silence,longest_silence,pitch_avg,pitch_std,pitch_min,pitch_max,pitch_med,duration_avg,duration_std,duration_min,duration_max,duration_med,regularity_avg,regularity_std,regularity_min,regularity_max,regularity_med,n_voices_per_onset_avg,n_voices_per_onset_std,n_voices_per_onset_min,n_voices_per_onset_max,n_voices_per_onset_med,n_gaps_per_onset_avg,n_gaps_per_onset_std,n_gaps_per_onset_min,n_gaps_per_onset_max,n_gaps_per_onset_med,n_voices_per_beat_avg,n_voices_per_beat_std,n_voices_per_beat_min,n_voices_per_beat_max,n_voices_per_beat_med,n_gaps_per_beat_avg,n_gaps_per_beat_std,n_gaps_per_beat_min,n_gaps_per_beat_max,n_gaps_per_beat_med,width_avg,width_std,width_min,width_max,width_med,harmonicity_avg,harmonicity_std,harmonicity_min,harmonicity_max,harmonicity_med,harmonic_intervals_3_6,harmonic_intervals_4_5,harmonic_intervals_8,melodic_intervals_2,melodic_intervals_3,melodic_intervals_4_5,melodic_intervals_8,repetitions,M,H,S,h,p,o,h+,p+,s,t,b,r,_,",",density,onset_sync_proxy,has_registral_gap,octave_presence,texture_type,confidence
1,3.0,1.0,0,4.0,1.6666666666666667,2.0,2.0,1.0,0.4166666666666667,0.0,0.0,61.833333333333336,4.5,53.0,69.0,62.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2.0,0.0,2.0,2.0,2.0,0.8333333333333334,0.2777777777777777,0.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,0.8333333333333334,0.2777777777777777,0.0,1.0,1.0,10.0,2.0,6.0,13.0,9.5,1.0,0.0,1.0,1.0,1.0,0.5,0.1666666666666666,0.3333333333333333,0.0,0.6,0.3,0.3,0.4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2.0,1.0,1,0.3333333333333333,homorhythmic,high
2,3.0,1.0,0,4.0,1.6666666666666667,2.0,2.0,1.3333333333333333,0.4166666666666667,0.0,0.0,65.41666666666667,5.583333333333333,53.0,72.0,66.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,12.166666666666666,3.1666666666666665,7.0,20.0,11.5,0.8333333333333334,0.2777777777777777,0.0,1.0,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.5,0.1,0.3,0.4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2.0,1.0,1,0.3333333333333333,homorhythmic,high
3,3.0,1.0,0,4.0,1.6666666666666667,2.0,2.0,1.3333333333333333,0.4166666666666667,0.0,0.0,65.75,7.25,53.0,79.0,66.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,15.5,3.8333333333333335,9.0,22.0,15.5,1.0,0.0,1.0,1.0,1.0,0.1666666666666666,0.0,0.3333333333333333,0.0,0.4,0.1,0.3,0.4,1,0,1,0,0,1,1,1,1,0,0,1,0,0,2.0,1.0,1,0.3333333333333333,homorhythmic,high
4,3.0,1.0,0,3.3333333333333335,1.6666666666666667,2.0,2.0,1.3333333333333333,0.5,0.0,0.0,63.9,9.88,53.0,77.0,58.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,1.6666666666666667,0.4444444444444444,1.0,2.0,2.0,0.6666666666666666,0.4444444444444445,0.0,1.0,1.0,1.6666666666666667,0.4444444444444443,1.0,2.0,2.0,0.6666666666666666,0.4444444444444445,0.0,1.0,1.0,15.0,9.333333333333334,1.0,25.0,20.5,0.8333333333333334,0.2777777777777777,0.0,1.0,1.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,1.0,1,0.0,homorhythmic,low
5,3.0,1.0,0,1.6666666666666667,1.6666666666666667,1.0,1.0,1.0,1.0,0.0,0.0,66.0,8.8,53.0,77.0,69.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.6666666666666667,0.888888888888889,1.0,3.0,1.0,0.3333333333333333,0.4444444444444445,0.0,1.0,0.0,1.6666666666666667,0.888888888888889,1.0,3.0,1.0,0.3333333333333333,0.4444444444444445,0.0,1.0,0.0,9.0,10.666666666666666,1.0,25.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1.0,1.0,1,0.0,monophonic,high
6,3.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,69.83333333333333,2.1666666666666665,67.0,72.0,70.5,1.0,0.3333333333333333,0.5,1.5,1.0,1.0,0.3333333333333333,0.5,1.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0.0,monophonic,high
7,3.0,1.0,0,2.0,1.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.0,0.0,57.166666666666664,7.833333333333333,45.0,65.0,59.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,16.666666666666668,2.8888888888888893,13.0,21.0,16.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.25,0.25,0.5,1,0,0,0,0,1,1,1,0,0,0,1,0,0,2.0,1.0,1,0.3333333333333333,homorhythmic,high
8,3.0,1.0,0,5.0,2.3333333333333335,1.6666666666666667,1.6666666666666667,2.0,0.4666666666666667,0.0,0.0,58.94444444444444,8.74074074074074,43.0,67.0,64.0,0.6,0.16,0.5,1.0,0.5,0.6,0.1599999999999999,0.5,1.0,0.5,3.0,0.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,22.166666666666668,2.1666666666666665,20.0,25.0,21.5,0.6666666666666666,0.2222222222222222,0.3333333333333333,1.0,0.6666666666666666,0.6,0.2,0.0,0.3333333333333333,0.5,0.25,0.0,0.5833333333333334,1,1,0,1,1,0,1,1,0,0,0,1,0,0,3.0,1.0,1,0.0,homorhythmic,high
9,3.0,1.0,0,3.0,2.3333333333333335,1.0,1.0,1.3333333333333333,0.7777777777777778,0.0,0.0,60.55555555555556,9.925925925925926,41.0,74.0,65.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,3.0,3.0,1.3333333333333333,0.4444444444444444,1.0,2.0,1.0,3.0,0.0,3.0,3.0,3.0,1.3333333333333333,0.4444444444444444,1.0,2.0,1.0,26.333333333333332,3.555555555555556,21.0,29.0,29.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.5,0.3333333333333333,0.0,0.3333333333333333,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3.0,1.0,1,0.0,homorhythmic,high
10,3.0,1.0,0,4.0,2.6666666666666665,2.0,2.0,2.0,0.6666666666666666,0.0,0.0,61.416666666666664,9.27777777777778,45.0,74.0,65.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2.0,0.6666666666666666,1.0,3.0,2.0,1.0,0.6666666666666666,0.0,2.0,1.0,2.0,0.6666666666666666,1.0,3.0,2.0,1.0,0.6666666666666666,0.0,2.0,1.0,15.666666666666666,9.77777777777778,1.0,30.0,17.0,1.0,0.0,1.0,1.0,1.0,0.1666666666666666,0.1666666666666666,0.0,0.5555555555555556,0.0,0.2222222222222222,0.0,0.3333333333333333,1,1,0,1,1,1,1,1,0,0,0,0,0,0,2.0,1.0,1,0.0,homorhythmic,high
