measure,m-length_beat,m-beat_duration,has_even_meter,n_notes,n_pitches,n_onsets,n_slices,n_pitchclasses,novelty,prop_silence,longest_silence,pitch_avg,pitch_std,pitch_min,pitch_max,pitch_med,duration_avg,duration_std,duration_min,duration_max,duration_med,regularity_avg,regularity_std,regularity_min,regularity_max,regularity_med,n_voices_per_onset_avg,n_voices_per_onset_std,n_voices_per_onset_min,n_voices_per_onset_max,n_voices_per_onset_med,n_gaps_per_onset_avg,n_gaps_per_onset_std,n_gaps_per_onset_min,n_gaps_per_onset_max,n_gaps_per_onset_med,n_voices_per_beat_avg,n_voices_per_beat_std,n_voices_per_beat_min,n_voices_per_beat_max,n_voices_per_beat_med,n_gaps_per_beat_avg,n_gaps_per_beat_std,n_gaps_per_beat_min,n_gaps_per_beat_max,n_gaps_per_beat_med,width_avg,width_std,width_min,width_max,width_med,harmonicity_avg,harmonicity_std,harmonicity_min,harmonicity_max,harmonicity_med,harmonic_intervals_3_6,harmonic_intervals_4_5,harmonic_intervals_8,melodic_intervals_2,melodic_intervals_3,melodic_intervals_4_5,melodic_intervals_8,repetitions,M,H,S,h,p,o,h+,p+,s,t,b,r,_,",",density,onset_sync_proxy,has_registral_gap,octave_presence,texture_type,confidence
1,3.0,1.0,0,3.0,2.0,3.0,3.0,1.0,0.6666666666666666,0.0,0.0,56.22222222222222,7.037037037037037,38.0,69.0,57.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0044444444444444,0.3299999999999998,0.3400000000000001,0.33,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.125,0.5,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1.0,1.0,0,0.0,monophonic,high
2,3.0,1.0,0,3.0,2.0,3.0,3.0,1.0,0.6666666666666666,0.0,0.0,56.22222222222222,7.037037037037037,38.0,69.0,57.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0044444444444444,0.3299999999999998,0.3400000000000001,0.33,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.125,0.5,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1.0,1.0,0,0.0,monophonic,high
3,3.0,1.0,0,6.0,2.6666666666666665,3.0,3.0,2.0,0.4444444444444444,0.0,0.0,62.5,4.777777777777778,38.0,69.0,65.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0044444444444444,0.3299999999999998,0.3400000000000001,0.33,2.0,0.4444444444444444,1.0,4.0,2.0,0.4444444444444444,0.4938271604938272,0.0,1.0,0.0,2.0,0.4400000000000001,1.0,4.0,2.0,0.4499999999999999,0.4949999999999999,0.0,1.0,0.0,8.563333333333334,5.243422222222222,1.0,29.0,8.0,0.9633333333333334,0.0652666666666666,0.6666666666666666,1.0,1.0,0.5555555555555556,0.2222222222222222,0.0,0.0588235294117647,0.4705882352941176,0.3529411764705882,0.1176470588235294,0.4117647058823529,0,1,0,1,0,0,1,0,0,0,0,0,1,1,2.0,1.0,1,0.0,homorhythmic,high
4,3.0,1.0,0,5.666666666666667,2.0,3.0,3.0,1.3333333333333333,0.3529411764705882,0.0,0.0,62.11764705882353,4.359861591695501,50.0,69.0,62.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0044444444444444,0.3299999999999998,0.3400000000000001,0.33,1.8888888888888888,0.3950617283950617,1.0,3.0,2.0,0.4444444444444444,0.4938271604938272,0.0,1.0,0.0,1.89,0.3916,1.0,3.0,2.0,0.4466666666666667,0.4943111111111111,0.0,1.0,0.0,6.896666666666667,4.532311111111111,1.0,17.0,5.0,0.8500000000000001,0.2329999999999999,0.0,1.0,1.0,0.5555555555555556,0.1111111111111111,0.0,0.125,0.375,0.3125,0.125,0.4375,0,1,0,1,0,0,1,0,0,0,1,1,0,0,2.0,0.9994121105232217,1,0.0,homorhythmic,high
5,3.0,1.0,0,7.666666666666667,2.3333333333333335,3.6666666666666665,3.6666666666666665,1.6666666666666667,0.3043478260869565,0.0,0.0,60.34722222222222,3.748456790123457,38.0,69.0,61.0,0.2608695652173913,0.0819155639571518,0.0833333333333333,0.3333333333333333,0.3333333333333333,0.2727272727272727,0.0765289256198347,0.0899999999999998,0.3400000000000001,0.33,2.090909090909091,0.4958677685950413,1.0,3.0,2.0,0.3636363636363636,0.4628099173553719,0.0,1.0,0.0,2.0,0.4400000000000001,1.0,3.0,2.0,0.33,0.4422000000000001,0.0,1.0,0.0,7.0633333333333335,5.0182,1.0,24.0,5.0,0.6522222222222221,0.3911481481481482,0.0,1.0,1.0,0.5454545454545454,0.1818181818181818,0.0,0.3181818181818182,0.3181818181818182,0.2727272727272727,0.0909090909090909,0.4545454545454545,0,1,0,1,1,0,1,0,0,0,1,1,0,1,2.0,1.0,1,0.0,homorhythmic,high
6,3.0,1.0,0,6.333333333333333,3.0,3.0,3.0,2.0,0.4736842105263157,0.0,0.0,63.0,4.421052631578948,50.0,74.0,64.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0044444444444444,0.3299999999999998,0.3400000000000001,0.33,2.111111111111111,0.6172839506172839,1.0,4.0,2.0,0.5555555555555556,0.4938271604938272,0.0,1.0,1.0,2.11,0.6116,1.0,4.0,2.0,0.5599999999999999,0.4928,0.0,1.0,1.0,8.249999999999998,4.953333333333332,1.0,17.0,8.0,0.7066666666666667,0.3285333333333333,0.0,1.0,1.0,0.2222222222222222,0.4444444444444444,0.0,0.1666666666666666,0.2222222222222222,0.3333333333333333,0.0555555555555555,0.3888888888888889,1,1,1,1,0,0,1,0,1,0,0,1,1,1,2.0,1.0,1,0.0,homorhythmic,high
7,3.0,1.0,0,7.0,2.3333333333333335,3.3333333333333335,3.3333333333333335,1.6666666666666667,0.3333333333333333,0.0,0.0,62.67567567567569,5.107377647918188,38.0,74.0,66.0,0.2936507936507936,0.0604686318972033,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.3,0.054,0.16,0.3400000000000001,0.33,2.1,0.18,2.0,3.0,2.0,0.9,0.36,0.0,2.0,1.0,2.056666666666666,0.106911111111111,2.0,3.0,2.0,0.8333333333333334,0.3722222222222222,0.0,2.0,1.0,10.306666666666668,4.332533333333333,5.0,30.0,9.0,1.0,0.0,1.0,1.0,1.0,0.6,0.3,0.0,0.1052631578947368,0.1052631578947368,0.3157894736842105,0.0526315789473684,0.5789473684210527,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2.0,1.0,1,0.0,homorhythmic,high
8,3.0,1.0,0,7.0,2.3333333333333335,3.3333333333333335,3.3333333333333335,1.3333333333333333,0.3333333333333333,0.0,0.0,62.081081081081095,4.479181884587294,50.0,74.0,62.0,0.2936507936507936,0.0604686318972033,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.3,0.054,0.16,0.3400000000000001,0.33,2.1,0.18,2.0,3.0,2.0,0.9,0.36,0.0,2.0,1.0,2.056666666666666,0.106911111111111,2.0,3.0,2.0,0.8366666666666666,0.3681333333333333,0.0,2.0,1.0,8.89,2.1032,4.0,18.0,9.0,1.0,0.0,1.0,1.0,1.0,0.6,0.3,0.0,0.0526315789473684,0.2105263157894736,0.3684210526315789,0.0526315789473684,0.5789473684210527,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2.0,1.0,1,0.0,homorhythmic,high
9,3.0,1.0,0,10.0,3.3333333333333335,4.0,4.0,2.3333333333333335,0.3333333333333333,0.0,0.0,61.00000000000001,4.863636363636363,38.0,72.0,63.0,0.2444444444444444,0.0837037037037037,0.0833333333333333,0.3333333333333333,0.25,0.25,0.0833333333333333,0.0899999999999998,0.3400000000000001,0.2899999999999999,2.5,0.6666666666666666,2.0,4.0,2.0,0.5833333333333334,0.4861111111111111,0.0,1.0,1.0,2.443333333333334,0.6413555555555556,2.0,4.0,2.0,0.61,0.4758,0.0,1.0,1.0,10.04,3.731200000000001,6.0,27.0,8.0,0.7516666666666666,0.3093444444444445,0.0,1.0,1.0,0.5,0.5833333333333334,0.0,0.2307692307692307,0.4230769230769231,0.5384615384615384,0.0769230769230769,0.5769230769230769,0,1,0,1,0,0,1,0,0,0,0,1,0,1,2.0,1.0,1,0.0,homorhythmic,high
10,3.0,1.0,0,9.0,2.6666666666666665,3.0,3.0,2.0,0.2962962962962963,0.0,0.0,63.48148148148146,3.684499314128942,50.0,74.0,62.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0044444444444444,0.3299999999999998,0.3400000000000001,0.33,3.0,0.6666666666666666,2.0,4.0,3.0,0.3333333333333333,0.4444444444444444,0.0,1.0,0.0,3.0,0.6666666666666666,2.0,4.0,3.0,0.3333333333333334,0.4444444444444445,0.0,1.0,0.0,9.44,2.0064000000000006,6.0,18.0,9.0,0.8888888888888887,0.1481481481481482,0.6666666666666666,1.0,1.0,0.7777777777777778,0.6666666666666666,0.1111111111111111,0.125,0.5416666666666666,0.4583333333333333,0.1666666666666666,0.625,0,1,0,1,1,0,1,0,0,0,1,1,0,0,3.0,1.0,1,0.1111111111111111,homorhythmic,high
