measure,m-length_beat,m-beat_duration,has_even_meter,n_notes,n_pitches,n_onsets,n_slices,n_pitchclasses,novelty,prop_silence,longest_silence,pitch_avg,pitch_std,pitch_min,pitch_max,pitch_med,duration_avg,duration_std,duration_min,duration_max,duration_med,regularity_avg,regularity_std,regularity_min,regularity_max,regularity_med,n_voices_per_onset_avg,n_voices_per_onset_std,n_voices_per_onset_min,n_voices_per_onset_max,n_voices_per_onset_med,n_gaps_per_onset_avg,n_gaps_per_onset_std,n_gaps_per_onset_min,n_gaps_per_onset_max,n_gaps_per_onset_med,n_voices_per_beat_avg,n_voices_per_beat_std,n_voices_per_beat_min,n_voices_per_beat_max,n_voices_per_beat_med,n_gaps_per_beat_avg,n_gaps_per_beat_std,n_gaps_per_beat_min,n_gaps_per_beat_max,n_gaps_per_beat_med,width_avg,width_std,width_min,width_max,width_med,harmonicity_avg,harmonicity_std,harmonicity_min,harmonicity_max,harmonicity_med,harmonic_intervals_3_6,harmonic_intervals_4_5,harmonic_intervals_8,melodic_intervals_2,melodic_intervals_3,melodic_intervals_4_5,melodic_intervals_8,repetitions,M,H,S,h,p,o,h+,p+,s,t,b,r,_,",",density,onset_sync_proxy,has_registral_gap,octave_presence,texture_type,confidence
1,3.0,1.0,0,10.0,2.6666666666666665,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.2666666666666666,0.0,0.0,59.888888888888886,6.0,50.0,71.0,60.5,0.6,0.16,0.5,1.0,0.5,0.6,0.1599999999999999,0.5,1.0,0.5,6.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,20.666666666666668,0.8888888888888893,20.0,22.0,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0833333333333333,1.0,0.6666666666666666,0.9166666666666666,0.9166666666666666,1,1,0,1,1,0,1,0,0,0,0,1,0,0,6.0,1.0,0,1.0,homorhythmic,high
2,3.0,1.0,0,4.333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.3076923076923077,0.0,0.0,57.04761904761905,5.7687074829931975,50.0,66.0,54.0,0.8076923076923077,0.4260355029585799,0.5,1.5,0.5,0.75,0.375,0.5,1.5,0.5,3.25,0.375,3.0,4.0,3.0,1.0,0.0,1.0,1.0,1.0,3.5,0.5,3.0,4.0,3.5,1.0,0.0,1.0,1.0,1.0,15.666666666666666,1.777777777777778,13.0,17.0,17.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7777777777777778,0.7777777777777778,1,1,0,1,0,1,1,1,0,1,0,1,0,0,3.5,0.9285714285714286,1,1.0,homorhythmic,high
3,3.0,1.0,0,11.666666666666666,3.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.2571428571428571,0.0,0.0,59.19047619047619,6.598639455782312,49.0,71.0,57.0,0.6,0.16,0.5,1.0,0.5,0.6,0.1599999999999999,0.5,1.0,0.5,7.0,0.0,7.0,7.0,7.0,0.8,0.3199999999999999,0.0,1.0,1.0,7.0,0.0,7.0,7.0,7.0,0.6666666666666666,0.4444444444444445,0.0,1.0,1.0,21.666666666666668,0.8888888888888893,21.0,23.0,21.0,0.746031746031746,0.0423280423280423,0.7142857142857143,0.8095238095238095,0.7142857142857143,1.0,1.0,1.0,0.5,0.7142857142857143,0.5714285714285714,0.7857142857142857,0.9285714285714286,1,1,0,1,1,1,1,0,0,1,0,1,0,0,7.0,1.0,1,1.0,homorhythmic,high
4,3.0,1.0,0,5.333333333333333,2.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.375,0.0,0.0,56.125,4.625,49.0,67.0,56.0,0.75,0.375,0.5,1.5,0.5,0.75,0.375,0.5,1.5,0.5,4.0,0.0,4.0,4.0,4.0,1.5,0.5,1.0,2.0,1.5,4.0,0.0,4.0,4.0,4.0,1.6666666666666667,0.4444444444444443,1.0,2.0,2.0,16.5,0.8333333333333334,16.0,19.0,16.0,0.7222222222222223,0.1851851851851852,0.3333333333333333,1.0,0.6666666666666666,1.0,0.75,0.75,0.25,0.5,0.5,0.0833333333333333,0.5833333333333334,1,1,0,1,1,1,1,1,0,1,0,1,0,0,4.0,1.0,1,0.75,homorhythmic,high
5,3.0,1.0,0,9.666666666666666,3.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.3103448275862069,0.0,0.0,60.114285714285714,6.225306122448979,50.0,74.0,62.0,0.603448275862069,0.164090368608799,0.5,1.0,0.5,0.6,0.1599999999999999,0.5,1.0,0.5,5.8,0.3200000000000001,5.0,6.0,6.0,0.4,0.64,0.0,2.0,0.0,5.833333333333333,0.2777777777777779,5.0,6.0,6.0,0.3333333333333333,0.5555555555555555,0.0,2.0,0.0,21.5,1.5,20.0,25.0,21.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8,1.0,0.0869565217391304,0.9565217391304348,0.6521739130434783,0.9130434782608696,0.8695652173913043,1,1,0,1,1,1,1,1,0,0,0,1,0,0,6.0,0.9942857142857143,1,1.0,homorhythmic,high
6,3.0,1.0,0,6.666666666666667,2.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.3,0.0,0.0,56.625,6.625,45.0,69.0,58.0,0.6,0.1599999999999999,0.5,1.0,0.5,0.6,0.1599999999999999,0.5,1.0,0.5,4.0,0.0,4.0,4.0,4.0,2.2,0.3200000000000001,2.0,3.0,2.0,4.0,0.0,4.0,4.0,4.0,2.1666666666666665,0.2777777777777777,2.0,3.0,2.0,21.5,1.5,20.0,25.0,21.0,0.5833333333333333,0.0833333333333333,0.5,0.6666666666666666,0.5833333333333333,0.8,0.2,0.0,0.0625,0.375,0.125,0.0,0.875,1,1,0,1,1,1,1,1,0,0,0,1,0,0,4.0,1.0,1,0.0,homorhythmic,high
7,3.0,1.0,0,10.0,4.666666666666667,2.3333333333333335,2.6666666666666665,2.6666666666666665,0.4666666666666667,0.1666666666666666,0.1666666666666666,57.369565217391305,5.46124763705104,47.0,71.0,57.0,0.3833333333333333,0.2755555555555556,0.125,0.75,0.125,0.4285714285714285,0.3469387755102041,0.12,1.0,0.13,4.285714285714286,0.4897959183673468,4.0,6.0,4.0,1.7142857142857142,0.6938775510204083,0.0,3.0,2.0,3.8333333333333335,1.2777777777777777,0.0,6.0,4.0,1.04,0.8800000000000002,0.0,3.0,1.0,15.0,5.0,0.0,23.0,17.0,0.8233333333333333,0.1484,0.6666666666666666,1.0,0.7333333333333333,1.0,1.0,0.5714285714285714,0.4583333333333333,0.25,0.7083333333333334,0.2083333333333333,0.5416666666666666,1,1,0,1,1,0,1,1,0,0,0,1,1,1,4.0,1.0,1,0.5714285714285714,homorhythmic,high
8,3.0,1.0,0,10.0,2.6666666666666665,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.2666666666666666,0.0,0.0,59.888888888888886,6.0,50.0,71.0,60.5,0.6,0.16,0.5,1.0,0.5,0.6,0.1599999999999999,0.5,1.0,0.5,6.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,20.666666666666668,0.8888888888888893,20.0,22.0,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0833333333333333,1.0,0.6666666666666666,0.9166666666666666,0.9166666666666666,1,1,0,1,1,0,1,0,0,0,0,1,0,0,6.0,1.0,0,1.0,homorhythmic,high
9,3.0,1.0,0,5.333333333333333,2.0,1.3333333333333333,1.3333333333333333,1.0,0.375,0.0,0.0,58.416666666666664,6.048611111111112,50.0,71.0,60.5,0.75,0.375,0.5,1.5,0.5,0.75,0.375,0.5,1.5,0.5,4.0,1.0,2.0,6.0,4.0,0.75,0.375,0.0,1.0,1.0,4.0,0.6666666666666666,2.0,6.0,4.0,0.8333333333333334,0.2777777777777777,0.0,1.0,1.0,17.166666666666668,1.6111111111111118,13.0,22.0,17.0,1.0,0.0,1.0,1.0,1.0,0.75,0.25,1.0,0.0,0.75,0.1666666666666666,0.6666666666666666,0.6666666666666666,1,1,0,1,0,0,1,1,0,1,0,1,0,0,4.0,1.0,1,1.0,homorhythmic,high
10,3.0,1.0,0,10.0,2.6666666666666665,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.2666666666666666,0.0,0.0,60.05555555555556,6.604938271604938,47.0,73.0,61.5,0.6,0.16,0.5,1.0,0.5,0.6,0.1599999999999999,0.5,1.0,0.5,6.0,0.0,6.0,6.0,6.0,1.4,0.6399999999999999,1.0,3.0,1.0,6.0,0.0,6.0,6.0,6.0,1.6666666666666667,0.888888888888889,1.0,3.0,1.0,25.666666666666668,0.8888888888888893,25.0,27.0,25.0,0.9111111111111112,0.1185185185185185,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,0.125,0.5,0.8333333333333334,0.75,0.9166666666666666,1,1,0,1,1,1,1,1,0,0,0,1,0,0,6.0,1.0,1,1.0,homorhythmic,high
11,3.0,1.0,0,5.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.0,0.5333333333333333,0.0,0.0,61.82608695652174,6.646502835538752,47.0,78.0,62.0,0.7666666666666667,0.3911111111111111,0.5,1.5,0.5,0.75,0.375,0.5,1.5,0.5,3.75,0.875,2.0,5.0,4.0,1.25,0.375,1.0,2.0,1.0,3.8333333333333335,0.611111111111111,2.0,5.0,4.0,1.5,0.5,1.0,2.0,1.5,18.166666666666668,2.444444444444444,13.0,20.0,20.0,1.0,0.0,1.0,1.0,1.0,0.75,0.5,1.0,0.0,0.7272727272727273,0.3636363636363636,0.5454545454545454,0.4545454545454545,1,1,0,1,1,1,1,1,0,0,0,1,0,1,4.0,0.9782608695652174,1,1.0,homorhythmic,high
12,3.0,1.0,0,10.0,2.6666666666666665,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.2666666666666666,0.0,0.0,68.44444444444444,6.0,59.0,79.0,69.0,0.6,0.16,0.5,1.0,0.5,0.6,0.1599999999999999,0.5,1.0,0.5,6.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,20.333333333333332,0.444444444444444,20.0,21.0,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0833333333333333,1.0,0.6666666666666666,0.9166666666666666,0.9166666666666666,1,1,0,1,1,0,1,0,0,0,0,1,0,0,6.0,1.0,0,1.0,homorhythmic,high
13,3.0,1.0,0,9.666666666666666,3.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.3103448275862069,0.0,0.0,67.97142857142858,7.342040816326531,54.0,86.0,66.0,0.603448275862069,0.164090368608799,0.5,1.0,0.5,0.6,0.1599999999999999,0.5,1.0,0.5,5.8,0.3200000000000001,5.0,6.0,6.0,2.0,0.0,2.0,2.0,2.0,5.833333333333333,0.2777777777777779,5.0,6.0,6.0,2.0,0.0,2.0,2.0,2.0,29.0,1.0,28.0,30.0,29.0,0.977777777777778,0.0296296296296296,0.9333333333333332,1.0,1.0,1.0,1.0,1.0,0.0434782608695652,0.5217391304347826,0.6956521739130435,0.9565217391304348,0.8695652173913043,1,1,0,1,1,1,1,1,0,0,0,1,0,0,6.0,0.9942857142857143,1,1.0,homorhythmic,high
14,3.0,1.0,0,6.666666666666667,2.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.3,0.0,0.0,68.625,6.625,57.0,81.0,70.0,0.6,0.1599999999999999,0.5,1.0,0.5,0.6,0.1599999999999999,0.5,1.0,0.5,4.0,0.0,4.0,4.0,4.0,2.2,0.3200000000000001,2.0,3.0,2.0,4.0,0.0,4.0,4.0,4.0,2.1666666666666665,0.2777777777777777,2.0,3.0,2.0,21.5,1.5,20.0,25.0,21.0,0.5833333333333333,0.0833333333333333,0.5,0.6666666666666666,0.5833333333333333,0.8,0.2,0.0,0.0625,0.375,0.125,0.0,0.875,1,1,0,1,1,1,1,1,0,0,0,1,0,0,4.0,1.0,1,0.0,homorhythmic,high
15,3.0,1.0,0,5.333333333333333,2.6666666666666665,4.0,4.0,2.3333333333333335,0.5,0.0,0.0,69.8125,3.4375,62.0,76.0,70.0,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,1.3333333333333333,0.5555555555555555,1.0,3.0,1.0,0.0833333333333333,0.1527777777777777,0.0,1.0,0.0,1.3333333333333333,0.5555555555555555,1.0,3.0,1.0,0.0833333333333333,0.1527777777777778,0.0,1.0,0.0,2.5833333333333335,2.6388888888888893,1.0,13.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1666666666666666,0.0833333333333333,0.0833333333333333,0.7692307692307693,0.2307692307692307,0.0769230769230769,0.0769230769230769,0.1538461538461538,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1.0,1.0,0,0.0833333333333333,monophonic,high
