measure,m-length_beat,m-beat_duration,has_even_meter,n_notes,n_pitches,n_onsets,n_slices,n_pitchclasses,novelty,prop_silence,longest_silence,pitch_avg,pitch_std,pitch_min,pitch_max,pitch_med,duration_avg,duration_std,duration_min,duration_max,duration_med,regularity_avg,regularity_std,regularity_min,regularity_max,regularity_med,n_voices_per_onset_avg,n_voices_per_onset_std,n_voices_per_onset_min,n_voices_per_onset_max,n_voices_per_onset_med,n_gaps_per_onset_avg,n_gaps_per_onset_std,n_gaps_per_onset_min,n_gaps_per_onset_max,n_gaps_per_onset_med,n_voices_per_beat_avg,n_voices_per_beat_std,n_voices_per_beat_min,n_voices_per_beat_max,n_voices_per_beat_med,n_gaps_per_beat_avg,n_gaps_per_beat_std,n_gaps_per_beat_min,n_gaps_per_beat_max,n_gaps_per_beat_med,width_avg,width_std,width_min,width_max,width_med,harmonicity_avg,harmonicity_std,harmonicity_min,harmonicity_max,harmonicity_med,harmonic_intervals_3_6,harmonic_intervals_4_5,harmonic_intervals_8,melodic_intervals_2,melodic_intervals_3,melodic_intervals_4_5,melodic_intervals_8,repetitions,M,H,S,h,p,o,h+,p+,s,t,b,r,_,",",density,onset_sync_proxy,has_registral_gap,octave_presence,texture_type,confidence
1,4.0,1.0,1,2.0,1.5,2.0,2.25,1.5,0.75,0.125,0.125,64.21428571428571,1.9591836734693868,60.0,69.0,64.0,0.4375,0.15625,0.125,0.75,0.5,0.4375,0.15625,0.1200000000000001,0.75,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.875,0.21875,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.875,0.21875,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.75,0.0,0.125,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1.0,1.0,0,0.0,monophonic,high
2,4.0,1.0,1,5.0,2.0,3.5,3.5,1.75,0.4,0.0,0.0,65.27272727272727,3.0,59.0,71.0,66.0,0.275,0.045,0.25,0.5,0.25,0.2857142857142857,0.0612244897959183,0.25,0.5,0.25,1.4285714285714286,0.489795918367347,1.0,2.0,1.0,0.2857142857142857,0.4081632653061224,0.0,1.0,0.0,1.375,0.46875,1.0,2.0,1.0,0.25,0.375,0.0,1.0,0.0,3.9375,3.671875,1.0,13.0,1.0,0.9375,0.1171875,0.0,1.0,1.0,0.1428571428571428,0.1428571428571428,0.0714285714285714,0.7368421052631579,0.0526315789473684,0.2631578947368421,0.0526315789473684,0.2105263157894736,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1.0,1.0,1,0.0714285714285714,monophonic,high
3,4.0,1.0,1,6.5,2.5,3.25,3.25,1.75,0.3846153846153846,0.0,0.0,68.71875,4.09375,57.0,76.0,68.0,0.3076923076923077,0.1183431952662722,0.125,0.5,0.25,0.3076923076923077,0.1183431952662722,0.12,0.5,0.25,2.0,0.0,2.0,2.0,2.0,0.8461538461538461,0.2603550295857988,0.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,0.75,0.375,0.0,1.0,1.0,9.185,3.0649999999999995,3.0,16.0,9.5,0.5925,0.4828874999999999,0.0,1.0,1.0,0.3846153846153846,0.0,0.0769230769230769,0.4583333333333333,0.125,0.2083333333333333,0.0416666666666666,0.375,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,1.0,1,0.0769230769230769,homorhythmic,low
4,4.0,1.0,1,9.0,3.75,3.75,3.75,2.0,0.4166666666666667,0.0,0.0,66.23076923076923,5.826429980276134,55.0,79.0,65.0,0.2708333333333333,0.0636574074074073,0.125,0.5,0.25,0.2666666666666666,0.0622222222222222,0.1200000000000001,0.5,0.25,2.4,0.56,1.0,3.0,2.0,1.0,0.4,0.0,2.0,1.0,2.4375,0.5625,1.0,3.0,2.5,0.9375,0.46875,0.0,2.0,1.0,14.0025,4.251562500000001,1.0,21.0,15.5,0.7591666666666667,0.3154916666666665,0.0,1.0,1.0,0.4,0.2,0.0666666666666666,0.5882352941176471,0.1176470588235294,0.2352941176470588,0.1470588235294117,0.2941176470588235,1,0,0,0,1,0,1,1,0,0,1,1,0,1,2.5,0.9846153846153846,1,0.0666666666666666,homorhythmic,high
5,4.0,1.0,1,12.75,3.75,3.75,3.75,2.0,0.2941176470588235,0.0,0.0,62.7037037037037,4.577503429355281,48.0,74.0,64.0,0.2647058823529412,0.0276816608996539,0.25,0.5,0.25,0.2666666666666666,0.0311111111111111,0.25,0.5,0.25,3.4,0.4799999999999999,3.0,4.0,3.0,0.8,0.32,0.0,1.0,1.0,3.375,0.46875,3.0,4.0,3.0,0.8125,0.3046875,0.0,1.0,1.0,13.0625,3.5625,8.0,20.0,13.5,0.6979166666666667,0.1888020833333333,0.3333333333333333,1.0,0.6666666666666666,0.8666666666666667,0.6666666666666666,0.3333333333333333,0.625,0.4166666666666667,0.5208333333333334,0.1875,0.4791666666666667,1,1,0,1,1,0,1,0,0,0,1,1,0,1,3.0,1.0,1,0.3333333333333333,homorhythmic,high
6,4.0,1.0,1,16.5,3.5,4.25,4.25,1.75,0.2121212121212121,0.0,0.0,62.20967741935484,5.817377731529657,50.0,72.0,62.0,0.2348484848484848,0.0266299357208448,0.125,0.25,0.25,0.2352941176470588,0.0259515570934256,0.12,0.25,0.25,3.8823529411764706,0.2076124567474048,3.0,4.0,4.0,1.2352941176470589,0.4775086505190311,0.0,3.0,1.0,3.875,0.21875,3.0,4.0,4.0,1.1875,0.4296875,0.0,3.0,1.0,18.19,2.0588999999999995,15.0,23.0,17.0,0.84375,0.15625,0.6666666666666666,1.0,0.9166666666666669,0.8823529411764706,0.8823529411764706,0.5294117647058824,0.3548387096774194,0.3548387096774194,0.6612903225806451,0.2580645161290322,0.5645161290322581,1,0,0,0,1,1,1,1,0,0,1,1,0,0,4.0,1.0,1,0.5294117647058824,homorhythmic,high
7,4.0,1.0,1,12.0,4.75,4.0,4.0,2.0,0.3958333333333333,0.0,0.0,61.458333333333336,9.54253472222222,45.0,81.0,58.0,0.25,0.0625,0.125,0.5,0.25,0.25,0.0625,0.1200000000000001,0.5,0.25,3.0,0.25,2.0,4.0,3.0,1.5625,0.4921875,1.0,2.0,2.0,3.0,0.25,2.0,4.0,3.0,1.5,0.5,1.0,2.0,1.5,25.31,4.646249999999999,15.0,33.0,27.5,0.8220833333333333,0.2229125,0.0,1.0,1.0,0.5,0.1875,0.3125,0.4666666666666667,0.1111111111111111,0.2444444444444444,0.1333333333333333,0.4444444444444444,1,1,0,1,1,0,1,1,0,0,0,1,0,0,3.0,1.0,1,0.3125,homorhythmic,high
8,4.0,1.0,1,12.0,4.0,4.0,4.0,2.25,0.3333333333333333,0.0,0.0,64.52083333333333,9.486111111111107,49.0,83.0,62.0,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,3.0,0.0,3.0,3.0,3.0,1.6875,0.4296875,1.0,2.0,2.0,3.0,0.0,3.0,3.0,3.0,1.6875,0.4296875,1.0,2.0,2.0,26.0625,4.1875,18.0,33.0,26.5,0.875,0.171875,0.3333333333333333,1.0,1.0,0.3125,0.3125,0.3125,0.3333333333333333,0.0666666666666666,0.3777777777777777,0.1555555555555555,0.4666666666666667,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3.0,1.0,1,0.3125,homorhythmic,high
9,4.0,1.0,1,14.5,3.75,4.25,4.25,2.0,0.2586206896551724,0.0,0.0,68.16363636363636,6.99702479338843,55.0,79.0,69.0,0.2370689655172413,0.0231866825208085,0.125,0.25,0.25,0.2352941176470588,0.0259515570934256,0.1200000000000001,0.25,0.25,3.411764705882353,0.4844290657439445,3.0,4.0,3.0,1.5294117647058822,0.5605536332179931,1.0,3.0,1.0,3.4375,0.4921875,3.0,4.0,3.0,1.5325,0.56445,1.0,3.0,1.0,19.0,1.75,16.0,23.0,18.5,0.7808333333333333,0.1840875,0.3333333333333333,1.0,0.6666666666666666,0.8235294117647058,0.5294117647058824,0.1764705882352941,0.4363636363636363,0.2909090909090909,0.4,0.109090909090909,0.5454545454545454,1,1,0,1,1,0,1,1,0,0,1,1,0,0,3.0,0.9925133689839571,1,0.1764705882352941,homorhythmic,high
10,4.0,1.0,1,11.5,4.0,4.0,4.0,2.0,0.3478260869565217,0.0,0.0,65.97826086956522,10.068052930056709,43.0,79.0,71.0,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,2.875,0.21875,2.0,3.0,3.0,1.5625,0.4921875,1.0,2.0,2.0,2.875,0.21875,2.0,3.0,3.0,1.5625,0.4921875,1.0,2.0,2.0,24.0625,3.9453125,17.0,34.0,23.0,0.7708333333333333,0.2578125000000001,0.3333333333333333,1.0,1.0,0.3125,0.125,0.25,0.5348837209302325,0.1162790697674418,0.1627906976744186,0.1395348837209302,0.3953488372093023,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3.0,1.0,1,0.25,homorhythmic,high
