note_index,measure,measure_offset,quarter_length,time_position,duration_seconds,pitch_name,pitch_midi,staff,voice,layer_1_score,layer_1_mask,layer_2_score,layer_2_mask,layer_3_score,layer_3_mask
0,1,0.0,2.0,0.0,48.0,F4,65,,0,0.9633980989456177,True,0.5590567588806152,True,0.36115026473999023,False
1,1,0.0,0.5,0.0,12.0,F3,53,,0,0.8390586376190186,True,0.675532877445221,True,0.7905607223510742,True
2,1,0.5,0.5,12.0,12.0,A3,57,,0,0.9938124418258667,True,0.31695353984832764,False,0.36465075612068176,False
3,1,1.0,0.5,24.0,12.0,C4,60,,0,0.9102425575256348,True,0.8793399930000305,True,0.7485860586166382,True
4,1,1.5,0.5,36.0,12.0,A3,57,,0,0.9778327345848083,True,0.3075951337814331,False,0.36115002632141113,False
5,1,2.0,1.0,48.0,24.0,A4,69,,0,0.9552557468414307,True,0.4287570118904114,False,0.35157808661460876,False
6,1,2.0,0.5,48.0,12.0,C4,60,,0,0.7994393110275269,True,0.8182243704795837,True,0.6696977019309998,True
7,1,2.5,0.5,60.0,12.0,A3,57,,0,0.9523388147354126,True,0.27971941232681274,False,0.3545757830142975,False
8,2,0.0,2.0,72.0,48.0,C5,72,,0,0.6951186060905457,True,0.7597677707672119,True,0.5035194754600525,True
9,2,0.0,0.5,72.0,12.0,F3,53,,0,0.8608314394950867,True,0.621817409992218,True,0.8101111650466919,True
10,2,0.5,0.5,84.0,12.0,C4,60,,0,0.760423481464386,True,0.7959752678871155,True,0.7393744587898254,True
11,2,1.0,0.5,96.0,12.0,E-4,63,,0,0.9953925609588623,True,0.4994378387928009,False,0.3993074595928192,False
12,2,1.5,0.5,108.0,12.0,C4,60,,0,0.6597747206687927,True,0.8092395067214966,True,0.7509403824806213,True
13,2,2.0,1.0,120.0,24.0,A4,69,,0,0.9849843978881836,True,0.15842626988887787,False,0.302094966173172,False
14,2,2.0,0.5,120.0,12.0,E-4,63,,0,0.989144504070282,True,0.48754921555519104,False,0.3717978298664093,False
15,2,2.5,0.5,132.0,12.0,C4,60,,0,0.8843586444854736,True,0.741453230381012,True,0.7095457911491394,True
16,3,0.0,2.0,144.0,48.0,B-4,70,,0,0.7886806130409241,True,0.37348535656929016,False,0.3106430172920227,False
